TITULO_ORIGINAL;PRODUTORA_BRASILEIRA;UF_PRODUTORA_BRASILEIRA;PRODUTORA_ESTRANGEIRA;PAIS_PRODUTORA_ESTRANGEIRA;TIPO_OBRA;TOTAL_TECNCIOS_ESTRANGEIROS;PERIODO_PRODUCAO;LOCAL_FILMAGEM ;DT_APROVACAO
Bank Corporate Video;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Institucional;3;15/02/2020 a 20/02/2020;São Paulo (SP);11/02/2020
RETORNO À AMAZÔNIA;PEDRO SUTTER OZORIO ROSA ME;RJ;FRANK FILMS;Reino Unido;Documentário;5;06/04/2020 a 17/06/2020;Altamira, Aldeia Kriny, Manaus, Atto - Floresta, Rio de Janeiro, Boa Vista, Benjamin Constant, Atalaia (PA, AM, RJ, RR);11/02/2020
Better Late then Never;Viva Filmes Produções Ltda;RJ;FREMATLE MEDIA NETHERLANDS B.V;Holanda;Documentário;1;20/02/2020 a 26/02/2020;Rio de Janeiro (RJ), Manaus (AM);11/02/2020
Breaking the Boundaries (Quebrando os Limites);TR Somogyi Produções;RJ;Silverback Films Ltd;Reino Unido;Documentário;4;25/02/2020 a 14/03/2020;Manaus, Uatumã, Brasília, Querência (AM, DF,MT);11/02/2020
Rio de Janeiro Corporate Shoot;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Institucional;1;22/02/2020 a 25/02/2020;Rio de Janeiro (RJ);14/02/2020
Rio de Janeiro Corporate Shoot;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Institucional;1;22/02/2020 a 25/02/2020;Rio de Janeiro (RJ);14/02/2020
Decathlon Brasil Shoot;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Institucional;2;17/03/2020 a 21/03/2020;Rio de Janeiro (RJ);13/02/2020
Better Late then Never;Viva Filmes Produções Ltda;RJ;FREMATLE MEDIA NETHERLANDS B.V;Holanda;Documentário;1;20/02/2020 a 26/02/2020;Rio de Janeiro (RJ), Manaus (AM);11/02/2020
Bank Corporate Video;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Institucional;1;15/02/2020 a 20/02/2020;São Paulo (SP);14/02/2020
Pedro « Scooby » Vianna;AURA FI LME PRODUÇÕES LTDA;RJ;Alex Laurel;França;Outro;2;28/02/2020 a 05/03/2020;Rio de Janeiro (RJ);19/02/2020
Takuma;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Institucional;3;22/02/2020 a 27/02/2020;Rio de Janeiro (RJ);27/02/2020
All eyes on me;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;Obra Publicitária;1;16/03/2020 a 21/03/2020;São Paulo (SP);02/03/2020
All eyes on me;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;Obra Publicitária;1;16/03/2020 a 21/03/2020;São Paulo (SP);02/03/2020
All eyes on me;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;Obra Publicitária;1;16/03/2020 a 21/03/2020;São Paulo (SP);02/03/2020
All eyes on me;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;Obra Publicitária;1;16/03/2020 a 21/03/2020;São Paulo (SP);02/03/2020
All eyes on me;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;Obra Publicitária;1;16/03/2020 a 21/03/2020;São Paulo (SP);02/03/2020
All eyes on me;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;Obra Publicitária;1;16/03/2020 a 21/03/2020;São Paulo (SP);02/03/2020
All eyes on me;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;Obra Publicitária;1;16/03/2020 a 21/03/2020;São Paulo (SP);02/03/2020
Indiana University Documentary;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Documentário;1;07/02/2020 a 17/02/2020;São Paulo, Belo Horizonte, Ouro Preto, Foz do Iguaçu (SP,MG,PR);28/02/2020
Indiana University Documentary;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Documentário;1;07/02/2020 a 17/02/2020;São Paulo, Belo Horizonte, Ouro Preto, Foz do Iguaçu (SP,MG,PR);28/02/2020
Todd Sampson?s Body Hack;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Documentário;4;10/03/2020 a 21/03/2020;Rio de Janeiro (RJ);Previsto para 05/03/2020
Todd Sampson?s Body Hack;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;Documentário;1;10/03/2020 a 21/03/2020;Rio de Janeiro (RJ);Previsto para 05/03/2020
the epic hunt;Ocean Produção de Filmes Ltda.;SC;Rogue;Reino Unido;Obra Publicitária;7;28/02/2020 a 06/03/2020;Rio de Janeiro (RJ);28/02/2020
Quer Jogar Comigo;Xes Projetos Visuais Ltda;SP;Eight Pictures Inc;Japão;Obra Publicitária;5;06/03/2020 a 12/03/2020;Rio de Janeiro (RJ);28/02/2020
ONE STRANGE ROCK 2;Terra Vermelha Filmes ltda;RJ;NUTOPIA LTD;Reino Unido;Outro;1;05/03/2020 a 11/03/2020;Foz do Iguaçu (PR);28/02/2020
