CPB;TITULO_ORIGINAL;NUMERO_SALIC
B1500873900000  ;ATRAVÉS DA SOMBRA                                                                                   ;090435           
B1500877500000  ;DEU MATCH!                                                                                          ;150270           
B1500896100000  ;OS UNDER UNDERGROUNDS - TEMPORADA 1                                                                 ;130271           
B1500897000000  ;O ÚLTIMO VIRGEM                                                                                     ;110465           
B1500899800000  ;REZA A LENDA                                                                                        ;080149           
B1500903400000  ;PUNHAL                                                                                              ;100447           
B1500903800000  ;ECONOMIA BRASILEIRA - A HISTÓRIA CONTADA POR QUEM A FEZ.                                            ;130522           
B1500904200000  ;ATÉ QUE A SORTE NOS SEPARE 3                                                                        ;140491           
B1500922400000  ;CONSELHO TUTELAR - 2A TEMPORADA                                                                     ;150129           
B1600003800000  ;CONDOMINIO JAQUELINE                                                                                ;130528           
B1600006200000  ;TALENTOS A MAIS                                                                                     ;140253           
B1600011000000  ;UM SUBURBANO SORTUDO                                                                                ;140370           
B1600012600000  ;MAR ME QUER                                                                                         ;100340           
B1600012800000  ;DO PÓ DA TERRA                                                                                      ;130558           
B1600017500000  ;RALÉ                                                                                                ;110383           
B1600019500000  ;ZÉ DE JULIÃO, MUITO ALÉM DO CANGAÇO                                                                 ;080037           
B1600032100000  ;AMOR EM SAMPA                                                                                       ;100209           
B1600033400000  ;MEU AMIGO HINDU                                                                                     ;140190           
B1600036800000  ;ZOOM                                                                                                ;130121           
B1600041000000  ;BUGIGANGUE NO ESPAÇO                                                                                ;080331           
B1600043800000  ;TÔ RYCA!                                                                                            ;120273           
B1600047300000  ;NÃO ESTÁVAMOS ALI PARA FAZER AMIGOS                                                                 ;100483           
B1600057400000  ;LABORATÓRIO DA LUTA                                                                                 ;140377           
B1600058000000  ;TERMINADORES                                                                                        ;140240           
B1600059500000  ;OLHAR DE NISE                                                                                       ;110204           
B1600064700000  ;ESPAÇO ALÉM - MARINA ABRAMOVIC E O BRASIL                                                           ;130340           
B1600066700000  ;MÃOS DE URSO                                                                                        ;140523           
B1600067600000  ;UMA NOITE EM SAMPA                                                                                  ;110498           
B1600068000000  ;TRAVESSIA                                                                                           ;140252           
B1600069800000  ;GLITTER MODEL                                                                                       ;130280           
B1600070900000  ;AMORES URBANOS                                                                                      ;150039           
B1600073400000  ;A ALMA GUARANI                                                                                      ;040014           
B1600084700000  ;TERRA PROMETIDA                                                                                     ;100444           
B1600096000000  ;APAIXONADOS O FILME                                                                                 ;120374           
B1600098700000  ;ALMANAQUE DOS ESPORTES - 2A TEMPORADA                                                               ;150030           
B1600100000000  ;O SAMBA MANDOU ME CHAMAR                                                                            ;120095           
B1600100300000  ;O ESCARAVELHO DO DIABO                                                                              ;130005           
B1600107600000  ;EM NOME DA LEI                                                                                      ;120406           
B1600109500000  ;A CIDADE NÃO PARA                                                                                   ;130363           
B1600109600000  ;A FRENTE FRIA QUE A CHUVA TRAZ                                                                      ;080095           
B1600114000000  ;LILI, A EX - 2ª TEMPORADA                                                                           ;150549           
B1600115500000  ;CHICO SCIENCE, UM CARANGUEJO ELÉTRICO                                                               ;150243           
B1600116800000  ;GLAUCO DO BRASIL                                                                                    ;130557           
B1600131200000  ;INCERTEZAS CRÍTICAS                                                                                 ;130296           
B1600131300000  ;SANGUE NOS OLHOS                                                                                    ;140270           
B1600137800000  ;A GAROTA DA MOTO                                                                                    ;130463           
B1600137900000  ;PLANO DE NEGÓCIOS                                                                                   ;110392           
B1600138900000  ;O CANGACEIRO - A SÉRIE                                                                              ;984582           
B1600142700000  ;AS AVENTURAS DE FUJIWARA MANCHESTER                                                                 ;160058           
B1600180400000  ;A SAGA DA ALMA DE UM POETA                                                                          ;110230           
B1600181500000  ;A CIDADE ONDE ENVELHEÇO                                                                             ;120080           
B1600192300000  ;DE ONDE EU TE VEJO                                                                                  ;110309           
B1600193300000  ;IMAGENS DO ESTADO NOVO 1937-45                                                                      ;030128           
B1600200900000  ;MEU NOME É JACQUE                                                                                   ;150096           
B1600201700000  ;PAPÉIS DE ADÉLIA                                                                                    ;138955           
B1600203800000  ;CARAVANA NO AR                                                                                      ;140283           
B1600203900000  ;UM CONTRA TODOS                                                                                     ;150050           
B1600217000000  ;JOGOS DO MUNDO                                                                                      ;140521           
B1600227000000  ;O CASEIRO                                                                                           ;140178           
B1600243000000  ;REDEMOINHO                                                                                          ;100567           
B1600245600000  ;ANTES O TEMPO NÃO ACABAVA                                                                           ;120144           
B1600249600000  ;GARAGEM HOT ROD                                                                                     ;140446           
B1600251100000  ;SEQUESTRO                                                                                           ;150552           
B1600255500000  ;TAMAS E RAJAS                                                                                       ;140551           
B1600264400000  ;PONTO ZERO                                                                                          ;090366           
B1600280000000  ;MENINO 23 - INFÂNCIAS PERDIDAS NO BRASIL                                                            ;120417           
B1600280100000  ;OS SENHORES DA GUERRA                                                                               ;100115           
B1600287300000  ;DESERTO                                                                                             ;110505           
B1600294100000  ;PAULINA                                                                                             ;145005           
B1600294500000  ;MAIS FORTE QUE O MUNDO - A HISTÓRIA DE JOSÉ ALDO                                                    ;110457           
B1600296800000  ;A LOUCURA ENTRE NÓS                                                                                 ;110322           
B1600305700000  ;UMA LOUCURA DE MULHER                                                                               ;120546           
B1600308400000  ;DORINA - OLHAR PARA O MUNDO                                                                         ;140272           
B1600310800000  ;ANJOS DA ESTRADA                                                                                    ;140080           
B1600314200000  ;A CONFRARIA                                                                                         ;120485           
B1600314300000  ;MARIAS                                                                                              ;070428           
B1600314300000  ;MARIAS                                                                                              ;109001           
B1600315200000  ;OLIMPÍADAS DOSE DUPLA                                                                               ;150052           
B1600326400000  ;SOUND-À-PORTER                                                                                      ;140467           
B1600327100000  ;GIGANTES DO BRASIL                                                                                  ;140297           
B1600337700000  ;SÃO PAULO EM HI-FI                                                                                  ;140281           
B1600340900000  ;CINZENTO E NEGRO                                                                                    ;145042           
B1600341600000  ;PARTO PARA A LIBERDADE - UMA BREVE HISTÓRIA DE PEDRO ALEIXO                                         ;100100           
B1600342000000  ;BRASIL, DNA ÁFRICA                                                                                  ;140058           
B1600348400000  ;INSPIRA.MOV BRASIL                                                                                  ;140462           
B1600352700000  ;CARROSSEL 2 - O SUMIÇO DE MARIA JOAQUINA                                                            ;150696           
B1600355900000  ;ENTRE IDAS E VINDAS                                                                                 ;110458           
B1600358100000  ;PARATODOS                                                                                           ;130109           
B1600364000000  ;A LUTA DE UM HOMEM SÓ                                                                               ;150670           
B1600368200000  ;BUCK, O MONSTRO DA LAGOA                                                                            ;150625           
B1600368700000  ;PORTA DOS FUNDOS - CONTRATO VITALÍCIO                                                               ;150132           
B1600382200000  ;BRASIL ADENTRO - MÚSICA DE PERNAMBUCO                                                               ;130315           
B1600382500000  ;MILLER                                                                                              ;120416           
B1600385400000  ;SARAH - MENINA DE OURO                                                                              ;150658           
B1600388200000  ;SHOW DO KIBE - 2ª TEMPORADA                                                                         ;150736           
B1600390300000  ;VITÓRIAS ALÉM DO PÓDIO - O ESPORTE TRANSFORMANDO VIDAS                                              ;150377           
B1600400300000  ;CHAPÉU DE BICO                                                                                      ;150495           
B1600403500000  ;SONHADORES                                                                                          ;160053           
B1600405900000  ;BR 716                                                                                              ;110506           
B1600408200000  ;O ROUBO DA TAÇA                                                                                     ;100310           
B1600411100000  ;POESIA E PROSA COM MARIA BETHÂNIA                                                                   ;150573           
B1600416100000  ;MÃE SÓ HÁ UMA                                                                                       ;129085           
B1600420900000  ;MULHER DO PAI                                                                                       ;110246           
B1600421600000  ;JONAS                                                                                               ;100524           
B1600436900000  ;UM NAMORADO PARA MINHA MULHER                                                                       ;140350           
B1600437000000  ;PIEDADE, PIEDADE!                                                                                   ;150592           
B1600439300000  ;A COMÉDIA DIVINA                                                                                    ;110300           
B1600439500000  ;HOLOCAUSTO BRASILEIRO                                                                               ;140123           
B1600439700000  ;VIDAS PARTIDAS                                                                                      ;100173           
B1600441200000  ;A LUTA DO SÉCULO                                                                                    ;150066           
B1600442200000  ;MAGAL E OS FORMIGAS                                                                                 ;150605           
B1600445600000  ;MENINAS DE OURO                                                                                     ;150295           
B1600445900000  ;DRAMA DA PAIXÃO - UM DOCUMENTÁRIO                                                                   ;140119           
B1600454400000  ;DESCULPE O TRANSTORNO                                                                               ;090460           
B1600459300000  ;BAIA DOS PESADELOS                                                                                  ;150701           
B1600462200000  ;OUTROS TEMPOS - VELHOS                                                                              ;150081           
B1600464000000  ;AO SOM DO CHAMAMÉ                                                                                   ;130004           
B1600466400000  ;A VAGA: EPISÓDIO ESPECIAL                                                                           ;160054           
B1600467400000  ;UNIDADE BÁSICA                                                                                      ;100475           
B1600471800000  ;A CORRIDA DO DOPING                                                                                 ;160080           
B1600472500000  ;EU TE LEVO                                                                                          ;130490           
B1600472600000  ;AGUÁPOLIS                                                                                           ;120537           
B1600476300000  ;MÁXIMO & CONFÚCIO                                                                                   ;120557           
B1600477000000  ;ERNESTO, O EXTERMINADOR DE SERES MONSTRUOSOS E OUTRAS PORCARIAS                                     ;130320           
B1600478600000  ;AQUARIUS                                                                                            ;140206           
B1600483500000  ;TUDO É IRRELEVANTE - HELIO JAGUARIBE                                                                ;070288           
B1600492200000  ;ENTRE NÓS, O ESTRANHO                                                                               ;100302           
B1600500100000  ;O BRASIL POR ELES - O OLHAR DO MUNDO PARA O ESPORTE BRASILEIRO                                      ;150376           
B1600500300000  ;O SILÊNCIO DO CÉU                                                                                   ;140564           
B1600501200000  ;EU ME MOVO                                                                                          ;150653           
B1600509800000  ;A JAULA                                                                                             ;100517           
B1600509900000  ;SERGIO BRITTO O MESTRE DOS PALCOS                                                                   ;130134           
B1600512600000  ;SOS FADA MANU (SEGUNDA TEMPORADA)                                                                   ;150005           
B1600530200000  ;PEQUENO SEGREDO                                                                                     ;080630           
B1600530400000  ;DESAFIO CELEBRIDADES                                                                                ;150321           
B1600532800000  ;É FADA!                                                                                             ;130249           
B1600534400000  ;GALERIA F                                                                                           ;140261           
B1600534500000  ;#MECHAMADEBRUNA                                                                                     ;130332           
B1600534700000  ;DO OUTRO LADO - A CONQUISTA DE MATHEUS RHEINE                                                       ;150709           
B1600536100000  ;SURF NO ALEMÃO                                                                                      ;140389           
B1600543700000  ;A REPARTIÇÃO DO TEMPO                                                                               ;150164           
B1600564100000  ;VERMELHO RUSSO                                                                                      ;100610           
B1600565200000  ;O SHOW DA LUNA! TERCEIRA TEMPORADA                                                                  ;150682           
B1600567900000  ;O SHAOLIN DO SERTÃO                                                                                 ;140233           
B1600585300000  ;AS INCRÍVEIS ARTIMANHAS DA NUVEM CIGANA                                                             ;120060           
B1600585400000  ;A GLÓRIA E A GRAÇA                                                                                  ;100103           
B1600591900000  ;OS ENIGMAS DOS DESAPARECIDOS                                                                        ;130278           
B1600595900000  ;CLASSICOMANIACO                                                                                     ;150553           
B1600599000000  ;IRMÃO DO JOREL- 2ª TEMPORADA                                                                        ;150454           
B1600602000000  ;PALMEIRAS, O CAMPEÃO DO SÉCULO                                                                      ;130001           
B1600603300000  ;1976 - O ANO DA INVASÃO CORINTHIANA                                                                 ;120133           
B1600604900000  ;TOC - TRANSTORNADA, OBSESSIVA, COMPULSIVA                                                           ;130422           
B1600613000000  ;CAROL LEVY CONTAROLANDO - SEGUNDA TEMPORADA                                                         ;160158           
B1600616400000  ;EMERGÊNCIA PET                                                                                      ;150491           
B1600624200000  ;MARGINAL                                                                                            ;150364           
B1600625200000  ;TODAS AS MANHÃS DO MUNDO                                                                            ;130444           
B1600633600000  ;REGRAS DO MMA                                                                                       ;140175           
B1600648800000  ;DENTRO DA CAIXINHA                                                                                  ;150268           
B1600648900000  ;DUAS MULHERES                                                                                       ;140273           
B1600649400000  ;PARQUE PATATI PATATÁ - 2ª TEMPORADA                                                                 ;160294           
B1600649600000  ;CINE ROOFTOP                                                                                        ;150607           
B1600650300000  ;A SECRETÁRIA DO PRESIDENTE                                                                          ;150332           
B1600651600000  ;CURUMIM, O HOMEM QUE QUERIA VOAR                                                                    ;120274           
B1600651700000  ;DISTRITO CULTURAL - SEGUNDA TEMPORADA                                                               ;160181           
B1600659200000  ;TERRA PROMETIDA                                                                                     ;100444           
B1600667500000  ;TURBINADOS 2ª TEMPORADA                                                                             ;150743           
B1600680100000  ;ELIS                                                                                                ;130298           
B1600680500000  ;A DESTRUIÇÃO DE BERNARDET                                                                           ;130438           
B1600685000000  ;SOB PRESSÃO                                                                                         ;150478           
B1600685100000  ;INTOLERÂNCIA.DOC                                                                                    ;140307           
B1600685500000  ;CORAGEM                                                                                             ;140279           
B1600690400000  ;O AMOR NO DIVÃ                                                                                      ;160126           
B1600690500000  ;FORA DO ARMÁRIO                                                                                     ;150385           
B1600690600000  ;ERA O HOTEL CAMBRIDGE                                                                               ;110316           
B1600690700000  ;ANGELI THE KILLER                                                                                   ;130238           
B1600695300000  ;PERDÃO MISTER FIEL                                                                                  ;070157           
B1600702400000  ;OPÇÃO LAJE                                                                                          ;130435           
B1600710400000  ;CÍRCULOS                                                                                            ;160169           
B1600710700000  ;O VENDEDOR DE SONHOS                                                                                ;140024           
B1600713100000  ;O FILHO ETERNO                                                                                      ;140346           
B1600716500000  ;MINHA MÃE É UMA PEÇA 2                                                                              ;130425           
B1600719300000  ;LUCIA MCCARTNEY                                                                                     ;160130           
B1600725300000  ;VINTE ANOS                                                                                          ;100318           
B1600728000000  ;MINHA ESTUPIDEZ                                                                                     ;160251           
B1600730100000  ;POR TRÁS DO CÉU                                                                                     ;140189           
B1600738500000  ;OS SALTIMBANCOS TRAPALHÕES - RUMO A HOLLYWOOD                                                       ;150305           
B1600739400000  ;SEM VOLTA                                                                                           ;130349           
B1600744600000  ;ACONTECE LÁ EM CASA. VIVENDO MELHOR EM FAMÍLIA                                                      ;150028           
B1600745100000  ;PRIMEIRO BAILARINO                                                                                  ;150304           
B1600750800000  ;BELO MONTE: UM MUNDO ONDE TUDO É POSSÍVEL                                                           ;150219           
B1600751200000  ;SANTINO E O BILHETE PREMIADO                                                                        ;160475           
B1600754000000  ;GABY ESTRELLA                                                                                       ;150501           
B1600759000000  ;AMOR AO QUADRADO                                                                                    ;160265           
B1600765100000  ;ELON NÃO ACREDITA NA MORTE                                                                          ;130468           
B1600765300000  ;A OLIMPÍADA PASSOU POR AQUI                                                                         ;150482           
B1600772200000  ;HOMEM COMUM                                                                                         ;060089           
B1600773600000  ;O ORNITÓLOGO                                                                                        ;119154           
B1600774200000  ;A RETOMADA DO PORTO                                                                                 ;130067           
B1600775400000  ;PLANETORAMA                                                                                         ;130304           
B1600780800000  ;BODE DE NATAL                                                                                       ;160240           
B1600784700000  ;OS PENETRAS 2 - QUEM DÁ MAIS?                                                                       ;140410           
B1600784700000  ;OS PENETRAS 2 - QUEM DÁ MAIS?                                                                       ;149243           
B1600785400000  ;NA FITA                                                                                             ;130118           
B1600785500000  ;OS TRANSGRESSORES                                                                                   ;150433           
B1600789900000  ;EU FICO LOKO                                                                                        ;160144           
B1600791000000  ;VIVER PARA LUTAR                                                                                    ;150436           
B1600791500000  ;LUTANDO PARA VENCER                                                                                 ;130350           
B1600793500000  ;FINDING JOSEF                                                                                       ;120012           
B1700011500000  ;PEIXONAUTA: O FILME                                                                                 ;090384           
B1700012200000  ;LILA                                                                                                ;130538           
B1700012400000  ;SUBSOLO UNDERGROUND                                                                                 ;040296           
B1700013200000  ;AS AVENTURAS DE MARIGOTA                                                                            ;150623           
B1700014500000  ;TADINHA                                                                                             ;120441           
B1700025700000  ;TROPYKAOS                                                                                           ;140152           
B1700025900000  ;CHOQUE TÉRMICO                                                                                      ;160168           
B1700030100000  ;SEBASTIANA QUEBRA-GALHO                                                                             ;140219           
B1700036300000  ;INVENÇÕES DA ALMA                                                                                   ;150197           
B1700046100000  ;COMEBACK                                                                                            ;120117           
B1700051600000  ;VAZANTE                                                                                             ;110077           
B1700052000000  ;FILHOS DE BACH                                                                                      ;110064           
B1700052200000  ;O CRIME DA GÁVEA                                                                                    ;120244           
B1700053800000  ;MODA-O-RAMA                                                                                         ;150023           
B1700054100000  ;O QUE NOS OLHA                                                                                      ;120527           
B1700066700000  ;#MECHAMADEBRUNA - VERDADES E MENTIRAS                                                               ;150540           
B1700072200000  ;ESPÍRITO DA LUTA 1ª TEMPORADA                                                                       ;150428           
B1700077100000  ;LA VINGANÇA                                                                                         ;120001           
B1700079500000  ;171 - NEGÓCIO DE FAMÍLIA                                                                            ;130221           
B1700084600000  ;OUTRO SERTÃO                                                                                        ;070279           
B1700085300000  ;ARÁBIA                                                                                              ;110424           
B1700087800000  ;MANUAL PARA SE DEFENDER DE ALIENS, NINJAS E ZUMBIS                                                  ;150594           
B1700088100000  ;PELA JANELA                                                                                         ;120299           
B1700092500000  ;JOAQUIM                                                                                             ;139254           
B1700092500000  ;JOAQUIM                                                                                             ;130401           
B1700103500000  ;O RASTRO                                                                                            ;150051           
B1700103500000  ;O RASTRO                                                                                            ;110430           
B1700104200000  ;PENDULAR                                                                                            ;130381           
B1700107400000  ;PITANGA                                                                                             ;140047           
B1700109600000  ;GOSTOSAS, LINDAS E SEXIES                                                                           ;160049           
B1700112000000  ;CORPO ELÉTRICO                                                                                      ;120330           
B1700119200000  ;COMO NOSSOS PAIS                                                                                    ;129153           
B1700119200000  ;COMO NOSSOS PAIS                                                                                    ;119039           
B1700119200000  ;COMO NOSSOS PAIS                                                                                    ;120367           
B1700123200000  ;EXODUS - DE ONDE VIM NÃO EXISTE MAIS                                                                ;110326           
B1700128800000  ;QUEM SE IMPORTA - A SÉRIE                                                                           ;150126           
B1700145600000  ;ENTÃO MORRI                                                                                         ;150641           
B1700145800000  ;BARÃO VERMELHO - POR QUE A GENTE É ASSIM?                                                           ;120258           
B1700148100000  ;NA TRILHA DA ENERGIA 2                                                                              ;130467           
B1700148400000  ;DIA UM                                                                                              ;150276           
B1700149000000  ;INCERTEZAS CRÍTICAS - 2ª TEMPORADA                                                                  ;130295           
B1700151900000  ;O FILME DA MINHA VIDA                                                                               ;140168           
B1700156400000  ;GRIOT: DO LADO DE LÁ E CÁ DO ATLÂNTICO                                                              ;151682           
B1700159700000  ;O SILÊNCIO DA NOITE É QUE TEM SIDO TESTEMUNHA DAS MINHAS AMARGURAS                                  ;120192           
B1700161700000  ;MENOS É DEMAIS                                                                                      ;160599           
B1700162000000  ;ALTAS EXPECTATIVAS                                                                                  ;140276           
B1700164400000  ;FAMILIA SCHURMANN - EXPEDIÇÃO ORIENTE                                                               ;130406           
B1700167100000  ;CORTA! ANIMAÇÃO                                                                                     ;110415           
B1700168200000  ;NINGUÉM ENTRA, NINGUÉM SAI                                                                          ;120290           
B1700172000000  ;CIDADES FANTASMAS                                                                                   ;150655           
B1700172700000  ;FÁTIMA NO BRASIL                                                                                    ;120005           
B1700175000000  ;AMOR.COM                                                                                            ;130212           
B1700177700000  ;UM TIO QUASE PERFEITO                                                                               ;160100           
B1700178100000  ;QUEM É PRIMAVERA DAS NEVES                                                                          ;150686           
B1700180400000  ;AEROPORTO - ÁREA RESTRITA                                                                           ;160183           
B1700182800000  ;DE CRIANÇA PARA CRIANÇA                                                                             ;150629           
B1700182900000  ;ÓPERA ABERTA - PESCADORES DE PÉROLAS                                                                ;150398           
B1700183900000  ;LIVRO VIVO                                                                                          ;160252           
B1700189700000  ;EM UM MUNDO INTERIOR                                                                                ;130156           
B1700194400000  ;REAL - O PLANO POR TRÁS DA HISTÓRIA                                                                 ;130442           
B1700204300000  ;CARNAVAL EM LÁ MENOR                                                                                ;130090           
B1700204700000  ;ERA UMA VEZ UMA HISTÓRIA                                                                            ;150624           
B1700217800000  ;O NOME DELA É GAL                                                                                   ;150510           
B1700219000000  ;VIVI VIRAVENTO                                                                                      ;140348           
B1700219500000  ;IRMÃO DO JOREL 2ª TEMPORADA - COMPILADO                                                             ;150454           
B1700222300000  ;ABAIXO A GRAVIDADE                                                                                  ;140151           
B1700228000000  ;A GRANDE LUTA - SEGUNDA TEMPORADA                                                                   ;150117           
B1700233300000  ;GERAÇÃO Z                                                                                           ;160592           
B1700243100000  ;MILTON NASCIMENTO - INTIMIDADE E POESIA                                                             ;150140           
B1700243800000  ;ESTEROS                                                                                             ;155207           
B1700244500000  ;DIVÓRCIO                                                                                            ;130044           
B1700247000000  ;PRIMAVERA                                                                                           ;973909           
B1700248200000  ;MARIA - NÃO ESQUEÇA QUE EU VENHO DOS TRÓPICOS                                                       ;130111           
B1700248900000  ;A SUPERFÍCIE DA SOMBRA                                                                              ;120388           
B1700255200000  ;ALTO LEBLON                                                                                         ;150462           
B1700255500000  ;AQUALOUCOS                                                                                          ;150544           
B1700258100000  ;DANADO DE BOM                                                                                       ;080661           
B1700261700000  ;JUACAS                                                                                              ;160214           
B1700271600000  ;ENTRE RISOS                                                                                         ;160032           
B1700275000000  ;SOUNDTRACK                                                                                          ;120278           
B1700280300000  ;ÁFRICA ANIMAL DE RICHARD RASMUSSEN - 1ª TEMPORADA                                                   ;160223           
B1700306100000  ;ANTES QUE EU ME ESQUEÇA                                                                             ;130404           
B1700307900000  ;A SOMBRA DO PAI                                                                                     ;120251           
B1700325000000  ;MEXEU COM UMA MEXEU COM TODAS                                                                       ;160542           
B1700328500000  ;D.P.A. - DETETIVES DO PRÉDIO AZUL                                                                   ;160460           
B1700329000000  ;LEÕES DE PARAISÓPOLIS                                                                               ;160626           
B1700330100000  ;BINGO - O REI DAS MANHÃS                                                                            ;120395           
B1700332400000  ;QUERIDA MAMÃE                                                                                       ;150301           
B1700336900000  ;SOB PRESSÃO                                                                                         ;170170           
B1700337400000  ;SOB O VÉU DA VIDA OCEÂNICA                                                                          ;160526           
B1700339400000  ;DO JIU JITSU AO MMA                                                                                 ;160181           
B1700339700000  ;HISTORIETAS ASSOMBRADAS - O FILME                                                                   ;080225           
B1700347400000  ;RECEITAS EM SÉRIE                                                                                   ;160129           
B1700347600000  ;MALASARTES E O DUELO COM A MORTE                                                                    ;100084           
B1700349800000  ;JOÃO, O MAESTRO                                                                                     ;110221           
B1700349900000  ;CAMINHO DO MAR                                                                                      ;140502           
B1700353800000  ;BERENICE PROCURA                                                                                    ;130226           
B1700353800000  ;BERENICE PROCURA                                                                                    ;129035           
B1700354000000  ;SÃO PAULO NAS ALTURAS                                                                               ;150310           
B1700354200000  ;A ARTE DO FUTEBOL BRASILEIRO                                                                        ;160245           
B1700357200000  ;PEDIDOS INCRÍVEIS                                                                                   ;150045           
B1700359600000  ;AMOR DE COZINHA                                                                                     ;150317           
B1700362200000  ;BRASIL ESTRADEIRO                                                                                   ;110483           
B1700362500000  ;ABRINDO O ARMÁRIO                                                                                   ;150563           
B1700371900000  ;CADARÇO                                                                                             ;140355           
B1700375000000  ;EU SOU ASSIM                                                                                        ;160613           
B1700376400000  ;ARTISTAS PLÁSTICOS BRASILEIROS                                                                      ;140186           
B1700378900000  ;PERRENGUE                                                                                           ;150531           
B1700382400000  ;LINO - UMA AVENTURA DE SETE VIDAS                                                                   ;100435           
B1700386400000  ;NÃO DEVORE MEU CORAÇÃO                                                                              ;130266           
B1700386500000  ;COMO SE TORNAR O PIOR ALUNO DA ESCOLA                                                               ;140300           
B1700395900000  ;DUAS DE MIM                                                                                         ;120451           
B1700401300000  ;BOBOLÂNDIA MONSTROLÂNDIA - 1ª TEMPORADA                                                             ;130413           
B1700402100000  ;BLITZ                                                                                               ;120292           
B1700405200000  ;PRAÇA PARIS                                                                                         ;150137           
B1700409900000  ;QUERIDO EMBAIXADOR                                                                                  ;100169           
B1700416900000  ;AOS TEUS OLHOS                                                                                      ;160468           
B1700422600000  ;CHOCANTE                                                                                            ;160149           
B1700423300000  ;AS AVENTURAS DO MIAU                                                                                ;170329           
B1700428000000  ;A MENINA ÍNDIGO                                                                                     ;120183           
B1700428100000  ;TODAS AS RAZÕES PARA ESQUECER                                                                       ;160273           
B1700430100000  ;UM CONTRA TODOS - 2ª TEMPORADA                                                                      ;160036           
