CPB;TITULO_ORIGINAL;NUMERO_SALIC
B0500312100000  ;MINHA VIDA EM SUAS MÃOS                                                                             ;971704           
B0500312600000  ;AMOR E CIA                                                                                          ;961562           
B0500312900000  ;UMA ONDA NO AR                                                                                      ;993707           
B0500313700000  ;CASTELO RA-TIM-BUM                                                                                  ;972953           
B0500313900000  ;BUENA SORTE                                                                                         ;960424           
B0500314000000  ;NETTO PERDE SUA ALMA                                                                                ;983544           
B0500321300000  ;LUA DE OUTUBRO                                                                                      ;960278           
B0500323500000  ;ACHADOS E PERDIDOS                                                                                  ;012070           
B0500324300000  ;CRIME DELICADO                                                                                      ;030186           
B0500334900000  ;SAL DE PRATA                                                                                        ;039002           
B0500334900000  ;SAL DE PRATA                                                                                        ;024017           
B0500336400000  ;TRAPALHÃO E A LUZ AZUL, O                                                                           ;973153           
B0500353400000  ;ESSES MOÇOS                                                                                         ;013667           
B0500355400000  ;EU AMO MEU CORAÇÃO - FILME POR UM FIO                                                               ;000231           
B0500363900000  ;GÊMEAS                                                                                              ;983554           
B0500364500000  ;LYGIA E MORTE                                                                                       ;950918           
B0500364700000  ;MESTRE BIMBA - A CAPOEIRA ILUMINADA                                                                 ;024070           
B0500365600000  ;MORRO DA CONCEIÇÃO                                                                                  ;030263           
B0500370500000  ;CORONEL E O LOBISOMEM, O                                                                            ;030313           
B0500376500000  ;DOM HELDER CAMARA - O SANTO REBELDE                                                                 ;993730           
B0500377400000  ;A MÁQUINA                                                                                           ;040075           
B0500377900000  ;SURF ADVENTURES                                                                                     ;993333           
B0500378700000  ;AO SUL DE SETEMBRO                                                                                  ;030365           
B0500378800000  ;FIM E O PRINCÍPIO, O                                                                                ;030286           
B0500385000000  ;VOCAÇÃO DO PODER                                                                                    ;030184           
B0500386700000  ;BOSSA NOVA                                                                                          ;973450           
B0500388300000  ;ÁRIDO MOVIE                                                                                         ;023657           
B0500403400000  ;FOR ALL, TRAMPOLIM DA VITÓRIA                                                                       ;951224           
B0500431200000  ;MAPAS URBANOS II                                                                                    ;973912           
B0500431500000  ;CORPO                                                                                               ;050280           
B0500431600000  ;CAFUNÉ                                                                                              ;050287           
B0500433200000  ;SE EU FOSSE VOCÊ                                                                                    ;040224           
B0500433700000  ;XUXINHA E GUTO CONTRA OS MONSTROS DO ESPAÇO                                                         ;040150           
B0500433800000  ;QUINZE, O                                                                                           ;984105           
B0500434100000  ;HOMEM PODE VOAR - A SAGA DE SANTOS DUMONT, O                                                        ;011840           
B0500436300000  ;WOOD & STOCK: SEXO, ORÉGANO E ROCK                                                                  ;000381           
B0500437900000  ;JULIA MANN                                                                                          ;973911           
B0500438300000  ;MARGEM DO CONCRETO, A                                                                               ;040141           
B0500438500000  ;BALEIAS EM ABROLHOS                                                                                 ;962435           
B0500438700000  ;TAPETE VERMELHO                                                                                     ;011954           
B0500439200000  ;MENINAS                                                                                             ;040063           
B0500440200000  ;CERRO DO JARAU                                                                                      ;024003           
B0500441200000  ;EU ME LEMBRO                                                                                        ;013696           
B0500442900000  ;SAMBANDO NAS BRASAS, MORÔ?                                                                          ;049003           
B0500444000000  ;ÉS TU, BRASIL                                                                                       ;993700           
B0500444400000  ;QUEM MATOU PIXOTE ?                                                                                 ;951156           
B0500444500000  ;UM LOBISOMEM NA AMAZÔNIA                                                                            ;011879           
B0500444600000  ;DIDI, O CAÇADOR DO TESOURO                                                                          ;040236           
B0600450400000  ;TRONCO, O                                                                                           ;960521           
B0600459900000  ;MULHERES DO BRASIL                                                                                  ;024286           
B0600460000000  ;PERIGOSA OBSESSÃO                                                                                   ;040090           
B0600460600000  ;VIAJANTE, O                                                                                         ;960971           
B0600461400000  ;ANJOS DO SOL                                                                                        ;050385           
B0600466000000  ;FILHOS DO CARNAVAL                                                                                  ;040048           
B0600467100000  ;GATÃO DE MEIA IDADE                                                                                 ;000359           
B0600467200000  ;DEPOIS DAQUELE BAILE                                                                                ;030366           
B0600470800000  ;SERRAS DA DESORDEM                                                                                  ;023647           
B0600471300000  ;EM TRÂNSITO                                                                                         ;000352           
B0600471600000  ;UM CRAQUE CHAMADO DIVINO                                                                            ;023823           
B0600475100000  ;BOLEIROS 2                                                                                          ;030055           
B0600477800000  ;IRMA VAP - O RETORNO                                                                                ;013668           
B0600490100000  ;BRASÍLIA 18 POR CENTO                                                                               ;030216           
B0600490200000  ;CARREIRAS                                                                                           ;050241           
B0600494700000  ;ILHA DO TERRÍVEL RAPATERRA, A                                                                       ;973614           
B0600496100000  ;DIA EM QUE O BRASIL ESTEVE AQUI, O                                                                  ;040353           
B0600498800000  ;ANTÁRTICA - O CONTINENTE GELADO COM AMYR KLINK                                                      ;040067           
B0600502500000  ;METEORO                                                                                             ;971060           
B0600504400000  ;NZINGA                                                                                              ;973907           
B0600506100000  ;OS PAPAGAIOS AMARELOS                                                                               ;012012           
B0600508700000  ;PAIXÃO PERDIDA                                                                                      ;962437           
B0600509100000  ;CANTA MARIA                                                                                         ;000201           
B0600513700000  ;INVASOR, O                                                                                          ;000382           
B0600514100000  ;ABOIO                                                                                               ;050100           
B0600520200000  ;ANIMAIS DO BRASIL                                                                                   ;030007           
B0600520300000  ;ANAHY DE LAS MISIONES                                                                               ;951255           
B0600522500000  ;VEIAS E VINHOS: UMA HISTÓRIA BRASILEIRA                                                             ;993674           
B0600524400000  ;É PROIBIDO PROIBIR                                                                                  ;030355           
B0600527900000  ;ANTONIA                                                                                             ;039005           
B0600527900000  ;ANTONIA                                                                                             ;023930           
B0600532400000  ;MUSICAGEN                                                                                           ;050095           
B0600534900000  ;ATRAVÉS DA JANELA                                                                                   ;973589           
B0600535300000  ;SONHOS E DESEJOS                                                                                    ;024109           
B0600535800000  ;ZUZU ANGEL                                                                                          ;040153           
B0600537900000  ;GLUB GLUB APRESENTA: HISTÓRIAS DA NATUREZA                                                          ;050286           
B0600538400000  ;PERSON                                                                                              ;011914           
B0600539200000  ;INTERVALO CLANDESTINO                                                                               ;050252           
B0600543400000  ;PATRULHA NICK - 1º SEMESTRE DE 2005                                                                 ;050082           
B0600543500000  ;ESTRADAS REAIS DAS MINAS AO MAR                                                                     ;050043           
B0600546700000  ;MUITO GELO E DOIS DEDOS DE ÁGUA                                                                     ;040183           
B0600547500000  ;CEGO QUE GRITAVA LUZ, O                                                                             ;950179           
B0600548900000  ;RALLY DOS SERTÕES 2005 - DIÁRIO DE BORDO II                                                         ;050210           
B0600549900000  ;TÔNICA DOMINANTE                                                                                    ;973954           
B0600552000000  ;TRAIR E COÇAR É SÓ COMEÇAR                                                                          ;050239           
B0600552200000  ;NOEL - POETA DA VILA                                                                                ;984885           
B0600554700000  ;TRÊS CHAPADAS E UM BALÃO                                                                            ;962438           
B0600555300000  ;PRO DIA NASCER FELIZ                                                                                ;030009           
B0600556000000  ;BOLEIROS, ERA UMA VEZ O FUTEBOL                                                                     ;950775           
B0600561200000  ;HANS STADEN                                                                                         ;950654           
B0600566800000  ;FICA COMIGO ESTA NOITE                                                                              ;012080           
B0600566900000  ;MAPAS URBANOS                                                                                       ;962408           
B0600568300000  ;PONTAL DO PARANAPANEMA, O                                                                           ;030003           
B0600572700000  ;O ANO EM QUE MEUS PAIS SAÍRAM DE FÉRIAS                                                             ;023934           
B0600575000000  ;MORO NO BRASIL                                                                                      ;993655           
B0600578000000  ;REMISSÃO                                                                                            ;030201           
B0600578400000  ;BRASILEIRINHO                                                                                       ;079011           
B0600578400000  ;BRASILEIRINHO                                                                                       ;050350           
B0600578400000  ;BRASILEIRINHO                                                                                       ;030224           
B0600581800000  ;OS DOZE TRABALHOS                                                                                   ;030336           
B0600587200000  ;CÉU DE SUELY, O                                                                                     ;040035           
B0600587800000  ;SÓLO DIOS SABE                                                                                      ;030267           
B0600588700000  ;DONO DO MAR, O                                                                                      ;971920           
B0600592800000  ;OLHAR ESTRANGEIRO                                                                                   ;024294           
B0600593100000  ;QUERÔ                                                                                               ;024295           
B0600593100000  ;QUERÔ                                                                                               ;060189           
B0600598700000  ;EUROPA PAULISTANA                                                                                   ;050258           
B0600599600000  ;BATISMO DE SANGUE                                                                                   ;030221           
B0600599800000  ;1972                                                                                                ;984629           
B0600602300000  ;BRICHOS                                                                                             ;040121           
B0600602300000  ;BRICHOS                                                                                             ;070184           
B0600603500000  ;PARINTINS - JUNGLE MAGIC                                                                            ;040096           
B0600604600000  ;MUNDO EM DUAS VOLTAS, O                                                                             ;013780           
B0600615800000  ;FOLIAR BRASIL                                                                                       ;030112           
B0600616500000  ;XUXA GÊMEAS                                                                                         ;060128           
B0600616600000  ;O CAVALEIRO DIDI E A PRINCESA LILI                                                                  ;060063           
B0600618500000  ;MARIO                                                                                               ;950312           
B0600623600000  ;NETTO E O DOMADOR DE CAVALOS                                                                        ;030290           
B0600628200000  ;ENCONTRO COM MILTON SANTOS OU O MUNDO GLOBAL VISTO DO LADO DE CÁ                                    ;049015           
B0600628200000  ;ENCONTRO COM MILTON SANTOS OU O MUNDO GLOBAL VISTO DO LADO DE CÁ                                    ;024156           
