,REGISTRO_ANCINE,RAZAO_SOCIAL,EMPRESA_ASSOCIADA
3553,18301,KRAÔ PRODUTORA E EVENTOS LTDA,"DOIS TOM COMUNICAÇÃO, PRODUÇÃO E EVENTOS LTDA"
3554,42719,TAVARES FILHO COMÉRCIO DE PRODUTOS ALIMENTÍCIOS EIRELI,RHTF SERVIÇOS DE PESQUISA LTDA
3555,3226,CASABLANCA EFEITOS CINEMATOGRÁFICOS LTDA,CBSP - CASABLANCA SERVICE PROVIDER LTDA
3556,12797,A. P. VASCONCELOS PADRAO PRODUCOES LTDA,TOUAREG AGÊNCIA DE CONTEÚDO LTDA.
3557,37608,BOLT PRODUTORA CRIATIVA LTDA,COMP PRODUTORA DE AUDIO E VIDEO LTDA
3558,592,ESTAÇÃO CINEMA E CULTURA LTDA,ADRIANA SCORZELLI RATTES
3559,47444,PORTO FELIZ CAFÉ E VIDEO LTDA,ADRIANA SCORZELLI RATTES
3560,33543,UNIMOBILE SOLUÇÕES MÓVEIS E BROADCAST LTDA,RÁDIO E TELEVISÃO ALTO TIETÊ LTDA
3561,45502,ACESSOLINE TELECOMUNICAÇÕES LTDA,SUPERLINE TELECOMUNICACOES LTDA - EPP
3562,2789,VÍDEO NAS ALDEIAS,PAPO AMARELO PRODUÇÕES CINEMATOGRÁFICAS LTDA - ME
3563,1352,ETCÉTERA PRODUÇÕES ARTÍSTICAS LTDA.,ETCÉTERA AUDIOVISUAL EIRELI - ME
3564,2308,LW EDITORA DISTRIBUIDORA E ASSESSORIA DE COMUNICAÇÃO LTDA,CANNES PRODUÇÕES S/A
3565,45102,DIVERSITY COMUNICAÇÃO E PRODUÇÃO DE CONTEÚDO EIRELI,A. J. DA SILVA - PRODUTORA - ME
3566,2298,EBCINE S/A - EMPRESA BRASILEIRA DE CINEMAS,PORTO FELIZ CAFÉ E VIDEO LTDA
3567,46321,"TONKS CINEMATOGRAFICA, CONSULTORIA E EDITORA EIRELI",ULTRAVISÃO CINEMAS E ENTRETENIMENTO LTDA.
3568,387,BRASIL FILMES LTDA,ESTUDIOS MEGA LTDA
3569,22519,PAULO FRANCISCO PERES LUCAS ME,VOZ FILMES E PRODUÇÕES ARTÍSTICAS EIRELI
3570,34021,P&K TELECOM LTDA,BRASREDE TELECOMUNICAÇÕES LTDA
3571,14286,MS MONDEGO,SOTAQUE FILMES LTDA - ME
3572,47855,TRÊS PESQUISA E SERVIÇOS LTDA,SOTAQUE FILMES LTDA - ME
3573,17732,CINEPLEX CINEMATOGRAFICA LTDA,SANTA CLARA COMÉRCIO DE EQUIPAMENTOS PARA CINEMA LTDA
3574,33204,RTV DIGITAL LTDA - EPP,RTV PRODUTORA LTDA EPP
3575,3186,ABRIL RADIODIFUSAO S.A.,ABRIL COMUNICAÇÕES SA
3576,3270,PROEZA VIDEO PRODUÇÕES LTDA - ME,PROEZA AUDIOVISUAIS
3577,14233,CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.,VEREDA INTERNACIONAL AUDIOVISUAL LTDA
3578,12958,VEREDA FILMES LTDA,VEREDA INTERNACIONAL AUDIOVISUAL LTDA
3579,40638,CINEMA DO RIO CULTURA E EVENTOS LTDA,ESTAÇÃO ARTE E EVENTOS LTDA
3580,50872,DESEJANTE FILMES E PRODUÇÕES LTDA.,FEEL FILMES E PRODUCOES LTDA
3581,48955,BOILER PRODUÇÃO DE FILMES LTDA,PAPAKI PARTICIPACOES E PRODUCOES AUDIOVISUAIS LTDA.
3582,30392,LEMONADE FILMES,LEMONADE CONTEUDO
3583,16382,DOIS DE OURO PRODUÇÕES ARTISTICAS LTDA,BRASILIANOS PRODUCOES LTDA
3584,19875,PALHA & ENTRETENIMENTOS - CASA DE CRIAÇÃO PRODUÇÕES LTDA - ME,FERVEDOURO PRODUCOES CINEMATOGRAFICAS LITERARIAS E CULTURAIS UNIPESSOAL LTDA
3585,25649,BRAVURA CINEMATOGRÁFICA LTDA.,BRVR FILMES LTDA
3586,21229,NOVAS MIDIAS DIGITAIS PROGRAMADORA LTDA,UNIGRAF EDITORA E PLANEJAMENTO LTDA.
3587,1683,ECOFALANTE,GUARIBA FILMES LTDA - ME
3588,647,MAPA FILMES DO BRASIL LTDA.,GCB EMPREENDIMENTOS E PARTICIPAÇÕES LTDA
3589,1887,PRODUÇÕES CINEMATOGRÁFICAS R F FARIAS LTDA,LMC PRODUÇÕES ARTÍSTICAS LTDA
3590,42204,GO BROCCOLI PRODUÇÕES LTDA,NIRVANA TECNOLOGIA DIGITAL LTDA
3591,13468,CINEAR PRODUCOES E EXIBICOES CINEMATOGRAFICAS EIRELI,MUITO MAIS PROMOÇÕES LTDA
3592,12650,BRASILEIRA IMAGEM E CONTEUDO LTDA.,"BRASILEIRA FILMES, ENTRETENIMENTO E CULTURA LTDA"
3593,5099,HOT DOG FILMES LTDA,"BRASILEIRA FILMES, ENTRETENIMENTO E CULTURA LTDA"
3594,21552,NEW STAR PRODUÇÕES LTDA,MANRESA E ELIAS ÁUDIO E VÍDEO LTDA
3595,38276,ULTRAVIOLETA PRODUCAO AUDIOVISUAL LTDA,SUSTO PRODUÇÃO DE FILMES LTDA
3596,1021,CITIZENCRANE - PRODUCOES CINEMATOGRAFICAS LTDA - ME,SUSTO PRODUÇÃO DE FILMES LTDA
3597,18750,DOBLE V PRODUCOES LTDA,CINÉTICA FILMES E PRODUÇÕES LTDA.
3598,24385,O. T. GUARANY ­ ME,TARGET COMUNICAÇÃO LTDA
3599,5896,CANAL DE IDÉIAS PROPAGANDA E MARKETING LTDA,PRODUCOES CANAL DE IDEIAS LTDA
3600,27725,DRAP PRODUÇÃO CULTURAL LTDA. - ME,REDEMUNHO PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA
3601,43056,ANA CLAUDIA DE LIMA FARIA DAS CHAGAS 07253100735,SBAC- PRODUÇÕES CINEMATOGRÁFICAS
3602,40931,J J R PINHEIRO PRODUTORA DE FILMES EIRELI,ASSOCIAÇÃO DE MÍDIAS AUDIOVISUAL E CINEMA DO AMAZONAS - AMACINE
3603,33240,NDC COMUNICAÇÕES LTDA,ND COMUNICAÇÃO E PUBLICIDADE LTDA
3604,1018,27 PRODUÇÕES LTDA,FAST FILM COMERCIAL IMPORTADORA E EXPORTADORA LTDA
3605,21901,CYGNUS MEDIA LTDA,IMAGEM SERVIÇOS CINEMATOGRÁFICOS EIRELI
3606,3132,CINEMAS ALVORADA DIVERSÕES LTDA,ESPLANADA CINEMATOGRÁFICA LTDA
3607,4404,EMPRESA CINEMATOGRÁFICA CAMPO GRANDE,ESPLANADA CINEMATOGRÁFICA LTDA
3608,42438,ONG COMUNICA,CINERAMABC FILMES E PRODUÇÕES ARTÍSTICAS LTDA. ME
3609,1315,PAN EVENTOS E PROJETOS CULTURAIS LTDA,PANCULTURAL EVENTOS E PROJETOS CULTURAIS LTDA
3610,21901,CYGNUS MEDIA LTDA,LYNXFILM PRODUÇÕES AUDIO-VISUAIS LTDA
3611,49743,LIFE NEGOCIOS CRIATIVOS EIRELI,JOSÉ JORGE LAGO CARDOSO JUNIOR
3612,870,MAC PRODUÇÕES EM VÍDEO E COMERCIO LTDA,MACROVISION PRODUÇÕES COMERCIO E SERVIÇOS DE VIDEO LTDA ME
3613,17518,INSPIRA PRODUÇÕES LTDA,INSPIRA FILMES LTDA
3614,28341,JOSUE´S CINE UNIVERSITÁRIO LTDA - ME,JOSUÉ´S CINE COMUNICAÇÃO CAPITÓLIO LTDA.
3615,19845,JOSUÉ´S CINE SAMONTE LTDA.,JOSUÉ´S CINE COMUNICAÇÃO CAPITÓLIO LTDA.
3616,36336,TELEVISAO BORBOREMA S/A,TV PONTA VERDE LTDA
3617,44323,CINE LASER CINEMAS NORDESTE LTDA,CINE LASER NORTE CINEMA LTDA
3618,31198,GATO PRETO FILMES PRODUCAO E DISTRIBUICAO IMPORTACAO E EXPORTACAO LTDA ­ ME,LEONARDO HENRIQUE PEREIRA BRANCO ME
3619,33872,MPQUATRO PRODUCOES AUDIOVISUAIS LTDA - ME,EYXO ESTRATÉGIAS DE INOVAÇÃO LTDA
3620,30923,ANIMAZOO ENTRETENIMENTO LTDA,TELEVISÃO LAGES LTDA
3621,33091,SAPDL PRODUÇÕES ARTÍSTICAS E EDITORA LTDA EPP,GABRIEL ARAGAO DE CARVALHO LTDA
3622,45252,BABEL PUBLICIDADE LTDA,BABEL AZZA AGENCIA DE PUBLICIDADE LTDA
3623,1660,ORIENT FILMES - DISTRIBUIDORA DE FILMES LTDA,CINEMAS PARIS ORIENT LTDA
3624,2849,ITAIGARA PLEXCINE LTDA.,CINEMAS PARIS ORIENT LTDA
3625,1660,ORIENT FILMES - DISTRIBUIDORA DE FILMES LTDA,ITAIGARA PLEXCINE LTDA.
3626,33770,TUBARÃO FILMES LTDA,JUBARTE FILMES LTDA-ME
3627,23411,MELQUIADES & CALDEIRA LTDA ME,W DE S MELQUIADES PUBLICIDADE ME
3628,27002,MISTURA LOUCA PRODUÇOES ARTISTICAS LTDA,WORK SHOW PRODUCOES E ENTRETENIMENTO ARTISTICOS LTDA
3629,7073,OGILVY & MATHER BRASIL COMUNICAÇÃO LTDA,MUTATO ENTRETENIMENTO CONTEUDO E PUBLICIDADE LTDA
3630,12489,VIA SUL CINEMATOGRÁFICA LTDA,CINEMATOGRÁFICA PIÚMA LTDA
3631,5221,CINEMATOGRÁFICA CACHOEIRO LTDA ME,CINEMATOGRÁFICA PIÚMA LTDA
3632,47917,CINE MANHORI LTDA.,DIEGO JOSE MARINHO ME
3633,44414,CINE LASER NORTE CINEMA LTDA,CINE LASER CINEMAS UMUARAMA LTDA
3634,3304,CRSM PRODUÇÕES ARTÍSTICAS LTDA.,T2A PARTICIPAÇÕES LTDA
3635,25169,CSM PRODUÇÕES ARTÍSTICAS EIRELI-EPP,T2A PARTICIPAÇÕES LTDA
3636,41994,HUGO LEONARDO THEOBALD 06925212755,H L THEOBALD FILMES
3637,41338,CACHOEIRA FILMES LTDA - EPP,RAFAEL DA COSTA DA SILVA 09642380714
3638,2836,EMPRESA SAO LUIZ DE CINEMAS LTDA,CINE ELI AMAZONAS CINEMAS LTDA
3639,15711,BUENA ESTUDIOS PRODUÇÃO E ENTRETENIMENTO LTDA,BRAGA & BRAGA PRODUÇÃO CINEMATOGRÁFICA LTDA.
3640,19299,CARAVELA FILMES LTDA.,LEME FILMES E PRODUÇÕES CINEMATOGRAFICAS LTDA
3641,3500,BELLI STUDIO DESIGN LTDA.,BELLI STUDIO PRODUÇÕES LTDA
3642,16713,VITRINE FILMES LTDA,RETRATO FILMES LTDA
3643,49849,ESPAÇO DE CINEMA SUL LTDA,CINE COMERCIAL PASSO FUNDO LTDA
3644,1083,CIRCUITO CINEARTE LTDA,CINE COMERCIAL PASSO FUNDO LTDA
3645,2735,CINEARTE MORUMBI LTDA,CINE COMERCIAL PASSO FUNDO LTDA
3646,15792,TOUAREG AGÊNCIA DE CONTEÚDO LTDA.,A. P. VASCONCELOS PADRAO PRODUCOES LTDA
3647,45088,BRODERS FILMES LTDA,IMAGEMNATION STUDIO E PRODUÇÕES LTDA
3648,51651,LEMONADE LAB LTDA,LEMONADE HUB LTDA EPP
3649,46311,LEMONADE CONTEUDO,LEMONADE HUB LTDA EPP
3650,6445,ZABUMBA AUDIOVISUAL E EXPRESSOES CULTURAIS EIRELI,VEREDAS COMUNICAÇÃO E ARTE LTDA.
3651,34002,ALINE DA SILVA MOREIRA,ALINE DA SILVA MOREIRA - ME
3652,22538,CLARALUZ PRODUCOES AUDIOVISUAIS LTDA,FETICHE PRODUÇÕES AUDIOVISUAIS LTDA.
3653,18830,KOMBAT FILMS LTDA,GLITTER PRODUÇÕES ARTÍSTICAS LTDA
3654,24508,AMORA FILMES LTDA.,AGÊNCIA DE IDEIAS PRODUÇÕES CULTURAIS E EDITORIAIS LTDA - ME
3655,21145,SPHERE PRODUCTIONS PRODUÇÃO E COMÉRCIO DE FILMES LTDA. ME,TV PONTO COMUNICACAO EIRELI
3656,16894,ESFERA PRODUÇÕES E COMÉRCIO DE FILMES LTDA-ME,TV PONTO COMUNICACAO EIRELI
3657,48303,JAVALI DO MAR EXPERIMENTACOES ARTISTICAS LTDA. - ME.,LEBEN 108 PRODUTORA DE FILMES LTDA
3658,48099,ALIVE MEDIA CONTENT LTDA,DIGITAL VÍDEO PRODUÇÕES S/C LTDA ME
3659,1500,CANAL BRAZIL S/A,GLOBO COMUNICACAO E PARTICIPACOES S/A
3660,52531,CINE A SERVIÇOS LTDA,CINE A MARABA LTDA
3661,18766,AUWE DIGITAL S.A.,RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA
3662,407,INDIE RECORDS LTDA,RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA
3663,15742,COMPANHIA RIO BONITO - COMUNICAÇÕES,PRH9 PRODUÇÕES S/A
3664,3293,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,PRH9 PRODUÇÕES S/A
3665,46945,TRADE COMUNICACAO LTDA,DEEP BLUE FILMS LTDA ME
3666,12946,RADIO E TELEVISAO BANDEIRANTES DO RIO DE JANEIRO S.A.,RADIO E TELEVISAO BANDEIRANTES S.A.
3667,40547,PAIVA & PINHEIRO SERVIÇOS DE COMUNICAÇÃO LTDA,P E P SERVIÇOS DE COMUNICAÇÃO EIRELI - EPP
3668,121,MISTER GRAFIX PRODUÇÕES LTDA,CENA 1 PRODUÇÕES LTDA
3669,21300,MP PRODUÇÕES LTDA,RCN PRODUÇÕES LTDA
3670,37664,CRISTIANE SANTOS DE LEMOS,CELLULOID CINEVÍDEO LTDA
3671,21599,PEQUI GRAVAÇÕES LTDA,PEQUI FILMES LTDA
3672,29583,RENDERFRAME PRODUÇÕES AUDIOVISUAIS LTDA,44 BICO LARGO COMERCIAL LTDA
3673,44837,REDECINE SANTOS CINEMATOGRAFICA LTDA,NETCINE ASSESSORIA DE NEGOCIO E INGRESSOS LTDA
3674,25182,REDECINE SUL CINEMAS LTDA.,NETCINE ASSESSORIA DE NEGOCIO E INGRESSOS LTDA
3675,41787,ARVORE EXPERIENCIAS IMERSIVAS EIRELI,FAZENDA URBANA DIGITAL PRODUÇÕES LTDA - ME
3676,44922,ATENEA PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA,GALERIA DISTRIBUIDORA AUDIOVISUAL LTDA
3677,27895,BENGUELA PRODUÇÕES E EVENTOS CULTURAIS LTDA ME,RINOCERONTE ENTRETENIMENTO E PRODUCAO LTDA.
3678,11880,SPIRIT ENTRETENIMENTO LTDA,SPIRIT RECORDS PRODUÇÕES CINEMATOGRÁFICAS EIRELI
3679,27992,BROTHERS LICENCIADORA DE MARCAS E SERVIÇOS LTDA,TELO PRODUÇÕES ARTÍSTICAS LTDA
3680,623,TELEVISAO SUL DE MINAS S/A,O. A. EVENTOS LTDA
3681,45730,TANTAS PRODUÇÕES ARTÍSTICAS LTDA.,GAIVOTA PRODUÇÕES ARTÍSTICAS LTDA.
3682,17176,REAIS FILMES LTDA,JÁ FILMES S/S LTDA
3683,42645,ASSOCIAÇÃO DE PROMOÇÃO DA CIDADANIA E DESENVOLVIMENTO SOCIAL,NEXO INTELIGENCIA EM PROJETOS E CONSULTORIA LTDA
3684,37714,TOMADA DE ARTE FILMES LTDA.,TELEVISÃO AMÉRICA LATINA
3685,22877,TROPA FILMES E PRODUÇÕES LTDA,BIGORNA FILMES PRODUÇÃO AUDIOVISUAL LTDA
3686,22341,A&E OLE AUDIOVISUAL SERVICOS E REPRESENTACOES LTDA.,NBC UNIVERSAL NETWORKS INTERNATIONAL BRASIL LTDA.
3687,22461,AMC NETWORKS SERVIÇOS DE TELEVISÃO DO BRASIL LTDA,NBC UNIVERSAL NETWORKS INTERNATIONAL BRASIL LTDA.
3688,39833,MACHINE FILMES LTDA,MOUSE HOUSE PRODUCOES LTDA - ME
3689,49694,GLM MARKETING SOLUÇÕES EMPRESARIAIS EIRELI,CANOA PRODUÇÕES AUDIOVISUAIS LTDA. - EPP
3690,48447,AGÊNCIA DE PUBLICIDADE EPK LTDA,EPIC FILMES LTDA
3691,25138,NEW WAVE MEDIA PRODUÇÕES LTDA,MEDIA BRIDGE PRODUÇÕES LTDA.
3692,25973,DGT SERVIÇOS DE MONITORAMENTO LTDA,QUANTA POST FINALIZAÇÃO DE PRODUÇÕES CINEMATOGRÁFICAS LTDA
3693,20526,CAMPOS PRODUCOES LTDA ME,CAMPOS PROPAGANDA LTDA.
3694,29559,BLOWUP PRODUCOES DE FILMES EIRELLE - ME,ANIMA PRODUÇÕES LTDA
3695,40848,MONTAGEM PARALELA PROJETOS AUDIOVISUIAS E COMUNICACAO LTDA - ME,FLORESTA URBANA AUDIOVISUAL E COMUNICACAO LTDA
3696,27942,CASA AMARELA FILMES PRODUÇÕES CINEMATOGRÁFICAS LTDA,YOU BRASIL CONTEUDO E MARKETING LTDA
3697,16394,DMP MARKETING E PROMOÇÃO LTDA,DIVULGAÇÃO PUBLICIDADE LTDA
3698,46310,BENZEDEIRA FILMES LTDA,L C V VIDEO COMUNICACAO LTDA
3699,41215,FUNDAÇÃO EDUCATIVA E CULTURAL EDILSON BRANDÃO GUIMARÃES,MARINHO & SANTOS LIMITADA
3700,52125,GABRIEL ARAGAO DE CARVALHO LTDA,SAPDL PRODUÇÕES ARTÍSTICAS E EDITORA LTDA EPP
3701,2000,GOD PRODUÇÕES DE VIDEOS LTDA,RADIO E TELEVISAO DIARIO DE MOGI LTDA
3702,47520,NETCINE ASSESSORIA DE NEGOCIO E INGRESSOS LTDA,REDECINE RIO GRANDE CINEMATOGRAFICA LTDA
3703,22774,ROMANCE PRODUÇÕES ARTÍSTICAS LTDA,ARROCHA PROMOÇÕES ARTÍSTICAS LTDA
3704,17268,J&M PRODUÇÕES ARTISTICAS LTDA.,ARROCHA PROMOÇÕES ARTÍSTICAS LTDA
3705,37228,CINECOM ENTRETENIMENTO LTDA,CAMARADA FILMES LTDA - ME.
3706,31641,CINEMATOGRÁFICA CATAGUASES LTDA EPP,CINEMATOGRAFICA CINEMA UBA LTDA
3707,17960,ANIMA NOVA MIDIA INTERMEDIAÇÃO DE NEGÓCIOS LTDA.,BKS DUBLAGENS DO BRASIL LTDA
3708,19540,AEB PRODUÇÕES LTDA,BOSSA PRODUÇÕES LTDA
3709,1753,CAZUZO PROMOÇÕES ARTISTISCAS LTDA.,"ALER PRODUCOES CINEMATOGRAFICAS, ARTISTICAS E TEATRAIS LTDA"
3710,26611,"MONEWA - COMUNICAÇÃO, PRODUÇÕES E SERVIÇOS LTDA",OBARÁ PRODUÇÕES ARTÍSTICAS LTDA
3711,41527,O LUIZ MINUZZI ME,BORANÓS MERCADO PUBLICITÁRIO LTDA
3712,43818,PRODUZIR VIDEOS LTDA,WVC VIDEO E COMUNICAÇÃO LTDA
3713,14310,CAVALLARIA FILMES E PRODUCOES CULTURAIS LTDA,DQKER FILMES EIRELI
3714,52867,CINEMAS HENKES E HENKES LTDA,CINEMAS H RIBEIRO GUANAMBI LTDA
3715,52398,HENKES E RIBEIRO BARREIRAS LTDA,CINEMAS H RIBEIRO GUANAMBI LTDA
3716,662,SERTEL VÍDEO LTDA - ME,5PONTO3 DIGITAL LTDA
3717,25418,GILBERTO CHAVES DA SILVA - ME,CRIATIVA AUDIOVISUAL LTDA
3718,5884,CAFEU FILMES E ILUSTRAÇÕES LTDA,CAFEU FILMES E ANIMAÇÕES LTDA
3719,23404,TRAMELA FILMES LTDA. ME,TARJA PRETA PRODUÇÕES LTDA
3720,28660,CLARO S.A.,TELMEX DO BRASIL S.A.
3721,52560,NIRVANA TECNOLOGIA DIGITAL LTDA,GO BROCCOLI PRODUÇÕES LTDA
3722,4804,IN BRANDS WE TRUST MARKETING E DISTRIBUIÇÃO LTDA,DOGS CAN FLY PRODUÇÕES CINEMATOGRÁFICAS LTDA
3723,42227,AMARANTOS ELEVA LTDA ME,CHANTILLY PRODUÇÕES ARTÍSTICAS LTDA
3724,27352,MAR DE GENTE PRODUÇÃO ARTISTICAS LTDA,CHANTILLY PRODUÇÕES ARTÍSTICAS LTDA
3725,4375,GM ARAUJO CINEMATOGRAFICA LTDA,EMPRESA CINEMATOGRÁFICA ARAUJO LTDA
3726,39593,INSULA FILMES LTDA,GABRIELA MACHADO BRIGAGAO 40043340806
3727,49425,A B S DE LIMA PRODUÇÕES,PRODUKA FILMES LTDA
3728,49849,ESPAÇO DE CINEMA SUL LTDA,CINEMA VILLAGGIO LTDA
3729,17380,ACENA AUDIOVISUAIS LTDA - ME,JOSE LUIZ F. LAU - ME
3730,37147,SUNSET PUBLICIDADE E MARKETING LTDA,CASA DA CRIAÇÃO PUBLICIDADE DE MARKETING LTDA
3731,23034,VIDEO-TRACK LTDA - ME,MOVIE TRACK CINEMA E TELEVISÃO LTDA
3732,15742,COMPANHIA RIO BONITO - COMUNICAÇÕES,RADIO E TELEVISÃO BANDEIRANTES DE MINAS GERAIS LTDA
3733,3733,DREAMVISION FILM AND VIDEO PRODUCTION LTDA,DILER & ASSOCIADOS LTDA
3734,51651,LEMONADE LAB LTDA,LEMONADE PRODUÇÕES ARTÍSTICAS LTDA.
3735,49706,LEMONADE HUB LTDA EPP,LEMONADE PRODUÇÕES ARTÍSTICAS LTDA.
3736,17997,LOCOMOTIVA FILMES LTDA - ME,AMIGOS POR CARROS PRODUÇÕES DE VIDEO LTDA.
3737,50127,GEFA COMERCIO E ENTRETENIMENTO LTDA,VICTORY EVENTOS & TURISMO LTDA
3738,30067,RENATA DE TOLEDO RUDGE - ME,SARAVÁ FILMES LTDA ME
3739,17369,TELO PRODUÇÕES ARTÍSTICAS LTDA,BROTHERS LICENCIADORA DE MARCAS E SERVIÇOS LTDA
3740,48037,GAULES PRODUCAO AUDIOVISUAL E ESPORTIVA LTDA,CCXP EVENTOS LTDA
3741,50314,LEONARDO DE SOUSA E SILVA PRODUCOES CINEMATOGRAFICA EIRELI,MANTRA PRODUCOES AUDIOVISUAIS LTDA
3742,40730,RG PALMA EXIBICAO CINEMATOGRAFICA LTDA,GEFA COMERCIO E ENTRETENIMENTO LTDA
3743,33178,LIBERTEM BARRABÁS FILMES LTDA ME,TMTA COMUNICAÇÕES LTDA
3744,3304,CRSM PRODUÇÕES ARTÍSTICAS LTDA.,TAKE4 GESTÃO DE ATIVOS LTDA
3745,25169,CSM PRODUÇÕES ARTÍSTICAS EIRELI-EPP,TAKE4 GESTÃO DE ATIVOS LTDA
3746,3547,CAMERA 2 VIDEO FILMES LTDA,VISCONDE SUPORTE BROADCASTING LTDA - EPP
3747,1021,CITIZENCRANE - PRODUCOES CINEMATOGRAFICAS LTDA - ME,UTLD PRODUCAO DE FIMES LTDA
3748,50237,SILVIO SOARES DE TOLEDO PRODUCOES AUDIOVISUAIS EIRELI,SUPERNOVA PRODUCOES CINEMATOGRAFICAS LTDA
3749,44090,LAGON FILMES LTDA,CAROLINA CALIRI DOS SANTOS 38344205816
3750,41912,RAFAEL TEIXEIRA FIGUEIREDO 31039914870,F5 CREATIVE FILMS LTDA ME
3751,52425,NAYMOVIE LOCAÇAO DE BENS LTDA.,TRAKCE EMPREENDIMENTOS E PARTICIPAÇÕES EIRELI
3752,23329,CARLA LIMA ROCHA PRODUÇÕES ARTÍSTICAS LTDA.,TERRA DO VENTO PRODUÇÕES ARTISTICAS LTDA
3753,47520,NETCINE ASSESSORIA DE NEGOCIO E INGRESSOS LTDA,REDECINE GRANJA VIANNA ADMINISTRADORA SPE LTDA
3754,5654,REDECINE-CPQ CINEMATOGRÁFICA LTDA,REDECINE GRANJA VIANNA ADMINISTRADORA SPE LTDA
3755,25182,REDECINE SUL CINEMAS LTDA.,REDECINE PINDAMONHANGABA CINEMAS LTDA
3756,46112,"FR3D PRODUCAO CINEMATOGRAFICA, TECNOLOGICA E CULTURAL EIRELI","GRAVIDADE ZERO PRODUTORA, COMUNICACAO E TECNOLOGIA LTDA"
3757,38234,CINE ELI AMAZONAS CINEMAS LTDA,CINE ELI SP CINEMAS LTDA
3758,50203,CINE LASER CINEMAS UMUARAMA LTDA,CINE LASER CASCAVEL LTDA
3759,19456,CINEMAS SANTOS RIBEIRO LTDA ME,CINEMAS RIBEIRO HENKES BARREIRAS LTDA ME
3760,43054,SJ PEDROSO GRAVACAO E FILMAGEM LTDA,REC COM GRAVACAO E FILMAGEM - EIRELI
3761,48842,SALA 33 LTDA,CARVALHO VALLE TECNOLOGIA LTDA
3762,4727,GLOBO COMUNICACAO E PARTICIPACOES S/A,PB BRASIL ENTRETENIMENTO S.A
3763,14008,CINE ART CAFÉ LTDA,CINE A LTDA
3764,39641,LYS FILMES LTDA.,VALERIA LYS RIBEIRO E SILVA - EIRELI - ME
3765,15538,TV GUARARAPES S.A.,TELEVISAO BORBOREMA S/A
3766,23766,CINEBOUTIQUE CAMERA LUZES RENTAL LTDA,TERRAVISTA FILMES LTDA - EPP
3767,22269,TUNNA ENTRETENIMENTO E AUDIOVISUAL LTDA,ALLAS PRODUÇÃO DE CONTEÚDO LTDA
3768,39868,ALBA REGINA DA SILVA AZEVEDO,SENDA PRODUÇÕES AUDIOVISUAIS LTDA
3769,26054,ASSOCIAÇÃO DE INTERAÇÃO DOS PRESTADORES DE SERVIÇOS A ARTE CULTURA E ESPORTE,"ASSOCIAÇÃO DE INTEGRAÇÃO DOS PRESTADORES DE SERVIÇOS A ARTE, CULTURA, ESPORTE E MEIO AMBIENTE"
3770,28561,C A VIEIRA LEMOS E CIA LTDA,MOBI CINE GURUPI LTDA
3771,37280,LEMOS & MORAIS LTDA - ME,MOBI CINE GURUPI LTDA
3772,17628,C.A.V. LEMOS,MOBI CINE GURUPI LTDA
3773,33204,RTV DIGITAL LTDA - EPP,D.P. MALACHIAS - FILMES - ME
3774,295,IMAN - IMAGENS ANIMADAS LTDA,CAMPO 4 PRODUÇÕES CINEMATOGRÁFICAS
3775,21932,MUNDO PORTÁTIL COMÉRCIO DE DISCOS E BRINQUEDOS LTDA.,CAMPO 4 PRODUÇÕES CINEMATOGRÁFICAS
3776,36079,INSTITUTO ABCCOM,FERNANDO MAURO PRODUÇÕES E PUBLICIDADE LTDA
3777,42989,NAJA TELECOMUNICACOES LTDA,NOSSA TELECOM TELECOMUNICAÇÕES LTDA
3778,23914,MARABERTO FILMES LTDA. - ME,GERMINAL PRODUÇÕES E EVENTOS CULTURAIS EIRELI
3779,4465,30 PÉS FILMES LTDA.,INK GERAÇÃO E PRODUÇÃO DE CONTEÚDOS LTDA
3780,221,FILMES MAIS LTDA,INK GERAÇÃO E PRODUÇÃO DE CONTEÚDOS LTDA
3781,25286,BIG BANG COMUNICACAO AUDIOVISUAL LTDA,HALLEY CONTENT PRODUÇÃO CINEMATOGRAFICA LTDA
3782,16894,ESFERA PRODUÇÕES E COMÉRCIO DE FILMES LTDA-ME,SPHERE PRODUCTIONS PRODUÇÃO E COMÉRCIO DE FILMES LTDA. ME
3783,42946,COLETIVA SETE PRODUTORA DE SOM E IMAGEM LTDA,HAND7 PRODUCOES AUDIOVISUAIS LTDA
3784,19608,GRUPO DE AÇÃO SOCIAL AFRO REGGAE - GAS,AA - AFROREGGAE AUDIOVISUAL S.A.
3785,17753,GRUPO CULTURAL AFRO REGGAE,AA - AFROREGGAE AUDIOVISUAL S.A.
3786,14950,SUPER HD VÍDEO EIRELI-ME,MP4 PRODUÇÕES
3787,37879,STUDIO WILD LTDA - ME,BRADDOCK PRODUÇÃO CINEMATOGRÁFICA LTDA
3788,43814,INSPIRAÇÃO FILMES EIRELI,CONSTELAÇÃO FILMES LTDA
3789,26591,ASSOCIAÇÃO CULTURAL ARTE PAJUÇARA,LA URSA CINEMATOGRÁFICA LTDA
