,REGISTRO_ANCINE,RAZAO_SOCIAL,EMPRESA_ASSOCIADA
82,17686,GAIA TRANSMIDIA LTDA,PULSAR PRODUCOES ARTISTICAS E CULTURAIS - EIRELI
83,38205,BABEL AZZA AGENCIA DE PUBLICIDADE LTDA,BABEL PUBLICIDADE LTDA
84,20678,JMS PRODUCOES LTDA - ME,JUR PRODUCOES LTDA - ME
85,444,FILME B COMUNICAÇÕES S.A,EDITORA FILME B LTDA
86,2735,CINEARTE MORUMBI LTDA,"MOSTRA DE CINEMA, CULTURA E EVENTOS LTDA"
87,27027,ALUMIA PRODUÇÕES LTDA-ME,MUSIC2 PUBLICIDADE DIGITAL LTDA
88,44837,REDECINE SANTOS CINEMATOGRAFICA LTDA,REDECINE TOTAL CINEMATOGRÁFICA LTDA
89,16758,BLOOD CINEMATOGRAFICA ­ EIRELI ­ ME,CAPITANO ENTRETENIMENTO E PRODUCOES LTDA
90,16638,T T F TEIXEIRA DA SILVA PUBLICIDADE ME,HYPE PRODUTORA DE VIDEOS LTDA
91,5654,REDECINE-CPQ CINEMATOGRÁFICA LTDA,REDECINE LONDRINA CINEMATOGRAFICA LTDA
92,31741,REDECINE GRANJA VIANNA ADMINISTRADORA SPE LTDA,REDECINE LONDRINA CINEMATOGRAFICA LTDA
93,35552,CANOA PRODUÇÕES AUDIOVISUAIS LTDA. - EPP,GLM MARKETING SOLUÇÕES EMPRESARIAIS EIRELI
94,37635,SESSÃO PREMIERE MÍDIA E COMUNICAÇÃO LTDA.,GINGA COMUNICAÇÃO LTDA
95,1803,WGV PRODUÇÕES ARTÍSTICAS LTDA.,PAIEIROS PRODUCOES CULTURAIS UNIPESSOAL LTDA
96,13680,BE BOSSA NOVA CRIACOES E PRODUCOES S/A,BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A
97,14574,RED TERRA STUDIOS LTDA,GENTE URBANA PRODUÇÕES CINEMATOGRÁFICAS LTDA
98,46,JODAF PRODUÇÕES CINEMATOGRÁFICAS LTDA,RADAR CINEMA E TELEVISÃO LTDA
99,46727,AZ MINA PRODUCAO DE FILMES LTDA,COLORBAR FILMES LTDA.
100,15023,LIDER - PRODUÇÕES E EVENTOS LTDA,MARLETE CELLA
101,42877,PAULO A. CARDOSO,UAU FILMES LTDA
102,53,GIROS PROJETOS AUDIOVISUAIS LTDA,GIROS HOLDING LTDA.
103,14705,ARTE PRODUÇÃO E ADMINISTRAÇÃO DE EMPREENDIMENTOS CULTURAIS LTDA,CASA JABUTICABA DE CINEMA E TEATRO LTDA
104,23431,ESFFERA FILMES PRODUÇÕES EIRELI ME,MENEGATTI PRODUÇÕES LTDA-ME
105,13792,BKS DUBLAGENS DO BRASIL LTDA,ANIMA NOVA MIDIA INTERMEDIAÇÃO DE NEGÓCIOS LTDA.
106,42248,TAKE UM PRODUÇÃO DE FILMES E EVENTOS LTDA,ESTRATÉGIA DA IMAGEM LTDA - ME
