CANAL;NR_IDENTIFICACAO;CLASSIFICACAO_CANAL;TIPO_CONTEUDO_CANAL;OFERTA_CLIENTE;DATA_INICIO_OFERTA;DENSIDADE_CANAL;NOME_PROGRAMADORA;CNPJ_PROGRAMADORA;CLASSIFICAO_PROGRAMADORA;PAIS_PROGRAMADORA
TV GRAVATAÍ; 21520.30007 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;15/11/2018;PADRÃO;ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ;10.371.708/0001-02;;BRASIL
TV GUARULHOS; 44214.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;21/08/2006;PADRÃO;PROJETO IRRADIANTE DE COMUNICAÇÃO;01.874.614/0001-65;;BRASIL
TV INFORMAÇÃO; 47990.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;15/02/2019;PADRÃO;INSTITUTO AUDIOVISUAL JOSÉ DE ANCHIETA - IAJA;33.145.553/0001-91;;BRASIL
TV KIRIMURÊ; 38423.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;10/05/2016;PADRÃO;FILHOS DO MUNDO - FEME;03.218.098/0001-46;;BRASIL
TV METRÓPOLE; 32406.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;23/05/2016;PADRÃO;ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DO CANAL COMUNITÁRIO DE OURINHOS;24.292.022/0001-30;;BRASIL
TV MONTENEGRO; 52582.30001 ;Canal de programação comum;Canal de conteúdo em geral;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;26/05/2019;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV NATAL; 22230.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;12/12/2011;PADRÃO;ASSOCIACAO DE TV COMUNITARIA E CIDADANIA DE NATAL RN;14.940.867/0001-31;;BRASIL
TV NOTÍCIA MONGAGUÁ; 47897.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;23/04/2019;PADRÃO;INSTITUTO DE MEMORIA AUDIOVISUAL DE MONGAGUÁ-IMAM;34.305.207/0001-96;;BRASIL
TV NOVO HAMBURGO; 21520.30008 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;12/06/2019;PADRÃO;ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ;10.371.708/0001-02;;BRASIL
TV OSASCO; 42435.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;27/09/2007;PADRÃO;ASSOCIAÇÃO DOS USUÁRIOS DA TV E CANAL COMUNITÁRIO DA CIDADE DE OSASCO;04.813.542/0001-34;;BRASIL
TV POP; 30477.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;01/08/2015;PADRÃO;ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DA TV COMUNITÁRIA DE PETRÓPOLIS - TV POP;22.494.557/0001-69;;BRASIL
TV SÃO LEOPOLDO; 21520.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;15/10/2012;PADRÃO;ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ;10.371.708/0001-02;;BRASIL
TV SAPUCAIA DO SUL; 21520.30003 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;15/11/2018;PADRÃO;ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ;10.371.708/0001-02;;BRASIL
TV SENADO; 43097.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;05/02/1996;PADRÃO;SENADO FEDERAL;00.530.279/0001-15;;BRASIL
TV TORRES; 52582.30002 ;Canal de programação comum;Canal de conteúdo em geral;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;17/09/2022;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV TRAMANDAÍ; 52582.30005 ;Canal de programação comum;Canal de conteúdo em geral;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;15/10/2022;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO REDE VALE DO CAÍ TV;33.901.784/0001-88;;BRASIL
TV UNIVALI; 7102.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;01/08/2002;PADRÃO;FUNDAÇÃO UNIVERSIDADE DO VALE DO ITAJAÍ;84.307.974/0001-02;;BRASIL
TV UNIVERSITÁRIA DE RECIFE; 39065.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;22/11/1968;PADRÃO;UNIVERSIDADE FEDERAL DE PERNAMBUCO;24.134.488/0001-08;;BRASIL
TV VALE DAS ARTES; 42256.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;28/02/1998;PADRÃO;RADIO E CANAL COMUNITÁRIO DE PERUÍBE RADIO E TV VALE DAS ARTES;04.290.786/0001-80;;BRASIL
TV VIAMÃO; 21520.30006 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;05/01/2016;PADRÃO;ASSOCIAÇÃO COORDENADORA DOS USUÁRIOS DO CANAL COMUNITÁRIO DE NOVO HAMBURGO, VALE DOS SINOS E CAÍ;10.371.708/0001-02;;BRASIL
TV VILA IMPERIAL - ORGANIZAÇÃO DAS ENTIDADES USUÁRIAS DO CANAL COMUNITÁRIO DE PETRÓPOLIS; 12916.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;02/10/2003;PADRÃO;TV VILA IMPERIAL - ORGANIZAÇÃO DAS ENTIDADES USUÁRIAS DO CANAL COMUNITÁRIO DE PETRÓPOLIS;05.322.835/0001-81;;BRASIL
TV VOTORANTIM; 43589.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;10/12/2009;PADRÃO;ASSOCIAÇÃO DE ENTIDADES USUÁRIAS E ADMINISTRADORAS DO CANAL COMUNITÁRIO DA CIDADE DE VOTORANTIM;11.187.987/0001-11;;BRASIL
TVCOM; 23412.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;24/12/1999;PADRÃO;ASSOCIAÇÃO DAS ENTIDADES USUÁRIAS DE CANAL COMUNITÁRIO EM SANTOS;03.199.584/0001-64;;BRASIL
TVCOM CAMPO GRANDE; 20786.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;01/01/1998;PADRÃO;SOCIEDADE DE DESENVOLVIMENTO CULTURAL,ECOLOGICA E SOCIAL DO M.S.;01.746.087/0001-03;;BRASIL
TVCOMBR; 23337.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;01/11/2012;PADRÃO;ASSOCIAÇÃO BRASILEIRA DE CANAIS COMUNITÁRIOS;04.789.808/0001-50;;BRASIL
TVC-RIO; 41628.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;30/10/1997;PADRÃO;ASSOCIAÇÃO DE ENTIDADES CANAL COMUNITARIO DE TVS POR ASSINATURA DO RIO DE JANEIRO;03.105.610/0001-48;;BRASIL
TVITAPÊ - TV COMUNITÁRIA DE ITAPETININGA; 46626.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;10/01/2002;PADRÃO;ASSOCIAÇÃO DAS ENTIDADES DO CANAL COMUNITÁRIO DE ITAPETININGA;04.728.406/0001-46;;BRASIL
VALE TV; 41579.30001 ;;;CANAL DE DISTRIBUIÇÃO OBRIGATÓRIA;27/04/2017;PADRÃO;ASSOCIAÇÃO DE COMUNICAÇÃO VALE TV;28.115.546/0001-07;;BRASIL
