CPB;TITULO_ORIGINAL;NUMERO_FSA
B1402301100000  ;UM HOMEM SÓ                                                                                         ;0211019400       
B1402332500000  ;TRINTA                                                                                              ;0212029100       
B1402378700000  ;INFÂNCIA                                                                                            ;00043            
B1402406800000  ;IRMÃ DULCE                                                                                          ;00027            
B1402431800000  ;VAN BORA!                                                                                           ;0213006700       
B1402440900000  ;X-CORAÇÃO                                                                                           ;02130026         
B1402521900000  ;AS AVENTURAS DO AVIÃO VERMELHO                                                                      ;0211024200       
B1402546500000  ;A GRANDE VIAGEM - A SÉRIE                                                                           ;0213002200       
B1402652900000  ;NISE - O CORAÇÃO DA LOUCURA                                                                         ;0212024900       
B1402689400000  ;O VENDEDOR DE PASSADOS                                                                              ;0210004400       
B1402704900000  ;LOUCAS PRA CASAR                                                                                    ;1306928          
B1402723400000  ;A NOITE DA VIRADA                                                                                   ;00087            
B1402778300000  ;SOS FADA MANU                                                                                       ;00063            
B1402785400000  ;OS ANOS 80 ESTÃO DE VOLTA                                                                           ;00074            
B1402798600000  ;CARRAPATOS E CATAPULTAS - 2A TEMPORADA                                                              ;0213003300       
B1402826500000  ;REIS DA RUA TERCEIRA TEMPORADA                                                                      ;00039            
B1402850900000  ;SONHOS DE ABU                                                                                       ;00053            
B1402854800000  ;JOÃO DONATO - A SÉRIE                                                                               ;00052            
B1402855900000  ;MARESIA                                                                                             ;9211             
B1402855900000  ;MARESIA                                                                                             ;056              
B1500018900000  ;TURMA DO XAXADO                                                                                     ;0212049800       
B1500071200000  ;TORDESILHAS                                                                                         ;0213003200       
B1500105700000  ;A NAÇÃO QUE NÃO ESPEROU POR DEUS                                                                    ;00014            
B1500113300000  ;LOVE FILM FESTIVAL                                                                                  ;00445            
B1500113300000  ;LOVE FILM FESTIVAL                                                                                  ;01935            
B1500132900000  ;O MILAGRE DE SANTA LUZIA - CULTURA POPULAR                                                          ;00057            
B1500150200000  ;TUDO QUE APRENDEMOS JUNTOS                                                                          ;0212025700       
B1500151700000  ;CATÁLOGO BRASIL                                                                                     ;00101            
B1500177200000  ;PARA MINHA AMADA MORTA                                                                              ;00037            
B1500218400000  ;OSMAR, A PRIMEIRA FATIA DO PÃO DE FORMA - 2ª TEMPORADA                                              ;00152            
B1500257800000  ;QUESTÃO DE FAMÍLIA 2º TEMPORADA                                                                     ;00338            
B1500275500000  ;HISTORIETAS ASSOMBRADAS - 2ª TEMPORADA                                                              ;00060            
B1500309600000  ;CALE-SE - A CENSURA MUSICAL                                                                         ;120318           
B1500309900000  ;QUALQUER GATO VIRA-LATA 2                                                                           ;000092           
B1500335800000  ;DIVÃ A 2                                                                                            ;00108            
B1500344400000  ;DEPOIS DE TUDO                                                                                      ;47               
B1500344800000  ;CAMPO GRANDE                                                                                        ;00083            
B1500351900000  ;HÁ MUITAS NOITES NA NOITE                                                                           ;0211021900       
B1500375100000  ;REPÚBLICA DO PERU                                                                                   ;00120            
B1500399400000  ;PROVA DE CORAGEM                                                                                    ;0212030400       
B1500407800000  ;FEITO TORTO PRA FICAR DIREITO                                                                       ;00095            
B1500408100000  ;UM FILME DE CINEMA                                                                                  ;0212019500       
B1500428800000  ;TAQUARAS, TAMBORES E VIOLAS                                                                         ;00111            
B1500464600000  ;BRUXARIAS                                                                                           ;00028            
B1500497300000  ;A MANSÃO MALUCA DO PROFESSOR AMBRÓSIO - TEMPORADA 4                                                 ;00070            
B1500515600000  ;MAD DOGS                                                                                            ;00110            
B1500542700000  ;TORI, A DETETIVE                                                                                    ;004540           
B1500543200000  ;LINDA DE MORRER                                                                                     ;00081            
B1500554400000  ;A ESPERANÇA É A ÚLTIMA QUE MORRE                                                                    ;0213018500       
B1500572300000  ;IMAGENS DO ESTADO NOVO 1937-45                                                                      ;0211020400       
B1500572900000  ;AS AVENTURAS DO PEQUENO COLOMBO                                                                     ;033210           
B1500576000000  ;FÁBULAS DE BULCCAN EPISÓDIO PILOTO                                                                  ;004540           
B1500585100000  ;QUE HORAS ELA VOLTA?                                                                                ;00328            
B1500585400000  ;QUASE MEMÓRIA                                                                                       ;0212046600       
B1500591500000  ;A FLORESTA QUE SE MOVE                                                                              ;0213008800       
B1500593700000  ;SANTO FORTE                                                                                         ;00084            
B1500596800000  ;ARTE ATIVA - O ESTADO DA ARTE NAS RUAS - 1A TEMPORADA                                               ;00065            
B1500634100000  ;SETE VIDAS EM 7 CORDAS                                                                              ;00032            
B1500650100000  ;MERCADOS                                                                                            ;0213005800       
B1500651700000  ;MATE-ME POR FAVOR                                                                                   ;00067            
B1500651700000  ;MATE-ME POR FAVOR                                                                                   ;00223            
B1500659000000  ;RIBANCEIRA                                                                                          ;00150            
B1500660200000  ;FORA DE QUADRO                                                                                      ;00076            
B1500672000000  ;ÓRFÃOS DO ELDORADO                                                                                  ;00046            
B1500701300000  ;OPERAÇÕES ESPECIAIS (EX BOLETIM DE OCORRÊNCIA B.O)                                                  ;00318            
B1500711400000  ;BEATRIZ                                                                                             ;0210031200       
B1500711400000  ;BEATRIZ                                                                                             ;0213025200       
B1500731600000  ;À MODA DA CASA                                                                                      ;00305            
B1500758100000  ;AS AVENTURAS DO HOMEM CUECA                                                                         ;00113            
B1500769700000  ;VIDA DE ESTAGIÁRIO - 2ª TEMPORADA                                                                   ;00091            
B1500778300000  ;S.O.S. MULHERES AO MAR 2                                                                            ;00795            
B1500812200000  ;DOIDAS E SANTAS                                                                                     ;00022            
B1500812200000  ;DOIDAS E SANTAS                                                                                     ;304              
B1500818400000  ;EM TRÊS ATOS                                                                                        ;00307            
B1500838900000  ;NOTAS DE AMOR                                                                                       ;00155            
B1500843400000  ;ASPIRANTES                                                                                          ;0212020100       
B1500868700000  ;ORAÇÃO DO AMOR SELVAGEM                                                                             ;315              
B1500870400000  ;VAI QUE DÁ CERTO 2                                                                                  ;00317            
B1500873900000  ;ATRAVÉS DA SOMBRA                                                                                   ;0212025800       
B1500877100000  ;BELATRIX - EPISÓDIO PILOTO                                                                          ;004540           
B1500883200000  ;CAPOEIRA, UM PASSO A DOIS                                                                           ;00104            
B1500896100000  ;OS UNDER UNDERGROUNDS - TEMPORADA 1                                                                 ;00094            
B1500899800000  ;REZA A LENDA                                                                                        ;00100            
B1500916300000  ;INSÔNIA                                                                                             ;00116            
B1600003800000  ;CONDOMINIO JAQUELINE                                                                                ;0213002000       
B1600019400000  ;A REVOLUÇÃO DO CINEMA NOVO                                                                          ;00097            
B1600032100000  ;AMOR EM SAMPA                                                                                       ;00117            
B1600033400000  ;MEU AMIGO HINDU                                                                                     ;009503           
B1600036800000  ;ZOOM                                                                                                ;00255            
B1600041000000  ;BUGIGANGUE NO ESPAÇO                                                                                ;0211016700       
B1600041000000  ;BUGIGANGUE NO ESPAÇO                                                                                ;00026            
B1600043800000  ;TÔ RYCA!                                                                                            ;00390            
B1600058000000  ;TERMINADORES                                                                                        ;00071            
B1600064700000  ;ESPAÇO ALÉM - MARINA ABRAMOVIC E O BRASIL                                                           ;00159            
B1600084300000  ;RIO+BOSSA                                                                                           ;00102            
B1600084700000  ;TERRA PROMETIDA                                                                                     ;102410           
B1600095100000  ;ZANINE SER DO ARQUITETAR                                                                            ;00313            
B1600100300000  ;O ESCARAVELHO DO DIABO                                                                              ;00258            
B1600107600000  ;EM NOME DA LEI                                                                                      ;00356            
B1600109600000  ;A FRENTE FRIA QUE A CHUVA TRAZ                                                                      ;117027           
B1600117100000  ;WORK IN PROGRESS – POR DENTRO DO BALÉ DA CIDADE DE SÃO PAULO                                        ;00299            
B1600131200000  ;INCERTEZAS CRÍTICAS                                                                                 ;00156            
B1600137800000  ;A GAROTA DA MOTO                                                                                    ;00297            
B1600142700000  ;AS AVENTURAS DE FUJIWARA MANCHESTER                                                                 ;00045            
B1600193300000  ;IMAGENS DO ESTADO NOVO 1937-45                                                                      ;0211020400       
B1600193400000  ;TÁ NO SANGUE - OS FAGUNDES                                                                          ;00401            
B1600227000000  ;O CASEIRO                                                                                           ;512015           
B1600241200000  ;MINHA TRIBO                                                                                         ;0213019900       
B1600243000000  ;REDEMOINHO                                                                                          ;00041            
B1600243000000  ;REDEMOINHO                                                                                          ;00019            
B1600245600000  ;ANTES O TEMPO NÃO ACABAVA                                                                           ;00452            
B1600264400000  ;PONTO ZERO                                                                                          ;00447            
B1600264400000  ;PONTO ZERO                                                                                          ;00049            
B1600280000000  ;MENINO 23 - INFÂNCIAS PERDIDAS NO BRASIL                                                            ;00151            
B1600287300000  ;DESERTO                                                                                             ;00023            
B1600288400000  ;GODOFREDO                                                                                           ;0211021700       
B1600289200000  ;NA BOCA DO POVO                                                                                     ;0211021500       
B1600305700000  ;UMA LOUCURA DE MULHER                                                                               ;00312            
B1600310200000  ;FUINHA E CAÇAPAVA-PILOTO                                                                            ;00130            
B1600314000000  ;TROMBA TREM - 3ª TEMPORADA                                                                          ;00306            
B1600324600000  ;BILL, O TOURO                                                                                       ;602              
B1600326200000  ;ESTA NOITE ENCARNAREI NO TEU CORPINHO - PILOTO                                                      ;00233            
B1600358700000  ;E AÍ... COMEU?                                                                                      ;00688            
B1600358700000  ;E AÍ... COMEU?                                                                                      ;00204            
B1600382200000  ;BRASIL ADENTRO - MÚSICA DE PERNAMBUCO                                                               ;00118            
B1600405900000  ;BR 716                                                                                              ;00048            
B1600408200000  ;O ROUBO DA TAÇA                                                                                     ;00346            
B1600412400000  ;ARTISTAS                                                                                            ;00235            
B1600416100000  ;MÃE SÓ HÁ UMA                                                                                       ;1255             
B1600420100000  ;IMPRESSÕES DO MUNDO                                                                                 ;374              
B1600420900000  ;MULHER DO PAI                                                                                       ;00298            
B1600428200000  ;AMOR DE 4                                                                                           ;00336            
B1600439300000  ;A COMÉDIA DIVINA                                                                                    ;00005            
B1600439400000  ;A TERRA VERMELHA                                                                                    ;00416            
B1600467400000  ;UNIDADE BÁSICA                                                                                      ;0213010400       
B1600473500000  ;QUATRO MILAGRES DE UM SANTO LADRÃO                                                                  ;00357            
B1600474200000  ;LUZ & SOMBRA - FOTÓGRAFOS DO CINEMA BRASILEIRO                                                      ;00280            
B1600476300000  ;MÁXIMO & CONFÚCIO                                                                                   ;00018            
B1600477000000  ;ERNESTO, O EXTERMINADOR DE SERES MONSTRUOSOS E OUTRAS PORCARIAS                                     ;162              
B1600481100000  ;OS CUPINS - SEGUNDA TEMPORADA                                                                       ;00093            
B1600486300000  ;SÉRIE C                                                                                             ;00153            
B1600495300000  ;PRA ONDE CORRE O RIO                                                                                ;00419            
B1600513600000  ;A RAZÃO E A LOUCURA                                                                                 ;00042            
B1600543200000  ;ZICA E OS CAMALEÕES - SEGUNDA TEMPORADA                                                             ;00275            
B1600547800000  ;RIFLE                                                                                               ;00496            
B1600559000000  ;CAUSANDO NA RUA                                                                                     ;00425            
B1600564100000  ;VERMELHO RUSSO                                                                                      ;00273            
B1600564300000  ;LUA EM SAGITÁRIO                                                                                    ;00369            
B1600567900000  ;O SHAOLIN DO SERTÃO                                                                                 ;00398            
B1600582300000  ;TORDESILHAS -1A TEMPORADA                                                                           ;0213003200       
B1600585300000  ;AS INCRÍVEIS ARTIMANHAS DA NUVEM CIGANA                                                             ;00355            
B1600585400000  ;A GLÓRIA E A GRAÇA                                                                                  ;0082             
B1600604900000  ;TOC - TRANSTORNADA, OBSESSIVA, COMPULSIVA                                                           ;00600            
B1600630700000  ;A FINADA MÃE DA MADAME                                                                              ;00694            
B1600644900000  ;BOYCÓPTERO                                                                                          ;00216            
B1600650300000  ;A SECRETÁRIA DO PRESIDENTE                                                                          ;00552            
B1600651600000  ;CURUMIM, O HOMEM QUE QUERIA VOAR                                                                    ;00857            
B1600656800000  ;FIM DO MUNDO                                                                                        ;00337            
B1600659200000  ;TERRA PROMETIDA                                                                                     ;102410           
B1600680100000  ;ELIS                                                                                                ;00375            
B1600690400000  ;O AMOR NO DIVÃ                                                                                      ;1218             
