CANAL;NR_IDENTIFICACAO;CLASSIFICACAO_CANAL;TIPO_CONTEUDO_CANAL;OFERTA_CLIENTE;DATA_INICIO_OFERTA;DENSIDADE_CANAL;NOME_PROGRAMADORA;CNPJ_PROGRAMADORA;CLASSIFICAO_PROGRAMADORA;PAIS_PROGRAMADORA
HBO XTREME; 22429.30003 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/11/2000;PADRÃO;BRASIL PRODUCTIONS, L.L.C;16.840.199/0001-04;Programadora Estrangeira;ESTADOS UNIDOS
HBO XTREME HD; 22429.30007 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;26/09/2014;ALTA DEFINIÇÃO;BRASIL PRODUCTIONS, L.L.C;16.840.199/0001-04;Programadora Estrangeira;ESTADOS UNIDOS
HBO 2; 22428.30002 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;01/03/1995;PADRÃO;BRASIL PROGRAMMING, L.L.C;16.810.008/0001-53;Programadora Estrangeira;ESTADOS UNIDOS
HBO 2 (EM HD); 22428.30009 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;15/05/2013;ALTA DEFINIÇÃO;BRASIL PROGRAMMING, L.L.C;16.810.008/0001-53;Programadora Estrangeira;ESTADOS UNIDOS
HGTV HD; 26039.30024 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;10/06/2019;ALTA DEFINIÇÃO;DISCOVERY NETWORKS, SL;;Programadora Estrangeira;ESPANHA
HGTV SD; 26039.30023 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;10/06/2019;PADRÃO;DISCOVERY NETWORKS, SL;;Programadora Estrangeira;ESPANHA
H2; 22399.30003 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/10/2014;PADRÃO;HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC;;Programadora Estrangeira;ESTADOS UNIDOS
H2 HD; 22399.30004 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/10/2014;ALTA DEFINIÇÃO;HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC;;Programadora Estrangeira;ESTADOS UNIDOS
INVESTIGAÇÃO DISCOVERY; 26039.30009 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;09/07/2012;PADRÃO;DISCOVERY NETWORKS, SL;;Programadora Estrangeira;ESPANHA
INVESTIGAÇÃO DISCOVERY HD; 26039.30013 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;04/12/2012;ALTA DEFINIÇÃO;DISCOVERY NETWORKS, SL;;Programadora Estrangeira;ESPANHA
I-SAT SD; 40403.30011 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2008;PADRÃO;TURNER INTERNATIONAL LATIN AMERICA, INC;05.583.971/0001-25;Programadora Estrangeira;ESTADOS UNIDOS
JOVEM PAN NEWS; 49723.30001 ;Canal de programação comum;Canal de conteúdo jornalístico;CANAL OFERTADO EM PACOTE;27/10/2021;ALTA DEFINIÇÃO;DIGITAL SEVEN PRODUTORA E DISTRIBUIDORA EIRELI;56.137.979/0001-07;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
LIFETIME; 27060.30001 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/07/2014;PADRÃO;LIFETIME BRAZIL DISTRIBUTION, LLC.;;Programadora Estrangeira;ESTADOS UNIDOS
LIFETIME HD; 27060.30002 ;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;06/11/2016;ALTA DEFINIÇÃO;LIFETIME BRAZIL DISTRIBUTION, LLC.;;Programadora Estrangeira;ESTADOS UNIDOS
LIVETV; 52686.30001 ;Canal de programação comum;Canal de televenda ou infomercial;CANAL OFERTADO EM PACOTE;15/03/2023;PADRÃO;ZIGON COMUNICACOES LTDA;00.589.639/0001-54;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
MACAE TV; 40335.30001 ;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2018;ALTA DEFINIÇÃO;MACAÉ TV LTDA;14.185.374/0001-33;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
MARKKET; 4744.30011 ;Canal de programação comum;Canal de televenda ou infomercial;CANAL OFERTADO EM PACOTE;01/03/2022;PADRÃO;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;07.254.174/0001-20;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
MARKKET HD; 4744.30012 ;Canal de programação comum;Canal de televenda ou infomercial;CANAL OFERTADO EM PACOTE;01/03/2022;ALTA DEFINIÇÃO;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;07.254.174/0001-20;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
