IDENTIFICACAO_CONTRATO,TITULO_PROJETO,CHAMADA_PUBLICA,ANO_CHAMADA_PUBLICA,CNPJ_PROPONENTE,RAZAO_SOCIAL_PROPONENTE,CNPJ_PRODUTORA,RAZAO_SOCIAL_PRODUTORA,CNPJ_DISTRIBUIDORA_PROGRAMADORA,RAZAO_SOCIAL_DISTRIBUIDORA_PROGRAMADORA,DT_PUBLICACAO_CONTRATO_DOU,VL_CONTRATO_DOU,DT_PRIMEIRO_DESEMBOLSO,VL_TOTAL_LIBERADO
DG-01.529,MIRA LAB,PRODAV 13,2016-01-01,04.650.621/0001-71,MIRA FILMES LTDA - ME,04.650.621/0001-71,MIRA FILMES LTDA - ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,1000000.0,2017-07-24,1000000.0
DG-01.394,O MUNDO DE TINA,PRODAV 05,2015-01-01,12.975.490/0001-20,ESTUDIO TEREMIM FILMES E SERVIÇOS LTDA,12.975.490/0001-20,ESTUDIO TEREMIM FILMES E SERVIÇOS LTDA,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,150000.0,2017-07-27,150000.0
DG-01.473,OS BATUTAS,PRODAV 05,2015-01-01,23.255.810/0001-94,ZUMBI PRODUÇÕES LTDA,23.255.810/0001-94,ZUMBI PRODUÇÕES LTDA,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,150000.0,2017-07-31,150000.0
DG-01.488,OS FIRMEZAS,PRODAV 05,2015-01-01,09.002.909/0001-53,ZURETA SERVIÇOS E PRODUÇÕES ARTÍSTICAS LTDA. - ME,09.002.909/0001-53,ZURETA SERVIÇOS E PRODUÇÕES ARTÍSTICAS LTDA. - ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,150000.0,2017-07-27,150000.0
DG-01.534,RIOS,PRODAV 01,2013-01-01,15.128.758/0001-87,TEM DENDE PRODUCOES LTDA - ME,15.128.758/0001-87,TEM DENDE PRODUCOES LTDA - ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,1260000.0,2017-08-22,1260000.0
DG-01.551,SALVE A MALANDRAGEM,PRODAV 06,2014-01-01,07.060.648/0001-00,INDIANA PRODUÇÕES CINEMATOGRÁFICAS EIRELI - ME,07.060.648/0001-00,INDIANA PRODUÇÕES CINEMATOGRÁFICAS EIRELI - ME,SEM DISTRIBUIDORA/PROGRAMADORA,SEM DISTRIBUIDORA/PROGRAMADORA,2017-07-19,303100.14,2017-07-21,303100.14
DG-01.522,SEM SEU SANGUE,PRODECINE 05,2015-01-01,19.457.687/0001-17,ESTÚDIO GIZ PRODUÇÕES LTDA. - ME,19.457.687/0001-17,ESTÚDIO GIZ PRODUÇÕES LTDA. - ME,11.620.976/0001-83,VITRINE FILMES EIRELI - ME,2017-07-19,2073454.5,2017-08-03,2073454.5
DG-01.527,TEU MUNDO,PRODECINE 02,2013-01-01,08.257.054/0001-49,SM DISTRIBUIDORA DE FILMES LTDA,05.270.790/0001-49,ACCORDE FILMES LTDA.,08.257.054/0001-49,SM DISTRIBUIDORA DE FILMES LTDA,2017-07-19,800000.0,2017-08-17,800000.0
DG-01.510,ALÉM DO HOMEM,PRODECINE 02,2016-01-01,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,07.477.471/0001-34,BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A,03.918.609/0001-32,WMIX DISTRIBUIDORA LTDA.,2017-07-19,1168640.4,2017-07-27,1168640.4
DG-01.526,TUDO POR UM POP STAR,PRODAV 06,2016-01-01,05.565.485/0001-84,PANORAMICA COMUNICACAO LTDA.,05.565.485/0001-84,PANORAMICA COMUNICACAO LTDA.,07.616.202/0001-01,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,2017-07-19,962657.89,2017-08-14,962657.89
