,CPB,TITULO_ORIGINAL,NUMERO_FSA
111,B1402183500000  ,O SHOW DA LUNA!                                                                                     ,213007600
112,B1402192700000  ,OS AMIGOS                                                                                           ,61
113,B1402201200000  ,MUITOS HOMENS NUM SÓ                                                                                ,211033300
114,B1402213800000  ,BOM DIA ARQUEOLOGIA                                                                                 ,213008900
115,B1402217000000  ,"BOA NOITE, MARTHA                                                                                   ",211023200
116,B1402237400000  ,SANGUE AZUL                                                                                         ,212026600
117,B1402255700000  ,GALAXIAS                                                                                            ,7
118,B1402269800000  ,MEU AMIGO ENCOSTO                                                                                   ,103
119,B1402274200000  ,AS GRANDES ENTREVISTAS DO PASQUIM                                                                   ,20
120,B1402275800000  ,OS MAIAS (ALGUNS) EPISÓDIOS DA VIDA ROMÂNTICA                                                       ,366
121,B1402301100000  ,UM HOMEM SÓ                                                                                         ,211019400
122,B1402332500000  ,TRINTA                                                                                              ,212029100
123,B1402378700000  ,INFÂNCIA                                                                                            ,43
124,B1402406800000  ,IRMÃ DULCE                                                                                          ,27
125,B1402431800000  ,VAN BORA!                                                                                           ,213006700
126,B1402440900000  ,X-CORAÇÃO                                                                                           ,2130026
127,B1402521900000  ,AS AVENTURAS DO AVIÃO VERMELHO                                                                      ,211024200
128,B1402546500000  ,A GRANDE VIAGEM - A SÉRIE                                                                           ,213002200
129,B1402652900000  ,NISE - O CORAÇÃO DA LOUCURA                                                                         ,212024900
130,B1402689400000  ,O VENDEDOR DE PASSADOS                                                                              ,210004400
131,B1402704900000  ,LOUCAS PRA CASAR                                                                                    ,1306928
132,B1402723400000  ,A NOITE DA VIRADA                                                                                   ,87
133,B1402778300000  ,SOS FADA MANU                                                                                       ,63
134,B1402785400000  ,OS ANOS 80 ESTÃO DE VOLTA                                                                           ,74
135,B1402798600000  ,CARRAPATOS E CATAPULTAS - 2A TEMPORADA                                                              ,213003300
136,B1402826500000  ,REIS DA RUA TERCEIRA TEMPORADA                                                                      ,39
137,B1402850900000  ,SONHOS DE ABU                                                                                       ,53
138,B1402854800000  ,JOÃO DONATO - A SÉRIE                                                                               ,52
139,B1402855900000  ,MARESIA                                                                                             ,9211
140,B1402855900000  ,MARESIA                                                                                             ,56
141,B1500018900000  ,TURMA DO XAXADO                                                                                     ,212049800
142,B1500071200000  ,TORDESILHAS                                                                                         ,213003200
143,B1500105700000  ,A NAÇÃO QUE NÃO ESPEROU POR DEUS                                                                    ,14
144,B1500113300000  ,LOVE FILM FESTIVAL                                                                                  ,445
145,B1500113300000  ,LOVE FILM FESTIVAL                                                                                  ,1935
146,B1500132900000  ,O MILAGRE DE SANTA LUZIA - CULTURA POPULAR                                                          ,57
147,B1500150200000  ,TUDO QUE APRENDEMOS JUNTOS                                                                          ,212025700
148,B1500151700000  ,CATÁLOGO BRASIL                                                                                     ,101
149,B1500177200000  ,PARA MINHA AMADA MORTA                                                                              ,37
150,B1500218400000  ,"OSMAR, A PRIMEIRA FATIA DO PÃO DE FORMA - 2ª TEMPORADA                                              ",152
151,B1500257800000  ,QUESTÃO DE FAMÍLIA 2º TEMPORADA                                                                     ,338
152,B1500275500000  ,HISTORIETAS ASSOMBRADAS - 2ª TEMPORADA                                                              ,60
153,B1500309600000  ,CALE-SE - A CENSURA MUSICAL                                                                         ,120318
154,B1500309900000  ,QUALQUER GATO VIRA-LATA 2                                                                           ,92
155,B1500335800000  ,DIVÃ A 2                                                                                            ,108
156,B1500344400000  ,DEPOIS DE TUDO                                                                                      ,47
157,B1500344800000  ,CAMPO GRANDE                                                                                        ,83
158,B1500351900000  ,HÁ MUITAS NOITES NA NOITE                                                                           ,211021900
159,B1500375100000  ,REPÚBLICA DO PERU                                                                                   ,120
160,B1500399400000  ,PROVA DE CORAGEM                                                                                    ,212030400
161,B1500407800000  ,FEITO TORTO PRA FICAR DIREITO                                                                       ,95
162,B1500408100000  ,UM FILME DE CINEMA                                                                                  ,212019500
163,B1500428800000  ,"TAQUARAS, TAMBORES E VIOLAS                                                                         ",111
164,B1500464600000  ,BRUXARIAS                                                                                           ,28
165,B1500497300000  ,A MANSÃO MALUCA DO PROFESSOR AMBRÓSIO - TEMPORADA 4                                                 ,70
166,B1500515600000  ,MAD DOGS                                                                                            ,110
167,B1500542700000  ,"TORI, A DETETIVE                                                                                    ",4540
168,B1500543200000  ,LINDA DE MORRER                                                                                     ,81
169,B1500554400000  ,A ESPERANÇA É A ÚLTIMA QUE MORRE                                                                    ,213018500
170,B1500572300000  ,IMAGENS DO ESTADO NOVO 1937-45                                                                      ,211020400
171,B1500572900000  ,AS AVENTURAS DO PEQUENO COLOMBO                                                                     ,33210
