,CPB,TITULO_ORIGINAL,NUMERO_FSA
1097,B1900372100000  ,ANTENA DA RAÇA                                                                                      ,1662
1098,B1900372300000  ,SONS AFRICANOS                                                                                      ,1570
1099,B1900376200000  ,GIGANTE POR NATUREZA                                                                                ,2818
1100,B1900376800000  ,BOA NOITE                                                                                           ,1422
1101,B1900376800000  ,BOA NOITE                                                                                           ,1423
1102,B1900379100000  ,DEPOIS DE SER CINZA                                                                                 ,2737
1103,B1900379100000  ,DEPOIS DE SER CINZA                                                                                 ,914
1104,B1900380000000  ,VOU NADAR ATÉ VOCÊ                                                                                  ,435
1105,B1900380200000  ,ITINERÁRIOS DO OLHAR                                                                                ,2106
1106,B1900381200000  ,CASA                                                                                                ,1426
1107,B1900381500000  ,SEM SEU SANGUE                                                                                      ,1522
1108,B1900381500000  ,SEM SEU SANGUE                                                                                      ,214
1109,B1900390100000  ,ELE ERA ASSIM: ARY BARROSO                                                                          ,1595
1110,B1900397500000  ,TEMPO DA TERRA                                                                                      ,2666
1111,B1900397800000  ,UM PEIXE PARA DOIS                                                                                  ,1245
1112,B1900405700000  ,RECONSTRUÇÕES                                                                                       ,2274
1113,B1900409100000  ,CARLINHOS E CARLÃO                                                                                  ,1649
1114,B1900410500000  ,TRÊS VERÕES                                                                                         ,939
1115,B1900411500000  ,TEKOAYHU - AMIZADE                                                                                  ,1652
1116,B1900412100000  ,A VOZ DO VERBO ENCANTADO                                                                            ,1603
1117,B1900413700000  ,PLANETA PALAVRA                                                                                     ,271
1118,B1900417800000  ,SEGUNDO TEMPO                                                                                       ,1302
1119,B1900417800000  ,SEGUNDO TEMPO                                                                                       ,2237
1120,B1900420000000  ,RETRATOS DO CÁRCERE                                                                                 ,1295
1121,B1900420300000  ,ARTE CONTEMPORÂNEA: DIÁLOGOS                                                                        ,1635
1122,B1900420500000  ,CENÁRIOS FUTUROS                                                                                    ,1180
1123,B1900421000000  ,RÁDIO ZOO                                                                                           ,2511
1124,B1900421600000  ,OS BRAVOS NUNCA SE CALAM                                                                            ,1313
1125,B1900421800000  ,LUCICREIDE VAI PRA MARTE                                                                            ,1660
1126,B1900422100000  ,ANTES QUE ME ESQUEÇAM MEU NOME É EDY STAR                                                           ,1349
1127,B1900423500000  ,50 ANOS DO BALÉ DA CIDADE DE SÃO PAULO                                                              ,2645
1128,B1900423900000  ,DOIS TEMPOS                                                                                         ,1857
1129,B1900425300000  ,RODANTES                                                                                            ,436
1130,B1900427100000  ,QUANDO AS COISAS SE DESMANCHAM                                                                      ,1477
1131,B1900428900000  ,OCUPAÇÕES                                                                                           ,867
1132,B1900429200000  ,SUBMERSOS                                                                                           ,1683
1133,B1900433000000  ,CODINOME BRENO                                                                                      ,1478
1134,B1900439300000  ,TERAPIA DO MEDO                                                                                     ,1195
1135,B1900439300000  ,TERAPIA DO MEDO                                                                                     ,720
1136,B1900439600000  ,TUIGA - 1ª TEMPORADA                                                                                ,2188
1137,B1900447800000  ,M8                                                                                                  ,1516
1138,B1900447800000  ,M8                                                                                                  ,1058
1139,B1900448000000  ,VEREDAS DO BRASIL - ESTRADA REAL E SEUS OFÍCIOS                                                     ,900
1140,B1900448200000  ,AOS OLHOS DE ERNESTO                                                                                ,1311
1141,B1900448300000  ,OLHAR SUBMERSO - NAUFRÁGIOS DE PERNAMBUCO                                                           ,2438
1142,B1900450400000  ,"BIW, SAL E SOM                                                                                      ",874
1143,B1900452000000  ,CLANDESTINO                                                                                         ,898
1144,B1900452200000  ,DEPENDENTES                                                                                         ,2497
1145,B1900452200000  ,DEPENDENTES                                                                                         ,608
1146,B1900453800000  ,O DIABO BRANCO                                                                                      ,2507
1147,B1900453800000  ,O DIABO BRANCO                                                                                      ,2508
1148,B1900454200000  ,VENEZA                                                                                              ,2591
1149,B1900454200000  ,VENEZA                                                                                              ,3117
1150,B1900460900000  ,ONDE A BELEZA ESTÁ                                                                                  ,2326
1151,B1900461300000  ,O HOMEM CORDIAL                                                                                     ,2911
1152,B1900461300000  ,O HOMEM CORDIAL                                                                                     ,1936
1153,B1900461500000  ,MUSEUS À CÉU ABERTO                                                                                 ,1196
1154,B1900461700000  ,IBIUNA                                                                                              ,955
1155,B1900463100000  ,FLUXOS                                                                                              ,1703
1156,B1900468100000  ,VERLUST                                                                                             ,791
1157,B1900468200000  ,FEITO TORTO PARA FICAR DIREITO - A SÉRIE                                                            ,1140
1158,B1900468300000  ,CABRAS DA PESTE                                                                                     ,2593
1159,B1900468300000  ,CABRAS DA PESTE                                                                                     ,2594
1160,B1900468300000  ,CABRAS DA PESTE                                                                                     ,2621
1161,B1900471700000  ,A ARTE URBANA                                                                                       ,1586
1162,B1900478800000  ,SEMENTES DO AMANHÃ                                                                                  ,2332
1163,B1900479000000  ,OS SUBURBANOS - O FILME                                                                             ,2073
1164,B1900484000000  ,SACOLEIRAS S/A                                                                                      ,1078
1165,B1900484900000  ,SANTIAGO DE LAS AMERICAS OU O OLHO DO TERCEIRO MUNDO                                                ,1606
1166,B1900486200000  ,A FEBRE                                                                                             ,1508
1167,B1900486900000  ,UM DIA QUALQUER                                                                                     ,2018
1168,B1900487000000  ,FAMÍLIA DE AXÉ                                                                                      ,2878
1169,B1900487100000  ,OS PARÇAS 2                                                                                         ,3087
1170,B1900487100000  ,OS PARÇAS 2                                                                                         ,2951
1171,B1900487200000  ,OUTRAS BRASILEIRAS                                                                                  ,1686
1172,B1900489000000  ,OS HERDEIROS                                                                                        ,1063
1173,B1900490100000  ,RETRATOS URBANOS                                                                                    ,2758
1174,B1900490500000  ,PROIBIDO NASCER NO PARAÍSO                                                                          ,3012
1175,B1900490500000  ,PROIBIDO NASCER NO PARAÍSO                                                                          ,1301
1176,B1900494500000  ,FÉ E FÚRIA                                                                                          ,2799
1177,B1900494600000  ,A BATALHA DE SHANGRI-LÁ                                                                             ,2471
1178,B1900494600000  ,A BATALHA DE SHANGRI-LÁ                                                                             ,1633
1179,B1900496000000  ,A BRUXINHA LILI                                                                                     ,1644
1180,B1900498800000  ,BATE CORAÇÃO                                                                                        ,1358
1181,B1900498800000  ,BATE CORAÇÃO                                                                                        ,432
1182,B1900498800000  ,BATE CORAÇÃO                                                                                        ,1853
1183,B1900504800000  ,"BRASÍLIA, A HISTÓRIA DA HISTÓRIA                                                                    ",1882
1184,B1900505100000  ,SAIDEIRA 2ª TEMPORADA                                                                               ,2193
1185,B1900505800000  ,BILLY E CATARINA                                                                                    ,1797
1186,B1900505900000  ,QUERIDA ROSÁLIA - EPÍSÓDIO PILOTO                                                                   ,972
1187,B1900507000000  ,RECIFE ASSOMBRADO - FILME                                                                           ,3099
1188,B1900507000000  ,RECIFE ASSOMBRADO - FILME                                                                           ,1530
1189,B1900507200000  ,QUERÊNCIA                                                                                           ,843
1190,B1900507200000  ,QUERÊNCIA                                                                                           ,641
1191,B1900508000000  ,"PIXINGUINHA, UM HOMEM CARINHOSO                                                                     ",22010
1192,B1900512200000  ,NAS ASAS DA PANAM                                                                                   ,1375
1193,B1900512200000  ,NAS ASAS DA PANAM                                                                                   ,1492
1194,B1900513800000  ,NÃO VAMOS PAGAR NADA                                                                                ,3097
1195,B1900514000000  ,D'ARQUEOLOGIA - A OCUPAÇÃO DO BRASIL                                                                ,1658
1196,B1900525000000  ,UMA GAROTA CHAMADA MARINA                                                                           ,1691
1197,B1900526700000  ,ÁGUA DE PLANTAR                                                                                     ,2318
1198,B1900529300000  ,CONSCIÊNCIA³                                                                                        ,1965
1199,B1900529800000  ,SABORES DA FLORESTA                                                                                 ,2635
1200,B1900531900000  ,O ASTRONAUTA TUPY                                                                                   ,1724
1201,B1900531900000  ,O ASTRONAUTA TUPY                                                                                   ,1723
1202,B1900532900000  ,O BARATO IACANGA                                                                                    ,1796
1203,B1900533600000  ,"EU, NIRVANA                                                                                         ",957
1204,B1900535100000  ,O MILAGRE DE SANTA LUZIA - 3ª TEMPORADA                                                             ,1651
1205,B1900537000000  ,TELA SOBRE TINTA                                                                                    ,2109
1206,B1900541900000  ,BREVE HISTÓRIA DO PLANETA VERDE                                                                     ,2570
1207,B1900542100000  ,"GUAÍBA, ONDE AS ÁGUAS SE ENCONTRAM                                                                  ",1179
1208,B1900542900000  ,A CRUCIGRAMISTA - 2ª TEMPORADA                                                                      ,2745
1209,B1900545200000  ,DESTERRO                                                                                            ,1277
1210,B1900548300000  ,"LIMA BARRETO, AO TERCEIRO DIA                                                                       ",1665
1211,B1900561100000  ,CAPITÃO ASTÚCIA                                                                                     ,1562
1212,B1900563800000  ,AS CIDADES AZUIS                                                                                    ,1341
1213,B1900570100000  ,QUEM TEM MEDO DE LUCIENE CARVALHO?                                                                  ,1804
1214,B1900571100000  ,INCOMPATÍVEL                                                                                        ,1232
1215,B1900572600000  ,PUREZA                                                                                              ,1876
1216,B1900572600000  ,PUREZA                                                                                              ,2697
1217,B1900572600000  ,PUREZA                                                                                              ,31
1218,B1900572800000  ,NOITES DE ALFACE                                                                                    ,2108
1219,B1900576700000  ,ÊXTASE                                                                                              ,1383
1220,B1900579600000  ,SOB O OLHAR DO PADROEIRO                                                                            ,2961
1221,B1900579700000  ,PADROEIROS OFICIAIS DO BRASIL                                                                       ,3159
1222,B1900583000000  ,SERIAL KELLY                                                                                        ,1598
1223,B1900583000000  ,SERIAL KELLY                                                                                        ,1597
1224,B1900583000000  ,SERIAL KELLY                                                                                        ,1600
1225,B1900583000000  ,SERIAL KELLY                                                                                        ,1599
1226,B1900583200000  ,CIDADE PÁSSARO                                                                                      ,3115
1227,B1900583200000  ,CIDADE PÁSSARO                                                                                      ,1455
1228,B1900583200000  ,CIDADE PÁSSARO                                                                                      ,3138
1229,B1900583200000  ,CIDADE PÁSSARO                                                                                      ,3107
1230,B1900584400000  ,AQUARELA MUSICAL                                                                                    ,1980
1231,B1900584500000  ,UTOPIA BRASIL                                                                                       ,901
1232,B1900585300000  ,A MARAVILHA DO SÉCULO                                                                               ,1653
1233,B1900588100000  ,BANALIDADE DO MAL                                                                                   ,1247
1234,B1900588900000  ,MADAME                                                                                              ,2900
1235,B1900589000000  ,FABIANA                                                                                             ,2513
1236,B1900589200000  ,OS SALAFRÁRIOS                                                                                      ,1584
1237,B1900589200000  ,OS SALAFRÁRIOS                                                                                      ,1697
1238,B1900590100000  ,VILA MARIOTE                                                                                        ,1886
1239,B1900591800000  ,BORIS E RUFUS- TEMPORADA 03                                                                         ,3544
1240,B1900592900000  ,A DIVISÃO - O FILME                                                                                 ,1687
1241,B1900593200000  ,KING KONG EM ASUNCIÓN                                                                               ,855
1242,B1900593500000  ,101 CANÇÕES                                                                                         ,2677
1243,B1900593500000  ,101 CANÇÕES                                                                                         ,1556
1244,B1900594800000  ,AMIGAS DE SORTE                                                                                     ,1544
1245,B1900595100000  ,"BLITZ, O FILME                                                                                      ",1851
1246,B1900596400000  ,FOI ASSIM E FOI ASSADO                                                                              ,1340
1247,B1900597000000  ,A QUEM INTERESSA A IGNORÂNCIA?                                                                      ,1463
1248,B1900597000000  ,A QUEM INTERESSA A IGNORÂNCIA?                                                                      ,3234
1249,B1900597200000  ,SERTÂNIA                                                                                            ,1694
1250,B1900605200000  ,"JORGE, O PADROEIRO GUERREIRO                                                                        ",3124
1251,B1900606600000  ,FREQUÊNCIA POSITIVA                                                                                 ,2107
1252,B1900611200000  ,A CIDADE DOS ABISMOS                                                                                ,2641
1253,B1900612000000  ,FILHOS DO PAI ETERNO                                                                                ,3125
1254,B1900613600000  ,AMOR SERTANEJO                                                                                      ,2058
1255,B1900616500000  ,MILTON E O  CLUBE DA ESQUINA                                                                        ,2089
1256,B1900617900000  ,A ÉTICA DAS HIENAS                                                                                  ,1550
1257,B1900618000000  ,MACABRO                                                                                             ,2230
1258,B1900618000000  ,MACABRO                                                                                             ,995
1259,B1900619400000  ,GILBERTO GIL ANTOLOGIA VOL 1                                                                        ,2114
1260,B1900619400000  ,GILBERTO GIL ANTOLOGIA VOL 1                                                                        ,1759
1261,B1900623300000  ,OS OSSOS DA SAUDADE                                                                                 ,975
1262,B1900623600000  ,UM ANIMAL AMARELO                                                                                   ,892
1263,B1900630800000  ,O BONECO DE BARRO E O REI                                                                           ,1077
1264,B1900630900000  ,MISSIVAS                                                                                            ,1357
1265,B2000002200000  ,MATCHES                                                                                             ,2768
1266,B2000002200000  ,MATCHES                                                                                             ,2228
1267,B2000003600000  ,ONDE DORMEM OS SONHOS                                                                               ,1309
1268,B2000004600000  ,SOLDADOS DA BORRACHA - OS HERÓIS ESQUECIDOS                                                         ,1553
1269,B2000006000000  ,DE PERTO ELA NÃO É NORMAL                                                                           ,2253
1270,B2000006000000  ,DE PERTO ELA NÃO É NORMAL                                                                           ,2115
1271,B2000006500000  ,BABENCO - ALGUÉM TEM QUE OUVIR O CORAÇÃO E DIZER: PAROU                                             ,2640
1272,B2000006700000  ,MARIGHELLA                                                                                          ,808
1273,B2000006700000  ,MARIGHELLA                                                                                          ,2010
1274,B2000007500000  ,"APERTE START, WOLFGANG                                                                              ",862
1275,B2000008400000  ,ENCARCERADOS                                                                                        ,1639
1276,B2000008700000  ,SALVE A MALANDRAGEM                                                                                 ,1551
1277,B2000008800000  ,BOTO                                                                                                ,1082
1278,B2000010600000  ,OPÇÃO AMÉRICA                                                                                       ,1784
1279,B2000011200000  ,PERDIDO                                                                                             ,1813
1280,B2000026900000  ,CULTURAMA                                                                                           ,929
1281,B2000028000000  ,BRASIL JOIADO                                                                                       ,1832
1282,B2000034100000  ,NO GOGÓ DO PAULINHO                                                                                 ,2659
1283,B2000034100000  ,NO GOGÓ DO PAULINHO                                                                                 ,3182
1284,B2000037100000  ,JOE & JOY (EX VIDAS FOFINHAS) - PILOTO                                                              ,839
1285,B2000038400000  ,MATIZES DO BRASIL                                                                                   ,1467
1286,B2000040200000  ,SOLTEIRA QUASE SURTANDO                                                                             ,3161
1287,B2000041300000  ,O PALESTRANTE                                                                                       ,2312
1288,B2000042800000  ,LAMENTO                                                                                             ,1727
1289,B2000043200000  ,LEGADO ITALIANO                                                                                     ,1733
1290,B2000043400000  ,A OUTRA PELE                                                                                        ,2147
1291,B2000044900000  ,PARA ONDE VOAM AS FEITICEIRAS                                                                       ,2235
1292,B2000045700000  ,JUAZEIRO - CHÃO SAGRADO                                                                             ,1226
1293,B2000046400000  ,FAVELA GAY - PERIFERIAS LGBTQI+                                                                     ,1862
1294,B2000047900000  ,JÚPITER                                                                                             ,1618
1295,B2000047900000  ,JÚPITER                                                                                             ,2910
1296,B2000048800000  ,"UMA MULHER, UMA ALDEIA                                                                              ",1805
1297,B2000050400000  ,HISTÓRIAS DE CARNAVAL - SÉRIE ESPECIAL                                                              ,3033
1298,B2000056100000  ,DIRETAS JÁ                                                                                          ,968
1299,B2000059600000  ,DA MANGA ROSA                                                                                       ,1809
1300,B2000059900000  ,VILA HAITI                                                                                          ,1288
1301,B2000060400000  ,MERGULHANDO                                                                                         ,1222
1302,B2000064200000  ,SANKOFA A AFRICA QUE TE HABITA                                                                      ,1925
1303,B2000064800000  ,BAHIA DE FÉ                                                                                         ,2865
1304,B2000065800000  ,TARSILINHA                                                                                          ,757
1305,B2000066500000  ,FIM DE FESTA                                                                                        ,3126
1306,B2000066500000  ,FIM DE FESTA                                                                                        ,2051
1307,B2000066500000  ,FIM DE FESTA                                                                                        ,2050
1308,B2000066500000  ,FIM DE FESTA                                                                                        ,2049
1309,B2000069400000  ,A MÃE DE TODAS AS LUTAS                                                                             ,1923
1310,B2000070300000  ,DOIS MAIS DOIS                                                                                      ,2977
1311,B2000070700000  ,RIOS                                                                                                ,1534
1312,B2000073200000  ,CASA IZABEL                                                                                         ,2342
1313,B2000075100000  ,GAMEBROS                                                                                            ,323
1314,B2000076800000  ,MATO SECO EM CHAMAS                                                                                 ,1520
1315,B2000078000000  ,DEPOIS A LOUCA SOU EU                                                                               ,3001
1316,B2000078000000  ,DEPOIS A LOUCA SOU EU                                                                               ,2623
1317,B2000078000000  ,DEPOIS A LOUCA SOU EU                                                                               ,3412
1318,B2000081700000  ,ELA E EU                                                                                            ,1607
1319,B2000090900000  ,O LABORATÓRIO DO PROFESSOR POLICARPO - 2ª TEMPORADA                                                 ,1945
1320,B2000091000000  ,NÓS                                                                                                 ,362
1321,B2000096200000  ,EDUARDO E MÔNICA                                                                                    ,1312
1322,B2000096300000  ,A MORTE HABITA À NOITE                                                                              ,1229
1323,B2000096300000  ,A MORTE HABITA À NOITE                                                                              ,1234
1324,B2000096400000  ,SAMBALANÇO - A BOSSA QUE DANÇA                                                                      ,2888
1325,B2000096400000  ,SAMBALANÇO - A BOSSA QUE DANÇA                                                                      ,2893
1326,B2000096500000  ,ACQUA MOVIE                                                                                         ,1298
1327,B2000096500000  ,ACQUA MOVIE                                                                                         ,1868
1328,B2000096500000  ,ACQUA MOVIE                                                                                         ,2954
1329,B2000097600000  ,SELVAGEM                                                                                            ,2392
1330,B2000097600000  ,SELVAGEM                                                                                            ,3176
1331,B2000098200000  ,CÍCERO                                                                                              ,2616
1332,B2000099000000  ,COMIDA AQUI É MATO!                                                                                 ,2905
1333,B2000100300000  ,PASSAGEM SECRETA                                                                                    ,1981
1334,B2000100400000  ,HOSANA NAS ALTURAS                                                                                  ,985
1335,B2000100500000  ,NOSSO AMOR DE HOJE                                                                                  ,1792
1336,B2000100700000  ,MOVIMENTOS DO INVISÍVEL                                                                             ,1983
1337,B2000101500000  ,OS ÚLTIMOS DIAS DE GILDA                                                                            ,1139
1338,B2000102800000  ,CORRENDO POR UM SONHO                                                                               ,72
1339,B2000102800000  ,CORRENDO POR UM SONHO                                                                               ,1880
1340,B2000106900000  ,OS ESCRAVOS DE JÓ                                                                                   ,1308
1341,B2000107100000  ,AMAZON FASHION                                                                                      ,1949
1342,B2000108600000  ,A NOSSA BANDEIRA JAMAIS SERÁ VERMELHA                                                               ,1838
1343,B2000111500000  ,TÁ PUXADO                                                                                           ,2599
1344,B2000111800000  ,PREDESTINADO: ARIGÓ E O ESPÍRITO DO DR. FRITZ                                                       ,1997
1345,B2000111800000  ,PREDESTINADO: ARIGÓ E O ESPÍRITO DO DR. FRITZ                                                       ,2087
1346,B2000112100000  ,VAI MELHORAR                                                                                        ,2867
1347,B2000112200000  ,DIGA MEU NOME                                                                                       ,1864
1348,B2000112600000  ,ARIANO APRESENTA: O AUTO DA BOA MENTIRA                                                             ,2443
1349,B2000112700000  ,SALVE O PRAZER                                                                                      ,1790
1350,B2000114300000  ,TERMINAL PRAIA GRANDE                                                                               ,1841
1351,B2000114900000  ,A FLECHA E A FARDA                                                                                  ,1932
1352,B2000117400000  ,ROCKY & HUDSON: OS CAUBÓIS GAYS                                                                     ,1693
1353,B2000120400000  ,IMAGEM VINIL - ZONA NORTE                                                                           ,1776
1354,B2000123000000  ,TORQUATO  IMAGEM DA INCOMPLETUDE                                                                    ,1992
1355,B2000124100000  ,SEM RETORNO                                                                                         ,2093
1356,B2000127000000  ,COLÔNIA                                                                                             ,1533
1357,B2000127100000  ,"NÓS, OS FASHIONISTAS - 2ª TEMPORADA                                                                 ",1994
1358,B2000127500000  ,NADA É POR ACASO                                                                                    ,2198
1359,B2000128400000  ,PARTIU?! - 2ª TEMPORADA                                                                             ,1840
1360,B2000129200000  ,TRINTA POVOS                                                                                        ,1951
1361,B2000130600000  ,CAVALO                                                                                              ,1252
1362,B2000130700000  ,"ALELUIA, O CANTO INFINITO DO TINCOÃ                                                                 ",1920
1363,B2000136800000  ,CAVERNA DO CARUSO                                                                                   ,2595
1364,B2000139000000  ,BANQUETE COUTINHO                                                                                   ,2005
1365,B2000141100000  ,ALÉM DA LENDA - FILME                                                                               ,1914
1366,B2000142200000  ,O PARADOXO DA DEMOCRACIA                                                                            ,1689
1367,B2000142400000  ,MARES DO DESTERRO                                                                                   ,1986
1368,B2000144800000  ,FAMÍLIA PEREIRA                                                                                     ,1602
1369,B2000145200000  ,SEIS NA ILHA                                                                                        ,149
1370,B2000145400000  ,CAIXAS MÁGICAS                                                                                      ,2292
1371,B2000151600000  ,UM FILME DE VERÃO                                                                                   ,1884
1372,B2000151700000  ,CONTACTADO                                                                                          ,2925
1373,B2000151700000  ,CONTACTADO                                                                                          ,3086
1374,B2000152800000  ,"CAFÉ, PEPI E LIMÃO                                                                                  ",1706
1375,B2000154700000  ,SONHADORES                                                                                          ,2179
1376,B2000154900000  ,ALICE JÚNIOR                                                                                        ,2947
1377,B2000157600000  ,COLETIVO DE MULTIDÃO                                                                                ,1260
1378,B2000158900000  ,CHORÃO: MARGINAL ALADO                                                                              ,3026
1379,B2000160000000  ,SOL ALEGRIA                                                                                         ,2141
1380,B2000163800000  ,OS ESPETACULARES                                                                                    ,1739
1381,B2000163800000  ,OS ESPETACULARES                                                                                    ,1738
1382,B2000172600000  ,POR ONDE ANDA MAKUNAÍMA                                                                             ,1897
1383,B2000173300000  ,UM LUGAR PARA SENTIR                                                                                ,1183
1384,B2000173400000  ,COMIDA É ARTE TERROIR BRASIL                                                                        ,2060
1385,B2000173600000  ,HOMEM ONÇA                                                                                          ,3250
1386,B2000173600000  ,HOMEM ONÇA                                                                                          ,1342
1387,B2000173800000  ,"CELSO ANTÔNIO, BRASILEIRO                                                                           ",1715
1388,B2000177900000  ,KEVIN                                                                                               ,2672
1389,B2000184000000  ,FRANCISCO SÓ QUER JOGAR BOLA                                                                        ,671
1390,B2000184400000  ,QUANTOS CABEM?                                                                                      ,2000
1391,B2000184900000  ,A HISTÓRIA DO MEU NOME                                                                              ,2254
1392,B2000185600000  ,NIÈDE                                                                                               ,2067
1393,B2000187100000  ,SOBRE SONHOS E LIBERDADE                                                                            ,2057
1394,B2000192900000  ,OPERAÇÃO PEDRO PAN                                                                                  ,1446
1395,B2000199400000  ,PESSOAS - CONTAR PARA VIVER                                                                         ,1852
1396,B2000200100000  ,SAGRADOS E PROFANOS                                                                                 ,2126
1397,B2000200600000  ,"RUA DO SOBE E DESCE, NÚMERO QUE DESAPARECE                                                          ",2517
1398,B2000200900000  ,ROTA DO VINIL                                                                                       ,1353
1399,B2000201000000  ,O MÊS QUE NÃO TERMINOU                                                                              ,2580
1400,B2000201000000  ,O MÊS QUE NÃO TERMINOU                                                                              ,3384
1401,B2000201800000  ,EM BUSCA DE KARDEC                                                                                  ,1194
1402,B2000202100000  ,POROPOPÓ                                                                                            ,2376
1403,B2000204300000  ,AGBARA DUDU - NARRATIVAS NEGRAS                                                                     ,2420
1404,B2000204400000  ,FASHION CLICK 2                                                                                     ,2009
1405,B2000205100000  ,O MENINO QUE ENGOLIU O SOL                                                                          ,1847
1406,B2000205300000  ,EM BUSCA DA ESSÊNCIA NA COZINHA                                                                     ,2398
1407,B2000205400000  ,ENTRE VOOS E CAMINHADAS                                                                             ,2763
1408,B2000207600000  ,AMORES CUBANOS                                                                                      ,1735
1409,B2000210600000  ,A ARTE DE VER O INVISIVEL                                                                           ,2096
1410,B2000210600000  ,A ARTE DE VER O INVISIVEL                                                                           ,2097
1411,B2000211600000  ,SUPLICIUM                                                                                           ,1228
1412,B2000221100000  ,ÀKÀRÀ NO FOGO DA INTOLERÂNCIA                                                                       ,2612
1413,B2000223500000  ,80 ANOS                                                                                             ,2407
1414,B2000227100000  ,MEU QUERIDO SUPERMERCADO                                                                            ,2505
1415,B2000230700000  ,NAS ONDAS DA FÉ                                                                                     ,1926
1416,B2000230700000  ,NAS ONDAS DA FÉ                                                                                     ,2984
1417,B2000230800000  ,CONFISSÕES DE MULHERES DE 50                                                                        ,1791
1418,B2000230900000  ,DESVIO                                                                                              ,1558
1419,B2000233900000  ,MANGUE BIT                                                                                          ,1200
1420,B2000233900000  ,MANGUE BIT                                                                                          ,1192
1421,B2000238900000  ,TEMPO PRESENTE                                                                                      ,2705
1422,B2000239400000  ,SELVA                                                                                               ,1259
1423,B2000240100000  ,O LODO                                                                                              ,3133
1424,B2000240200000  ,CRÍTICA                                                                                             ,2149
1425,B2000240300000  ,JESUS KID                                                                                           ,1685
1426,B2000240300000  ,JESUS KID                                                                                           ,3078
1427,B2000251400000  ,O RIO DO DESEJO                                                                                     ,399
1428,B2000253600000  ,TRANSAMAZÔNICA UTOPIAS NA SELVA                                                                     ,2563
1429,B2000253600000  ,TRANSAMAZÔNICA UTOPIAS NA SELVA                                                                     ,242
1430,B2000255200000  ,ATRAS DA SOMBRA                                                                                     ,1867
1431,B2000255600000  ,POR TRÁS DA LINHA DE ESCUDOS                                                                        ,1475
1432,B2000259000000  ,ZONA ÁRIDA                                                                                          ,3162
1433,B2000263300000  ,5 CASAS                                                                                             ,988
1434,B2000263300000  ,5 CASAS                                                                                             ,2203
1435,B2000264700000  ,A TRADICIONAL FAMÍLIA BRASILEIRA - KATU                                                             ,1626
1436,B2000264800000  ,"AMÉLIO, O HOMEM DE VERDADE                                                                          ",2232
1437,B2000268600000  ,ROBERTINHO DE RECIFE?ROBERTINHO DO MUNDO!!!                                                         ,2129
1438,B2000277900000  ,MINHA FAMILIA PERFEITA                                                                              ,2643
1439,B2000284300000  ,ÚLTIMA CIDADE                                                                                       ,2159
1440,B2000284700000  ,NA ILHA                                                                                             ,2046
1441,B2000292100000  ,PIRÔCO                                                                                              ,2017
1442,B2000292200000  ,VERONA                                                                                              ,2163
1443,B2000294200000  ,A ESPERA DE LIZ                                                                                     ,1922
1444,B2000297100000  ,GAFAS AMARILLAS                                                                                     ,2257
1445,B2000297200000  ,ESPERA                                                                                              ,1187
1446,B2000312200000  ,A PAIXÃO SEGUNDO G.H                                                                                ,879
1447,B2000312900000  ,MARTE UM                                                                                            ,2008
