TITULO_ORIGINAL,PRODUTORA_BRASILEIRA,UF_PRODUTORA_BRASILEIRA,PRODUTORA_ESTRANGEIRA,PAIS_PRODUTORA_ESTRANGEIRA,TIPO_OBRA,TOTAL_TECNICOS_ESTRANGEIROS,LOCAL_FILMAGEM ,DT_APROVACAO,PERIODO_PRODUCAO_INICIO,PERIODO_PRODUCAO_FIM
ONE STRANGE ROCK 2,Terra Vermelha Filmes ltda,RJ,NUTOPIA LTD,Reino Unido,Outro,1,Foz do Iguaçu (PR),2020-02-28,2020-03-05,2020-03-11
Quer Jogar Comigo,Xes Projetos Visuais Ltda,SP,Eight Pictures Inc,Japão,Obra Publicitária,3,Rio de Janeiro (RJ),2020-02-28,2020-03-06,2020-03-12
Visa Rio,Utopia Filmes Produção Artistica LTDA,RJ,Connected Pictures,Reino Unido,Institucional,1,Rio de Janeiro (RJ),2020-03-09,2020-03-15,2020-03-19
Visa Rio,Utopia Filmes Produção Artistica LTDA,RJ,Connected Pictures,Reino Unido,Institucional,1,Rio de Janeiro (RJ),2020-03-09,2020-03-15,2020-03-19
All eyes on me,Stink SP Produção de Filmes Ltda,SP,Stink Berlin,Alemanha,Obra Publicitária,1,São Paulo (SP),2020-03-09,2020-03-16,2020-03-21
All eyes on me,Stink SP Produção de Filmes Ltda,SP,Stink Berlin,Alemanha,Obra Publicitária,1,São Paulo (SP),2020-03-09,2020-03-16,2020-03-21
All eyes on me,Stink SP Produção de Filmes Ltda,SP,Stink Berlin,Alemanha,Obra Publicitária,1,São Paulo (SP),2020-03-09,2020-03-16,2020-03-21
All eyes on me,Stink SP Produção de Filmes Ltda,SP,Stink Berlin,Alemanha,Obra Publicitária,1,São Paulo (SP),2020-03-09,2020-03-16,2020-03-21
VERMILION,BPS PRODUÇÕES E SERVIÇOS EIRELI,RJ,FIGURA MEDIA LLC,Estados Unidos,Ficção,10,Rio de Janeiro (RJ),2020-03-09,2020-03-20,2020-04-09
Our Common Home,Cristian Dimitrius Produções Ltda,SP,Off The Fence,Holanda,Documentário,5,"Guarulhos, Santarem, São Paulo (SP, PA)",2020-03-09,2020-04-05,2020-04-21
VERMILION,BPS PRODUÇÕES E SERVIÇOS EIRELI,RJ,FIGURA MEDIA LLC,Estados Unidos,Ficção,2,Rio de Janeiro (RJ),2020-03-10,2020-03-20,2020-04-09
RENO,BPS PRODUÇÕES E SERVIÇOS EIRELI,RJ,"PLAYROOM PRODUCTIONS, INC",Estados Unidos,Outro,17,Rio de Janeiro (RJ),2020-03-10,2020-03-14,2020-03-24
