,REGISTRO_ANCINE,CNPJ_EMPRESA,RAZAO_SOCIAL,EMPRESA_ASSOCIADA,CNPJ_EMPRESA_ASSOCIADA
960,47555,39.413.583/0001-18,ESTUDIO FILTRO PRODUCOES ARTISTICAS LTDA.,JUMBO PRODUTORA LTDA,10.412.509/0001-03
961,4233,03.838.846/0001-93,D.N.A VÍDEO PRODUÇÕES LTDA.,ALBINO E MARQUES VÍDEO PRODUÇÕES LTDA,11.282.267/0001-35
962,39711,29.338.158/0001-58,PERISCOPIO FILM,ONDA FILMES LTDA,46.259.455/0001-27
963,1500,02.608.224/0001-06,CANAL BRAZIL S/A,EDITORA GLOBO S.A.,04.067.191/0001-60
964,26594,19.381.392/0001-04,RODA COLETIVA LTDA - EPP,CONTENT REALIZAÇÕES E PRODUÇÕES AUDIOVISUAIS LTDA,08.239.641/0001-05
965,50234,39.359.996/0001-61,LUMME CONTENT LTDA,LUMME STUDIO LTDA - ME,24.692.569/0001-23
966,257,03.042.412/0001-82,BROS PRODUÇOES LTDA,TANG PRODUÇÕES LTDA - ME,11.980.337/0001-29
967,5587,07.819.481/0001-00,FILM CONNECTION DISTRIBUIDORA DE FILMES LTDA,BLUE MOUNTAIN PRODUÇÕES LTDA,49.962.834/0001-77
968,22616,01.899.310/0001-52,WILSON ANTONIO LAZARETTI VALINHOS - ME,NÚCLEO DE CINEMA DE ANIMAÇÃO DE CAMPINAS,51.884.153/0001-80
969,36933,10.439.298/0001-94,OKTOPUS FILMES LTDA.,BABOON PRODUÇÕES E EMPREENDIMENTOS LTDA.,06.251.324/0001-89
970,25666,09.450.599/0001-30,LEME FILMES E PRODUÇÕES CINEMATOGRAFICAS LTDA,CARAVELA FILMES LTDA.,13.914.178/0001-90
971,27637,17.114.338/0001-77,LIOVA PRODUÇÃO MUSICAL E VÍDEO LTDA.,ESTUDIO PANAMA ARTE E FILMES LTDA - EPP,13.271.399/0001-97
972,26781,19.557.549/0001-00,INQUIETUDE BRENNAND FORTES PRODUÇÕES CULTURAIS LTDA.,MARIOLA FILMES E PRODUÇÕES LTDA.,07.501.094/0001-21
973,20002,14.452.821/0001-73,TRUPE DO FILME PRODUCOES AUDIOVISUAIS EIRELI,JB DE CASTRO PRODUCOES,33.589.664/0001-97
974,1981,33.836.990/0001-51,CINEMAS RIVER LTDA,STAR MULTICINEMAS LTDA,73.861.551/0001-13
975,45458,33.591.071/0001-65,HYPEMOV SERVIÇO DE LICENCIAMENTO DE IMAGENS E VIDEOS LTDA,MUNDIM PRODUÇÕES CINEMATOGRAFICA LTDA - ME,07.711.950/0001-73
976,31572,22.526.769/0001-80,SEVEN CAST BRASIL STUDIOS E PRODUÇÕES LTDA - EPP,55 STUDIOS E PRODUCOES EIRELI,35.524.311/0001-34
977,4225,04.383.555/0001-10,HISTÓRIAS INCRIVEIS SOCIEDADE SIMPLES LTDA,EEE HI CRIAÇÃO E DIREÇÃO ARTISTICA LTDA,38.278.546/0001-81
978,32686,07.929.833/0001-80,D&V PUBLICIDADES LTDA,TÚNEL ARTES GRÁFICAS LTDA,05.902.568/0001-11
979,21400,10.412.509/0001-03,JUMBO PRODUTORA LTDA,ESTUDIO FILTRO PRODUCOES ARTISTICAS LTDA.,39.413.583/0001-18
980,26355,16.507.252/0001-41,STUDIO DROPZ FILMES - EIRELI - ME,LEANDRO LIMA LOPES SERVICOS - ME,22.844.031/0001-61
981,50919,07.090.155/0001-05,ESTUDIOXIS VIDEO INTERNET E LOCACAO LTDA.,I3HDTV CINEMA VIDEO E LOCAÇÃO - EPP - ME,01.748.865/0001-01
982,333,01.368.016/0001-14,CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE,SIAESP SINDICATO DA INDÚSTRIA AUDIOVISUAL DO ESTADO DE SÃO PAULO,45.796.364/0001-68
983,20912,12.489.752/0001-47,RONI TEIXEIRA DE LIMA,2AMADOS SERVIÇOS DE FOTOGRAFIA LTDA,07.944.799/0001-13
984,16505,11.049.915/0001-08,OLIVIDEO PRODUÇÕES EIRELI - ME,MARCAS E MÁQUINAS PRODUÇÕES LTDA,33.934.198/0001-30
985,35227,13.040.138/0001-66,EVERTON HENRIQUE LIMA DE OLIVEIRA,CONTROLE REMOTO FILMES LTDA - EPP,15.471.856/0001-12
986,38544,28.725.643/0001-11,HELIO FERREIRA SILEMAN EIRELI - EPP,HÉLIO FERREIRA SILEMAN ME,03.365.688/0001-00
987,47779,40.520.226/0001-38,OTZI FILMES LTDA,OTZI ENTRETENIMENTO FILMES LTDA,44.041.479/0001-80
988,23316,11.211.483/0001-90,CINEMAX CINEMAS FRANCISCO BELTRAO LTDA,CINE MAX PATO BRANCO SALA 1,26.273.529/0001-72
989,31030,10.014.687/0001-78,GONÇALVES CORDEIRO PROPAGANDA E MARKETING LTDA,AGENCIA DE PUBLICIDADE E PROPAGANDA GC LTDA EPP,23.718.215/0001-48
990,40969,30.922.489/0001-10,ALEXANDRE AGUIAR FILHO 08104645609,"IMERSE PLANEJAMENTO, CRIAÇÃO E PRODUÇÃO DE CONTEÚDO LTDA",28.418.896/0001-42
991,33190,24.199.053/0001-41,TAYLAN RENAN DE MACEDO DE OLIVEIRA 08163387955,PRODUTORA BOX PUBLICIDADE E AUDIOVISUAL EIRELI,34.720.816/0001-01
992,49084,30.428.516/0001-00,PAULA G VAREJAO PRODUCOES,EDMILSON VAREJÃO CONSULTORIA E SERVIÇOS LTDA - ME,17.067.157/0001-37
993,16897,11.571.077/0001-38,JOSUÉ´S CINE HOTEL FAZENDA SOBRADINHO LTDA-ME,JOSUÉ´S CINE ARCOS LTDA.,33.564.975/0001-00
994,5655,07.645.321/0001-92,YUXI RTVC PRODUÇÕES CINEMATOGRÁFICAS LTDA,COMPANHIA DE SELVA LTDA,02.236.978/0001-82
995,23122,17.205.861/0001-09,OCA CONTENT PRODUÇÕES S.A.,OCA STUDIOS INVESTIMENTOS E PRODUÇÕES AUDIOVISUAIS S.A,21.813.304/0001-48
996,45593,36.623.867/0001-40,LAST POTATO FILMES LTDA,GALE FILMES LTDA,15.513.649/0001-83
997,40010,29.320.102/0001-76,AKOM STUDIO LTDA,ARCOLABS ARTE E CÓDIGO LABORATÓRIO DE INOVAÇÃO E SERVIÇOS LTDA.,23.964.264/0001-60
998,6392,03.039.811/0001-94,CASA JABUTICABA DE CINEMA E TEATRO LTDA,ARTE PRODUÇÃO E ADMINISTRAÇÃO DE EMPREENDIMENTOS CULTURAIS LTDA,06.814.372/0001-38
999,3329,03.353.962/0001-12,CASA DO RIO VERMELHO FINALIZADORA LTDA.,TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA,16.487.027/0001-90
1000,3074,01.172.224/0001-43,EMPRESA CINEMATOGRÁFICA ARAUJO LTDA,MSA EMPRESA CINEMATOGRÁFICA LTDA,03.608.600/0001-25
1001,43571,34.099.574/0001-80,GOYTACAZES FILMES LTDA,CINEINTER EXIBICOES CINEMATOGRAFICAS LTDA,35.477.354/0001-06
1002,52665,48.997.580/0001-60,MACABEO FILMES LTDA,FREDERICO DA CRUZ MACHADO - ME,03.553.092/0001-25
1003,42267,32.685.103/0001-29,HALLEY CONTENT PRODUÇÃO CINEMATOGRAFICA LTDA,JOÃO GABRIEL SANTOS LEITE,07.632.461/0001-26
1004,23337,04.789.808/0001-50,ASSOCIAÇÃO BRASILEIRA DE CANAIS COMUNITÁRIOS,ASSOCIACAO DAS ENTIDADES USUARIAS DE CANAL COMUNITARIO NO DISTRITO FEDERAL - TV COMUNITARIA,03.006.470/0001-50
1005,6126,07.276.440/0001-15,CLUBTV PRODUÇÕES E ENTRETENIMENTO EIRELI,CLUBE FILMES LTDA,46.401.439/0001-27
1006,2344,05.006.557/0001-53,SINDICATO PARALELO PRODUÇÃO E COMERCIALIZAÇÃO DE AUDIOVISUAL LTDA. EPP,BROTHERS F.D.M. FILMES LTDA - ME,10.764.243/0001-50
1007,29579,15.513.649/0001-83,GALE FILMES LTDA,CRAB! CONTEUDOS AUDIOVISUAIS LTDA-EPP,26.353.043/0001-44
1008,29956,01.250.184/0001-00,JMT PRODUCOES DE AUDIO LTDA,JAMUTE PRODUÇÕES DE AUDIO EIRELI,06.070.400/0001-50
1009,4541,05.110.443/0001-59,PARABOLA PRODUÇÕES LTDA - ME,INSTITUTO PRONESIS DE AUDIOVISUAL E MUDANÇA SOCIAL,15.512.881/0001-05
1010,1194,01.486.085/0001-22,"GRIFA PRODUÇÕES CINEMATOGRÁFICAS, AUDIOVISUAIS E ARTÍSTICAS LTDA.",FILMART PRODUÇÕES ARTISTICAS LTDA,64.044.886/0001-58
1011,1694,01.942.731/0001-19,IMAGEM PRODUÇÕES S/C LTDA.,IMAGEM PRODUÇÕES E SERVIÇOS LTDA.,08.635.539/0001-29
1012,52542,44.041.479/0001-80,OTZI ENTRETENIMENTO FILMES LTDA,OTZI FILMES LTDA,40.520.226/0001-38
1013,47322,31.528.168/0001-06,ODUN FILMES PRODUCAO AUDIOVISUAL LTDA,TODESPLAY PROVEDORES DE CONTEÚDO AUDIOVISUAIS LTDA,40.087.391/0001-48
1014,25577,15.806.023/0001-65,A. BRASIL & R. OLIVEIRA LTDA,BRASIL FILMES PRODUÇÃO CRIATIVA EIRELI,40.113.198/0001-34
1015,12273,05.576.331/0001-98,TELEVISÃO AMÉRICA LATINA,TOMADA DE ARTE FILMES LTDA.,28.432.721/0001-90
1016,52561,40.379.968/0001-95,TREZE DE MAIO DISTRIBUIDORA E PRODUTORA LTDA,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,39.079.678/0001-47
1017,31433,15.657.058/0001-80,BRASILIANA RIO PRODUCOES ARTISTICAS LTDA,BRASILIANA CINEMATOGRÁFICA LTDA,22.850.872/0001-81
1018,10,02.020.661/0001-04,CONSPIRAÇÃO FILMES S/A,CONSPIRAÇÃO ENTRETENIMENTO SÃO PAULO LTDA.,10.429.612/0001-58
1019,41727,16.982.291/0001-09,NOSSA TELECOM TELECOMUNICAÇÕES LTDA,NAJA TELECOMUNICACOES LTDA,09.425.544/0001-70
1020,5654,07.665.262/0001-14,REDECINE-CPQ CINEMATOGRÁFICA LTDA,REDECINE VALINHOS CINEMATOGRÁFICA LTDA,15.774.293/0001-31
1021,45996,33.564.975/0001-00,JOSUÉ´S CINE ARCOS LTDA.,JOSUE'S CINE SHOPPING LTDA,11.122.144/0001-37
1022,35121,35.933.928/0001-03,VIVA MELHOR LTDA,V-7 PRODUÇÕES LTDA ME,97.387.757/0001-11
1023,36431,27.676.695/0001-82,CENTELHA FILMES E PRODUÇÕES CULTURAIS LTDA - ME,DDK DIGITAL LTDA - EPP,17.713.833/0001-00
1024,44323,34.860.287/0001-41,CINE LASER CINEMAS NORDESTE LTDA,CINE LASER CINEMAS EIRELI,03.569.447/0001-74
1025,274,01.175.644/0001-83,ANIMA PRODUÇÕES AUDIOVISUAIS LTDA,CINEARTE PRODUÇÕES CINEMATOGRÁFICAS LTDA,44.182.046/0001-44
1026,1727,27.650.159/0001-08,NATIVA FILMES LTDA,EL DESIERTO FILMES LTDA ME,05.617.531/0001-41
1027,3724,05.959.925/0001-88,TELA PRODUTORA DE IMAGENS LTDA,IMAGEM & ACAO PRODUCOES LTDA,05.795.191/0001-49
1028,25351,00.873.599/0001-78,B2 PRODUÇÃO CINE VIDEO EIRELI,CAPTURE PRODUÇÕES ARTISTICAS LTDA,27.837.001/0001-41
1029,44696,19.374.466/0001-85,NETWORK PARTICIPAÇÕES S.A.,SPRAY FILMES S.A.,06.945.371/0001-22
1030,20951,14.264.518/0001-47,CHATRONE LATAM LTDA,BA DA BEAN PRODUCOES AUDIOVISUAIS SPE LTDA,35.151.988/0001-74
1031,43339,33.684.766/0001-91,PLINIO U. MOREIRA,EVEREST IMAGENS LTDA,42.000.846/0001-71
1032,22058,13.500.059/0001-90,MAD MEN PRODUÇÕES EIRELI - ME,PRODIGO FILMS LTDA,00.020.648/0001-20
1033,13017,07.071.805/0001-75,EMVIDEO EVENTOS AUDIOVISUAIS LTDA,EMVIDEO EMPRESA DE VIDEOCOMUNICAÇÃO LTDA.,20.462.917/0001-15
1034,49895,40.289.348/0001-65,PATRICK MARIANO SANTOS SILVA 04262462170,TRICK MOTION LTDA,49.836.480/0001-14
1035,12756,08.889.030/0001-02,DETOUR FILMS LTDA,DEPART FILMS LTDA,93.941.839/0001-05
1036,39589,08.649.437/0001-62,DENIO DA SILVA VIANA - ME,CASULO ESTÚDIO GRÁFICO & MULTIMÍDIA LTDA - ME,06.713.837/0001-64
1037,32259,23.964.264/0001-60,ARCOLABS ARTE E CÓDIGO LABORATÓRIO DE INOVAÇÃO E SERVIÇOS LTDA.,AKOM STUDIO LTDA,29.320.102/0001-76
1038,26150,08.717.344/0001-28,T.REX FILMAGENS E EVENTOS LTDA-ME,METADE FILMES LTDA ME,26.791.206/0001-70
1039,51910,29.296.414/0001-91,A C C HELUY MARKETING - ME,MOOD FILMES LTDA,48.953.196/0001-65
1040,43436,33.223.908/0001-13,IHF PRODUCAO DE CONTEUDO LTDA,FERNANDO SCHLAEPFER FIGUEIRA PRODUCAO DE CONTEUDO,43.543.203/0001-37
1041,19770,10.691.066/0001-29,MORAES & MORAES FILMES LTDA. - ME,L G L IMAGEM S/C LTDA. ME,03.904.387/0001-07
1042,39954,11.447.150/0001-64,"MRF CONTABILIDADE, PRODUÇOES ARTISTICAS, CINEMATOGRAFICAS E DESENVOLVIMENTO EMPRESARIAL EIRELI ME",CAZUZO PROMOÇÕES ARTISTISCAS LTDA.,30.452.221/0001-61
1043,44334,14.289.952/0001-81,ANDREA DA ROSA AVANCINI PRODUÇÕES ARTÍSTISCAS LTDA,CASA E COMPANHIA ARIANNE DUTRA DE ARTE E CULTURA LTDA,03.930.647/0001-00
1044,17748,31.887.052/0001-55,ASSOCIAÇÃO POLO RIO CINE VIDEO E COMUNICAÇÃO - RIOCOM,ROB FILMES LTDA.,14.173.637/0001-94
1045,24259,15.124.058/0001-14,EMOTION PRODUTORA DE VIDEO LTDA ME,ATHOS DE OLIVEIRA ROJAS ME,01.959.558/0001-61
1046,52433,48.414.051/0001-96,MSV COMUNICA LTDA,BEATRIZ B PRATES PRODUÇÕES - EPP,24.807.691/0001-06
1047,39544,14.514.844/0001-65,RSMTS EMPREENDIMENTOS E PARTICIPAÇÕES LTDA,RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA,72.062.029/0001-09
1048,41709,12.907.642/0001-58,TOP MEDIA ENTRETENIMENTO LTDA,BROADCASTING PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA.,07.044.047/0001-04
1049,13694,55.469.316/0001-19,ALFA CINEMA E VÍDEO LTDA,FAUZI A MANSUR CINEMATOGRÁFICA,49.922.966/0001-75
1050,29867,21.574.898/0001-81,ERLANGER COMUNICAÇÃO E ARTE - EIRELI,ECO ERLANGER COMUNICAÇÃO PRODUÇOES E CONSULTORIA EIRELI,29.278.812/0001-85
1051,49018,33.550.566/0001-46,FERNANDO MAURO PRODUÇÕES E PUBLICIDADE LTDA,FERNANDO MAURO PRODUÇÕES EIRELI,15.473.139/0001-20
1052,12650,08.902.896/0001-06,BRASILEIRA IMAGEM E CONTEUDO LTDA.,BRASILEIRA CINEMATOGRÁFICA LTDA,74.571.886/0001-60
1053,2596,28.176.667/0001-69,XUXA PROMOÇÕES E PRODUÇÕES ARTÍSTICAS LTDA.,FUNDAÇÃO ASSISTENCIAL XUXA MENEGHEL,31.420.425/0001-83
1054,2373,00.673.706/0001-14,TOP FILMS MARKETING LTDA,MP CINEMAS EIRELI,12.983.519/0001-16
1055,18142,08.117.088/0001-38,AMERICA FILMS INTERNATIONAL LTDA,IMAGEROCA CINEMA E VIDEO LTDA,04.007.887/0001-09
1056,2923,02.962.893/0001-81,EMPRESA CINEMATOGRÁFICA IPATINGA LTDA,MOVIE CINEMAS LTDA,04.708.972/0001-96
1057,22774,13.871.039/0001-26,ROMANCE PRODUÇÕES ARTÍSTICAS LTDA,REVELAÇÃO PRODUÇÕES ARTÍSTICAS LTDA,13.086.016/0001-00
1058,17245,11.705.764/0001-07,BONECA DE PANO PRODUÇÕES E EVENTOS LTDA,BP PRODUÇÕES E EVENTOS LTDA,48.667.929/0001-03
1059,16321,10.785.710/0001-28,EMPRESA DE CINEMAS FORTALEZA LTDA,CINEMATOGRÁFICA LIMEIRA LTDA,17.360.792/0001-08
1060,40317,30.096.740/0001-34,CINE ELI BAHIA CINEMAS LTDA,CINEMATOGRÁFICA LIMEIRA LTDA,17.360.792/0001-08
1061,17871,12.543.206/0001-47,FARO PRODUÇÕES CINEMATOGRÁFICAS LTDA,FARO MULTIMÍDIA LTDA,02.983.784/0001-40
1062,22402,08.047.906/0001-73,S4 PRODUÇÕES ARTÍSTICAS LTDA.,K&C EMPREENDIMENTOS E PARTICIPAÇOES LTDA,17.094.266/0001-43
1063,3751,07.280.210/0001-20,STUDIO B COMUNICAÇÃO LTDA - ME,M A BENETÃO - VIDEO - ME,18.564.049/0001-32
1064,17585,09.343.347/0001-01,R2O FILMES LTDA - ME,MASSARI BURGERS E FILMES LTDA,14.070.151/0001-20
1065,17196,54.142.278/0001-22,BARTHMANN & BARTHMANN S/C LTDA,LOTUS PRODUTORA CINEMATOGRAFICA LTDA,13.039.876/0001-93
1066,42623,09.185.785/0001-99,GUSTAVO NOGARETT PIBERNAT DE CARVALHO ME,A&P PRODUCOES AUDIOVISUAIS LTDA.,17.524.773/0001-70
1067,46210,30.934.864/0001-41,VAPOR DIGITAL PRODUCÃO E COMUNICAÇÃO LDTA.,LJ PRODUÇÕES FOTOGRAFICAS LTDA.,03.543.173/0001-44
1068,15998,08.768.271/0001-01,MAR CINEMAS E BOMBONIERES LTDA,EMPRESA CINE ROXY LTDA,58.186.487/0001-29
1069,27349,17.172.534/0001-06,RUA 15 PRODUÇÕES ARTÍSTICAS E EVENTOS LTDA,PEDRO M L AGUIAR ME,22.811.166/0001-20
1070,31683,18.996.507/0001-02,INSTITUTO PUENTE,POINTER - PROGRAMAÇÃO VISUAL LTDA.,68.310.374/0001-47
1071,41664,31.320.834/0001-08,BRANDOLT E CIA LTDA,CULT CINEMAS LTDA,28.708.005/0001-92
1072,18069,12.396.390/0001-40,MARIA FARINHA FILMES E PRODUÇÕES LTDA.,JUNGLEBEE PRODUÇÕES AUDIOVISUAIS LTDA.,30.732.554/0001-44
1073,6615,01.272.408/0001-85,EMPRESA CINEMATOGRÁFICA ESTAÇÃO LTDA,AGA - CINEMATOGRÁFICA LTDA,02.427.115/0001-92
1074,2912,05.279.756/0001-35,MAXI CINEMATOGRÁFICA LTDA,EMPRESA CINEMATOGRÁFICA IPATINGA LTDA,02.962.893/0001-81
1075,49288,10.459.963/0001-01,CAMILLE MARTINS SISTON LTDA,CAMILLE MARTINS SISTON COMUNICACAO LTDA,41.368.789/0001-15
1076,18287,03.334.675/0001-65,A3 FILMES E PRODUÇÕES LTDA ME,CANAL DE PROGRAMAÇÃO TORRES DO VALLE LTDA EPP,20.495.791/0001-85
1077,12701,03.699.216/0001-85,GTEC DIGITAL EIRELI,RRM PRODUCAO E VIDEOCOMUNICACAO EIRELI,20.446.511/0001-49
1078,1043,02.593.994/0001-22,AQUARELA PRODUÇÕES CULTURAIS LTDA,FATUMBI FILMS LTDA,48.782.341/0001-92
1079,40305,10.660.474/0001-13,ELECTRA MIDIA E PRODUÇÕES EIRELI,LFVDC PRODUÇÕES LTDA.,20.054.537/0001-41
1080,27644,17.853.969/0001-08,EVA RANDOLPH 09338038777,SELVA ILIMITADA FILMES LTDA,11.948.352/0001-90
1081,3134,04.612.138/0001-00,INSTITUTO DE ESTUDOS DE TELEVISÃO,COMUNICAÇÃO ALTERNATIVA LTDA,31.399.272/0001-30
1082,24146,03.308.018/0001-43,LINHAS E LAUDAS ASSESSORIA E PARTICIPAÇÃO LTDA,LINHAS EDITORA LTDA,09.343.787/0001-69
1083,1738,30.117.584/0001-40,TELEVISÃO PROFISSIONAL LTDA,VIVA MELHOR LTDA,35.933.928/0001-03
1084,18301,10.773.590/0001-49,KRAÔ PRODUTORA E EVENTOS LTDA,SET PRODUTORA PRODUÇÕES E EVENTOS LTDA ME,02.386.149/0001-86
1085,50127,44.323.768/0001-71,GEFA COMERCIO E ENTRETENIMENTO LTDA,RG PALMA EXIBICAO CINEMATOGRAFICA LTDA,31.159.134/0001-83
1086,25881,16.551.639/0001-03,CINEMAURO FILMES LTDA ME,CINEMAURO PRODUÇÕES LTDA,09.152.820/0001-73
1087,16134,10.718.660/0001-66,CANAL 800 PRODUÇÕES LTDA,REDE 4 K PRODUCOESLTDA ME,21.698.215/0001-06
1088,53062,44.352.218/0001-80,MRPR CONSULTORIA & SOLUCOES LTDA,MATHEUS RUAS MENDONÇA IMAGENS ME,12.978.718/0001-36
1089,37280,28.230.884/0001-90,LEMOS & MORAIS LTDA - ME,C.A.V. LEMOS,08.913.231/0001-06
1090,42975,33.296.719/0001-70,MB EXIBICOES CINEMATOGRAFICAS GOIANESIA LTDA,C.A.V. LEMOS,08.913.231/0001-06
1091,44123,27.431.041/0001-99,REDE IMAGINA,IMAGINA - PROCESSOS CRIATIVOS E MOBILIZAÇÃO LTDA,17.252.428/0001-24
1092,34247,10.368.914/0001-63,DE TUDO UM POUCO SERVICOS GRAFICOS EDITORIAIS LTDA ­ ME,O MUNDO DE CHARLOTTE PRODUÇÃO AUDIOVISUAL LTDA,29.689.649/0001-43
1093,37856,13.316.425/0001-56,INSTITUTO DE DESENVOLVIMENTO HUMANO MÉTODO EIRELI - ME,INSTITUTO DE DESENVOLVIMENTO UNICERRADO,13.841.379/0001-04
1094,25182,18.672.374/0001-19,REDECINE SUL CINEMAS LTDA.,MOVIESYSTEM CINEMATOGRAFICA LTDA,04.533.831/0001-80
1095,41714,31.775.219/0001-96,IMAGEM.DESEJO PRODUÇÕES ARTÍSTICAS,VAGALUZES FILMES LTDA,06.975.561/0001-92
1096,45757,33.825.727/0001-67,RTRG2019 PRODUCOES ARTISTICAS LTDA,US ONE COMERCIO E SERVICOS DE CRIACAO E PRODUCAO DE OBRAS COM DIRETOS AUTORAIS LTDA.,10.552.344/0001-67
1097,35977,26.791.315/0001-98,MARANGUAPE CINEMAS LTDA - ME,CINE ELI PARAÍBA CINEMAS LTDA,28.492.489/0001-85
1098,36549,14.436.772/0001-85,MAGNÍFICA PRODUÇÕES LTDA. - EPP,"POLAR FILMES, EVENTOS CULTURAIS E ARTISTICOS LTDA EPP",08.708.048/0001-60
1099,30976,22.656.616/0001-58,ONSE FILMES LTDA - ME,BREITHNER MONTEIRO FILMES CRIAÇÕES E PRODUÇÕES LTDA,33.280.681/0001-48
1100,32604,15.184.445/0001-46,SAMAMBAIA PCTURES LTDA,OCEANO PRODUCOES CULTURAIS EIRELI,33.499.256/0001-44
1101,14469,07.932.269/0001-55,ATIVA ASCOM LTDA,SISTEMA TIMON DE RADIODIFUSÃO LTDA,10.305.548/0001-01
1102,38622,09.193.067/0001-64,QTT COMUNICAÇÃO LTDA,UPSIDE DOWN SERVICOS DE PUBLICIDADE LTDA,36.926.991/0001-85
1103,31880,17.156.965/0001-70,CANELA FINA FILMES LTDA - ME,CANELA FINA ESTUDIOS LTDA,34.467.476/0001-59
1104,631,31.525.918/0001-88,ANIMANDO PRODUÇÕES ARTÍSTICAS LTDA.,"INSTITUTO DE DESENVOLVIMENTO, ESTUDO E INTEGRAÇÃO PELA ANIMAÇÃO - IDEIA",05.596.539/0001-79
1105,42656,19.568.825/0001-35,ALEXI PRODUCOES ARTISTICAS LTDA,GHETTO PRODUTORA LTDA,65.514.481/0001-07
1106,2379,04.533.831/0001-80,MOVIESYSTEM CINEMATOGRAFICA LTDA,REDECINE MOGI GUAÇU CINEMATOGRÁFICA LTDA,16.888.328/0001-26
1107,43781,34.408.375/0001-07,REDECINE PINDAMONHANGABA CINEMAS LTDA,REDECINE MOGI GUAÇU CINEMATOGRÁFICA LTDA,16.888.328/0001-26
1108,19126,07.002.649/0001-90,URUCUM SERVIÇOS CINEMATOGRÁFICOS LTDA - ME,SETCOM - SET DE COMUNICAÇÃO LTDA,04.736.316/0001-05
1109,3695,26.770.404/0001-58,TERRA COMUNICACAO LTDA,TELEVISAO MORENA LIMITADA,03.229.937/0001-21
1110,49189,42.318.961/0001-99,FARRA MEDIA PRODUÇÕES LTDA,FARRA PRODUCAO DE FILMES LTDA,11.701.262/0001-08
1111,43959,34.210.030/0001-44,CINE LASER CINEMAS SUL EIRELI,CINE LASER CACOAL EXIBICOES CINEMATOGRAFICAS LTDA,38.479.610/0001-92
1112,44414,34.626.954/0001-26,CINE LASER NORTE CINEMA LTDA,CINE LASER CACOAL EXIBICOES CINEMATOGRAFICAS LTDA,38.479.610/0001-92
1113,50203,40.850.944/0001-72,CINE LASER CINEMAS UMUARAMA LTDA,CINE LASER CACOAL EXIBICOES CINEMATOGRAFICAS LTDA,38.479.610/0001-92
1114,42535,10.651.690/0001-00,TATOU INC. INVESTIMENTO E CULTURA LTDA,R C R JUNIOR BALBY PRODUÇÕES,22.326.650/0001-64
1115,46574,07.169.462/0001-86,PROGRAFDIG PROJETOS GRAFICOS DIGITAIS S/S LTDA. - ME,PROMARKE ASSOCIADOS PROPAGANDA & MARKETING LTDA.,57.318.511/0001-73
1116,47716,04.201.181/0001-75,ASSOCIAÇÃO CULTURAL CIRCENSE E AMBIENTAL UMA FLORESTA,RATIMBUM PRODUÇÕES DE ARTES LTDA,39.341.953/0001-59
1117,5857,01.855.811/0001-37,MACLAU - EXIBICOES CINEMATOGRAFICAS LTDA,DIAS CINEMATOGRÁFICA LTDA-EPP,12.128.142/0001-18
1118,15835,27.129.089/0001-47,MARCO MULTIMIDA LTDA.,ASSOCIACAO TELEVISIVA E COMUNICACAO DE AREAL TVCOM AREAL,41.479.621/0001-87
1119,34368,17.067.157/0001-37,EDMILSON VAREJÃO CONSULTORIA E SERVIÇOS LTDA - ME,PAULA G VAREJAO PRODUCOES,30.428.516/0001-00
1120,39570,30.065.381/0001-58,FRCA TARGET FILMES LTDA,FR TARGET FILMES LTDA,05.379.977/0001-85
1121,29964,13.546.021/0001-59,LIKE 35 FILMES LTDE-ME,LIKE 35 ESTUDIOS LTDA,44.133.697/0001-44
1122,30712,21.422.978/0001-11,KAIROS FILMES LTDA ME,KINOSSAURUS FILMES LTDA.,02.282.322/0001-04
1123,18055,07.938.916/0001-36,CINEMA VILLAGGIO LTDA,TUBARÃO FILMES LTDA,24.971.903/0001-88
1124,2977,05.297.810/0001-75,JUBARTE FILMES LTDA-ME,TUBARÃO FILMES LTDA,24.971.903/0001-88
1125,87,00.020.648/0001-20,PRODIGO FILMS LTDA,MAD MEN PRODUÇÕES EIRELI - ME,13.500.059/0001-90
1126,43571,34.099.574/0001-80,GOYTACAZES FILMES LTDA,TATU FILMES LTDA-ME,72.089.667/0001-13
1127,1903,09.314.824/0001-00,TV PONTA VERDE LTDA,TV GUARARAPES S.A.,01.769.569/0001-89
1128,18309,13.021.376/0001-24,RJ SERVICOS CINE GROUP LTDA,BSB SERVIÇOS CINEGROUP LTDA,06.900.652/0001-69
1129,1036,01.369.211/0001-69,REPÚBLICA PUREZA FILMES LTDA.,REPUBLICA PUREZA OLINDA LTDA,48.943.809/0001-83
1130,30391,00.235.372/0001-05,"ARTISTAS REUNIDOS - PRODUÇÃO, CRIAÇÃO E GRAVAÇÕES FONOGRÁFICAS LTDA.",BOOGIEMAN PRODUÇÕES LTDA,18.297.223/0001-28
1131,25056,17.819.406/0001-01,GENIUS AT WORK PRODUCOES CINEMATOGRAFICAS LTDA,LUIZ G RODRIGUES JUNIOR,26.787.440/0001-24
