,REGISTRO_ANCINE,CNPJ_EMPRESA,RAZAO_SOCIAL,EMPRESA_ASSOCIADA,CNPJ_EMPRESA_ASSOCIADA
5373,38767,28.893.688/0001-03,GUARÁ ENTRETENIMENTO,DORIS FILMES LTDA ME,14.572.152/0001-73
5374,4562,07.237.277/0001-81,DESIGNEMOVIMENTO LTDA,BRABO TV COMUNICAÇÕES LTDA,10.431.604/0001-46
5375,30392,21.674.572/0001-26,LEMONADE FILMES,RAPHAEL FERREIRA RODRIGUEZ 33016859866,22.947.409/0001-52
5376,46311,32.648.863/0001-66,LEMONADE CONTEUDO,RAPHAEL FERREIRA RODRIGUEZ 33016859866,22.947.409/0001-52
5377,23796,17.800.883/0001-17,DQKER FILMES EIRELI,CAVALLARIA FILMES E PRODUCOES CULTURAIS LTDA,10.207.392/0001-18
5378,19902,12.339.942/0001-88,WIEDEN + KENNEDY BRASIL COMUNICAÇÃO LTDA,JOINT BRASIL PRODUÇÕES DE CONTEÚDO LTDA.,33.224.596/0001-62
5379,21145,11.329.282/0001-91,SPHERE PRODUCTIONS PRODUÇÃO E COMÉRCIO DE FILMES LTDA. ME,ESFERA PRODUÇÕES E COMÉRCIO DE FILMES LTDA-ME,09.633.250/0001-33
5380,23794,17.327.513/0001-04,CURTISS FILMES LTDA - ME,TV ZERO PRODUÇÕES AUDIOVISUAIS LTDA,31.337.942/0001-93
5381,44355,27.004.052/0001-92,KERNO COMUNICAÇÃO E PUBLICIDADE,PIXEL 8 LTDA,04.766.125/0001-88
5382,12248,03.390.444/0001-79,TOPSPORTS VENTURES LTDA.,DISCOVERY NETWORKS BRASIL AGENCIAMENTO E REPRESENTAÇÃO LTDA,07.408.191/0001-74
5383,1084,00.219.640/0001-97,HBO BRASIL LTDA.,DISCOVERY NETWORKS BRASIL AGENCIAMENTO E REPRESENTAÇÃO LTDA,07.408.191/0001-74
5384,2735,05.774.116/0001-00,CINEARTE MORUMBI LTDA,CIRCUITO CINEARTE LTDA,01.425.583/0001-65
