,CPB,TITULO_ORIGINAL,NUMERO_SALIC
1193,B1500701300000  ,OPERAÇÕES ESPECIAIS (EX BOLETIM DE OCORRÊNCIA B.O)                                                  ,120018
1194,B1500704800000  ,BRASIL 2050 - 2ª TEMPORADA                                                                          ,120465
1195,B1500707100000  ,PIRACAIA                                                                                            ,120084
1196,B1500710900000  ,A LENDA DO GATO PRETO                                                                               ,100278
1197,B1500711400000  ,BEATRIZ                                                                                             ,50453
1198,B1500712100000  ,BETINHO-A ESPERANÇA EQUILIBRISTA                                                                    ,140242
1199,B1500714700000  ,FESTA DA UVA 80 ANOS - A CELEBRAÇÃO DE UMA IDENTIDADE                                               ,110321
1200,B1500723200000  ,CINCO VEZES CHICO O VELHO E SUA GENTE                                                               ,130189
1201,B1500726100000  ,TOP 5 RICHARD RASMUSSEN - 2ª TEMPORADA                                                              ,150235
1202,B1500731600000  ,À MODA DA CASA                                                                                      ,140412
1203,B1500740900000  ,DOCUMENTÁRIO SAMBA & JAZZ: RIO DE JANEIRO - NEW ORLEANS                                             ,130264
1204,B1500742600000  ,NASCIDOS PARA O COMBATE                                                                             ,140506
1205,B1500743200000  ,SAÚDE À VONTADE                                                                                     ,140490
1206,B1500743500000  ,CIRCO VOADOR - A NAVE                                                                               ,120073
1207,B1500754900000  ,TRAVESSIAS                                                                                          ,130078
1208,B1500758100000  ,AS AVENTURAS DO HOMEM CUECA                                                                         ,120528
1209,B1500765400000  ,SAÚDE À VONTADE - VERSÃO REDUZIDA                                                                   ,140490
1210,B1500777200000  ,DO MEU JEITO                                                                                        ,120235
1211,B1500777500000  ,CHICO - ARTISTA BRASILEIRO                                                                          ,120433
1212,B1500778100000  ,FERNANDO DE NORONHA - OBSERVATÓRIO DA NATUREZA                                                      ,90363
1213,B1500778300000  ,S.O.S. MULHERES AO MAR 2                                                                            ,140280
1214,B1500785100000  ,ESTÚDIO 360                                                                                         ,110311
1215,B1500797500000  ,ZÉ DO CAIXÃO                                                                                        ,140209
1216,B1500798600000  ,BOI NEON                                                                                            ,119155
1217,B1500809300000  ,ATOL DAS ROCAS - RESERVA MARINHA                                                                    ,90361
1218,B1500812200000  ,DOIDAS E SANTAS                                                                                     ,110491
1219,B1500812200000  ,DOIDAS E SANTAS                                                                                     ,120138
1220,B1500837300000  ,"PAIXÃO, SUOR E GRAXA - OS PIONEIROS DO AUTOMOBILISMO BRASILEIRO                                     ",140318
1221,B1500837400000  ,O OUTRO LADO DO PARAÍSO                                                                             ,80634
1222,B1500838900000  ,NOTAS DE AMOR                                                                                       ,140349
1223,B1500840400000  ,BEM CASADOS                                                                                         ,110503
1224,B1500863000000  ,CLUBVERSÃO 2                                                                                        ,150027
1225,B1500865900000  ,ESTIVE EM LISBOA E LEMBREI DE VOCÊ                                                                  ,110238
1226,B1500867200000  ,OS RESISTENTES                                                                                      ,140160
1227,B1500868700000  ,ORAÇÃO DO AMOR SELVAGEM                                                                             ,130244
1228,B1500870400000  ,VAI QUE DÁ CERTO 2                                                                                  ,130300
1229,B1500873900000  ,ATRAVÉS DA SOMBRA                                                                                   ,90435
1230,B1500877500000  ,DEU MATCH!                                                                                          ,150270
1231,B1500896100000  ,OS UNDER UNDERGROUNDS - TEMPORADA 1                                                                 ,130271
1232,B1500897000000  ,O ÚLTIMO VIRGEM                                                                                     ,110465
1233,B1500899800000  ,REZA A LENDA                                                                                        ,80149
1234,B1500903400000  ,PUNHAL                                                                                              ,100447
1235,B1500903800000  ,ECONOMIA BRASILEIRA - A HISTÓRIA CONTADA POR QUEM A FEZ.                                            ,130522
1236,B1500904200000  ,ATÉ QUE A SORTE NOS SEPARE 3                                                                        ,140491
1237,B1500922400000  ,CONSELHO TUTELAR - 2A TEMPORADA                                                                     ,150129
1238,B1600003800000  ,CONDOMINIO JAQUELINE                                                                                ,130528
1239,B1600006200000  ,TALENTOS A MAIS                                                                                     ,140253
1240,B1600011000000  ,UM SUBURBANO SORTUDO                                                                                ,140370
1241,B1600012600000  ,MAR ME QUER                                                                                         ,100340
1242,B1600012800000  ,DO PÓ DA TERRA                                                                                      ,130558
1243,B1600017500000  ,RALÉ                                                                                                ,110383
1244,B1600019500000  ,"ZÉ DE JULIÃO, MUITO ALÉM DO CANGAÇO                                                                 ",80037
1245,B1600032100000  ,AMOR EM SAMPA                                                                                       ,100209
1246,B1600033400000  ,MEU AMIGO HINDU                                                                                     ,140190
1247,B1600036800000  ,ZOOM                                                                                                ,130121
1248,B1600041000000  ,BUGIGANGUE NO ESPAÇO                                                                                ,80331
1249,B1600043800000  ,TÔ RYCA!                                                                                            ,120273
1250,B1600047300000  ,NÃO ESTÁVAMOS ALI PARA FAZER AMIGOS                                                                 ,100483
1251,B1600057400000  ,LABORATÓRIO DA LUTA                                                                                 ,140377
1252,B1600058000000  ,TERMINADORES                                                                                        ,140240
1253,B1600059500000  ,OLHAR DE NISE                                                                                       ,110204
1254,B1600064700000  ,ESPAÇO ALÉM - MARINA ABRAMOVIC E O BRASIL                                                           ,130340
1255,B1600066700000  ,MÃOS DE URSO                                                                                        ,140523
1256,B1600067600000  ,UMA NOITE EM SAMPA                                                                                  ,110498
1257,B1600068000000  ,TRAVESSIA                                                                                           ,140252
1258,B1600069800000  ,GLITTER MODEL                                                                                       ,130280
1259,B1600070900000  ,AMORES URBANOS                                                                                      ,150039
1260,B1600073400000  ,A ALMA GUARANI                                                                                      ,40014
1261,B1600084700000  ,TERRA PROMETIDA                                                                                     ,100444
1262,B1600096000000  ,APAIXONADOS O FILME                                                                                 ,120374
1263,B1600098700000  ,ALMANAQUE DOS ESPORTES - 2A TEMPORADA                                                               ,150030
1264,B1600100000000  ,O SAMBA MANDOU ME CHAMAR                                                                            ,120095
1265,B1600100300000  ,O ESCARAVELHO DO DIABO                                                                              ,130005
1266,B1600107600000  ,EM NOME DA LEI                                                                                      ,120406
1267,B1600109500000  ,A CIDADE NÃO PARA                                                                                   ,130363
1268,B1600109600000  ,A FRENTE FRIA QUE A CHUVA TRAZ                                                                      ,80095
1269,B1600114000000  ,"LILI, A EX - 2ª TEMPORADA                                                                           ",150549
1270,B1600115500000  ,"CHICO SCIENCE, UM CARANGUEJO ELÉTRICO                                                               ",150243
1271,B1600116800000  ,GLAUCO DO BRASIL                                                                                    ,130557
1272,B1600131200000  ,INCERTEZAS CRÍTICAS                                                                                 ,130296
1273,B1600131300000  ,SANGUE NOS OLHOS                                                                                    ,140270
1274,B1600137800000  ,A GAROTA DA MOTO                                                                                    ,130463
1275,B1600137900000  ,PLANO DE NEGÓCIOS                                                                                   ,110392
1276,B1600138900000  ,O CANGACEIRO - A SÉRIE                                                                              ,984582
1277,B1600142700000  ,AS AVENTURAS DE FUJIWARA MANCHESTER                                                                 ,160058
1278,B1600180400000  ,A SAGA DA ALMA DE UM POETA                                                                          ,110230
1279,B1600181500000  ,A CIDADE ONDE ENVELHEÇO                                                                             ,120080
1280,B1600192300000  ,DE ONDE EU TE VEJO                                                                                  ,110309
1281,B1600193300000  ,IMAGENS DO ESTADO NOVO 1937-45                                                                      ,30128
1282,B1600200900000  ,MEU NOME É JACQUE                                                                                   ,150096
1283,B1600201700000  ,PAPÉIS DE ADÉLIA                                                                                    ,138955
1284,B1600203800000  ,CARAVANA NO AR                                                                                      ,140283
1285,B1600203900000  ,UM CONTRA TODOS                                                                                     ,150050
1286,B1600217000000  ,JOGOS DO MUNDO                                                                                      ,140521
1287,B1600227000000  ,O CASEIRO                                                                                           ,140178
1288,B1600243000000  ,REDEMOINHO                                                                                          ,100567
1289,B1600245600000  ,ANTES O TEMPO NÃO ACABAVA                                                                           ,120144
1290,B1600249600000  ,GARAGEM HOT ROD                                                                                     ,140446
1291,B1600251100000  ,SEQUESTRO                                                                                           ,150552
1292,B1600255500000  ,TAMAS E RAJAS                                                                                       ,140551
1293,B1600264400000  ,PONTO ZERO                                                                                          ,90366
1294,B1600280000000  ,MENINO 23 - INFÂNCIAS PERDIDAS NO BRASIL                                                            ,120417
1295,B1600280100000  ,OS SENHORES DA GUERRA                                                                               ,100115
1296,B1600287300000  ,DESERTO                                                                                             ,110505
1297,B1600294100000  ,PAULINA                                                                                             ,145005
1298,B1600294500000  ,MAIS FORTE QUE O MUNDO - A HISTÓRIA DE JOSÉ ALDO                                                    ,110457
1299,B1600296800000  ,A LOUCURA ENTRE NÓS                                                                                 ,110322
1300,B1600305700000  ,UMA LOUCURA DE MULHER                                                                               ,120546
1301,B1600308400000  ,DORINA - OLHAR PARA O MUNDO                                                                         ,140272
1302,B1600310800000  ,ANJOS DA ESTRADA                                                                                    ,140080
1303,B1600314200000  ,A CONFRARIA                                                                                         ,120485
1304,B1600314300000  ,MARIAS                                                                                              ,70428
1305,B1600314300000  ,MARIAS                                                                                              ,109001
1306,B1600315200000  ,OLIMPÍADAS DOSE DUPLA                                                                               ,150052
1307,B1600326400000  ,SOUND-À-PORTER                                                                                      ,140467
1308,B1600327100000  ,GIGANTES DO BRASIL                                                                                  ,140297
1309,B1600337700000  ,SÃO PAULO EM HI-FI                                                                                  ,140281
1310,B1600340900000  ,CINZENTO E NEGRO                                                                                    ,145042
1311,B1600341600000  ,PARTO PARA A LIBERDADE - UMA BREVE HISTÓRIA DE PEDRO ALEIXO                                         ,100100
1312,B1600342000000  ,"BRASIL, DNA ÁFRICA                                                                                  ",140058
1313,B1600348400000  ,INSPIRA.MOV BRASIL                                                                                  ,140462
1314,B1600352700000  ,CARROSSEL 2 - O SUMIÇO DE MARIA JOAQUINA                                                            ,150696
1315,B1600355900000  ,ENTRE IDAS E VINDAS                                                                                 ,110458
1316,B1600358100000  ,PARATODOS                                                                                           ,130109
1317,B1600364000000  ,A LUTA DE UM HOMEM SÓ                                                                               ,150670
1318,B1600368200000  ,"BUCK, O MONSTRO DA LAGOA                                                                            ",150625
1319,B1600368700000  ,PORTA DOS FUNDOS - CONTRATO VITALÍCIO                                                               ,150132
1320,B1600382200000  ,BRASIL ADENTRO - MÚSICA DE PERNAMBUCO                                                               ,130315
1321,B1600382500000  ,MILLER                                                                                              ,120416
1322,B1600385400000  ,SARAH - MENINA DE OURO                                                                              ,150658
1323,B1600388200000  ,SHOW DO KIBE - 2ª TEMPORADA                                                                         ,150736
1324,B1600390300000  ,VITÓRIAS ALÉM DO PÓDIO - O ESPORTE TRANSFORMANDO VIDAS                                              ,150377
1325,B1600400300000  ,CHAPÉU DE BICO                                                                                      ,150495
1326,B1600403500000  ,SONHADORES                                                                                          ,160053
1327,B1600405900000  ,BR 716                                                                                              ,110506
1328,B1600408200000  ,O ROUBO DA TAÇA                                                                                     ,100310
1329,B1600411100000  ,POESIA E PROSA COM MARIA BETHÂNIA                                                                   ,150573
1330,B1600416100000  ,MÃE SÓ HÁ UMA                                                                                       ,129085
1331,B1600420900000  ,MULHER DO PAI                                                                                       ,110246
1332,B1600421600000  ,JONAS                                                                                               ,100524
1333,B1600436900000  ,UM NAMORADO PARA MINHA MULHER                                                                       ,140350
1334,B1600437000000  ,"PIEDADE, PIEDADE!                                                                                   ",150592
1335,B1600439300000  ,A COMÉDIA DIVINA                                                                                    ,110300
1336,B1600439500000  ,HOLOCAUSTO BRASILEIRO                                                                               ,140123
1337,B1600439700000  ,VIDAS PARTIDAS                                                                                      ,100173
1338,B1600441200000  ,A LUTA DO SÉCULO                                                                                    ,150066
1339,B1600442200000  ,MAGAL E OS FORMIGAS                                                                                 ,150605
1340,B1600445600000  ,MENINAS DE OURO                                                                                     ,150295
1341,B1600445900000  ,DRAMA DA PAIXÃO - UM DOCUMENTÁRIO                                                                   ,140119
1342,B1600454400000  ,DESCULPE O TRANSTORNO                                                                               ,90460
1343,B1600459300000  ,BAIA DOS PESADELOS                                                                                  ,150701
1344,B1600462200000  ,OUTROS TEMPOS - VELHOS                                                                              ,150081
1345,B1600464000000  ,AO SOM DO CHAMAMÉ                                                                                   ,130004
1346,B1600466400000  ,A VAGA: EPISÓDIO ESPECIAL                                                                           ,160054
1347,B1600467400000  ,UNIDADE BÁSICA                                                                                      ,100475
1348,B1600471800000  ,A CORRIDA DO DOPING                                                                                 ,160080
1349,B1600472500000  ,EU TE LEVO                                                                                          ,130490
1350,B1600472600000  ,AGUÁPOLIS                                                                                           ,120537
1351,B1600476300000  ,MÁXIMO & CONFÚCIO                                                                                   ,120557
1352,B1600477000000  ,"ERNESTO, O EXTERMINADOR DE SERES MONSTRUOSOS E OUTRAS PORCARIAS                                     ",130320
1353,B1600478600000  ,AQUARIUS                                                                                            ,140206
1354,B1600483500000  ,TUDO É IRRELEVANTE - HELIO JAGUARIBE                                                                ,70288
1355,B1600492200000  ,"ENTRE NÓS, O ESTRANHO                                                                               ",100302
1356,B1600500100000  ,O BRASIL POR ELES - O OLHAR DO MUNDO PARA O ESPORTE BRASILEIRO                                      ,150376
1357,B1600500300000  ,O SILÊNCIO DO CÉU                                                                                   ,140564
1358,B1600501200000  ,EU ME MOVO                                                                                          ,150653
1359,B1600509800000  ,A JAULA                                                                                             ,100517
1360,B1600509900000  ,SERGIO BRITTO O MESTRE DOS PALCOS                                                                   ,130134
1361,B1600512600000  ,SOS FADA MANU (SEGUNDA TEMPORADA)                                                                   ,150005
1362,B1600530200000  ,PEQUENO SEGREDO                                                                                     ,80630
1363,B1600530400000  ,DESAFIO CELEBRIDADES                                                                                ,150321
1364,B1600532800000  ,É FADA!                                                                                             ,130249
1365,B1600534400000  ,GALERIA F                                                                                           ,140261
1366,B1600534500000  ,#MECHAMADEBRUNA                                                                                     ,130332
1367,B1600534700000  ,DO OUTRO LADO - A CONQUISTA DE MATHEUS RHEINE                                                       ,150709
1368,B1600536100000  ,SURF NO ALEMÃO                                                                                      ,140389
1369,B1600543700000  ,A REPARTIÇÃO DO TEMPO                                                                               ,150164
1370,B1600564100000  ,VERMELHO RUSSO                                                                                      ,100610
1371,B1600565200000  ,O SHOW DA LUNA! TERCEIRA TEMPORADA                                                                  ,150682
1372,B1600567900000  ,O SHAOLIN DO SERTÃO                                                                                 ,140233
1373,B1600585300000  ,AS INCRÍVEIS ARTIMANHAS DA NUVEM CIGANA                                                             ,120060
1374,B1600585400000  ,A GLÓRIA E A GRAÇA                                                                                  ,100103
1375,B1600591900000  ,OS ENIGMAS DOS DESAPARECIDOS                                                                        ,130278
1376,B1600595900000  ,CLASSICOMANIACO                                                                                     ,150553
1377,B1600599000000  ,IRMÃO DO JOREL- 2ª TEMPORADA                                                                        ,150454
1378,B1600602000000  ,"PALMEIRAS, O CAMPEÃO DO SÉCULO                                                                      ",130001
1379,B1600603300000  ,1976 - O ANO DA INVASÃO CORINTHIANA                                                                 ,120133
1380,B1600604900000  ,"TOC - TRANSTORNADA, OBSESSIVA, COMPULSIVA                                                           ",130422
1381,B1600613000000  ,CAROL LEVY CONTAROLANDO - SEGUNDA TEMPORADA                                                         ,160158
1382,B1600616400000  ,EMERGÊNCIA PET                                                                                      ,150491
1383,B1600624200000  ,MARGINAL                                                                                            ,150364
1384,B1600625200000  ,TODAS AS MANHÃS DO MUNDO                                                                            ,130444
1385,B1600633600000  ,REGRAS DO MMA                                                                                       ,140175
1386,B1600648800000  ,DENTRO DA CAIXINHA                                                                                  ,150268
1387,B1600648900000  ,DUAS MULHERES                                                                                       ,140273
1388,B1600649400000  ,PARQUE PATATI PATATÁ - 2ª TEMPORADA                                                                 ,160294
1389,B1600649600000  ,CINE ROOFTOP                                                                                        ,150607
1390,B1600650300000  ,A SECRETÁRIA DO PRESIDENTE                                                                          ,150332
1391,B1600651600000  ,"CURUMIM, O HOMEM QUE QUERIA VOAR                                                                    ",120274
1392,B1600651700000  ,DISTRITO CULTURAL - SEGUNDA TEMPORADA                                                               ,160181
1393,B1600659200000  ,TERRA PROMETIDA                                                                                     ,100444
1394,B1600667500000  ,TURBINADOS 2ª TEMPORADA                                                                             ,150743
1395,B1600680100000  ,ELIS                                                                                                ,130298
1396,B1600680500000  ,A DESTRUIÇÃO DE BERNARDET                                                                           ,130438
1397,B1600685000000  ,SOB PRESSÃO                                                                                         ,150478
1398,B1600685100000  ,INTOLERÂNCIA.DOC                                                                                    ,140307
1399,B1600685500000  ,CORAGEM                                                                                             ,140279
1400,B1600690400000  ,O AMOR NO DIVÃ                                                                                      ,160126
1401,B1600690500000  ,FORA DO ARMÁRIO                                                                                     ,150385
1402,B1600690600000  ,ERA O HOTEL CAMBRIDGE                                                                               ,110316
1403,B1600690700000  ,ANGELI THE KILLER                                                                                   ,130238
1404,B1600695300000  ,PERDÃO MISTER FIEL                                                                                  ,70157
1405,B1600702400000  ,OPÇÃO LAJE                                                                                          ,130435
1406,B1600710400000  ,CÍRCULOS                                                                                            ,160169
1407,B1600710700000  ,O VENDEDOR DE SONHOS                                                                                ,140024
1408,B1600713100000  ,O FILHO ETERNO                                                                                      ,140346
1409,B1600716500000  ,MINHA MÃE É UMA PEÇA 2                                                                              ,130425
1410,B1600719300000  ,LUCIA MCCARTNEY                                                                                     ,160130
1411,B1600725300000  ,VINTE ANOS                                                                                          ,100318
1412,B1600728000000  ,MINHA ESTUPIDEZ                                                                                     ,160251
1413,B1600730100000  ,POR TRÁS DO CÉU                                                                                     ,140189
1414,B1600738500000  ,OS SALTIMBANCOS TRAPALHÕES - RUMO A HOLLYWOOD                                                       ,150305
1415,B1600739400000  ,SEM VOLTA                                                                                           ,130349
1416,B1600744600000  ,ACONTECE LÁ EM CASA. VIVENDO MELHOR EM FAMÍLIA                                                      ,150028
1417,B1600745100000  ,PRIMEIRO BAILARINO                                                                                  ,150304
1418,B1600750800000  ,BELO MONTE: UM MUNDO ONDE TUDO É POSSÍVEL                                                           ,150219
1419,B1600751200000  ,SANTINO E O BILHETE PREMIADO                                                                        ,160475
1420,B1600754000000  ,GABY ESTRELLA                                                                                       ,150501
1421,B1600759000000  ,AMOR AO QUADRADO                                                                                    ,160265
1422,B1600765100000  ,ELON NÃO ACREDITA NA MORTE                                                                          ,130468
1423,B1600765300000  ,A OLIMPÍADA PASSOU POR AQUI                                                                         ,150482
1424,B1600772200000  ,HOMEM COMUM                                                                                         ,60089
1425,B1600773600000  ,O ORNITÓLOGO                                                                                        ,119154
1426,B1600774200000  ,A RETOMADA DO PORTO                                                                                 ,130067
1427,B1600775400000  ,PLANETORAMA                                                                                         ,130304
1428,B1600780800000  ,BODE DE NATAL                                                                                       ,160240
1429,B1600784700000  ,OS PENETRAS 2 - QUEM DÁ MAIS?                                                                       ,140410
1430,B1600784700000  ,OS PENETRAS 2 - QUEM DÁ MAIS?                                                                       ,149243
1431,B1600785400000  ,NA FITA                                                                                             ,130118
1432,B1600785500000  ,OS TRANSGRESSORES                                                                                   ,150433
1433,B1600789900000  ,EU FICO LOKO                                                                                        ,160144
1434,B1600791000000  ,VIVER PARA LUTAR                                                                                    ,150436
1435,B1600791500000  ,LUTANDO PARA VENCER                                                                                 ,130350
1436,B1600793500000  ,FINDING JOSEF                                                                                       ,120012
1437,B1700011500000  ,PEIXONAUTA: O FILME                                                                                 ,90384
1438,B1700012200000  ,LILA                                                                                                ,130538
1439,B1700012400000  ,SUBSOLO UNDERGROUND                                                                                 ,40296
1440,B1700013200000  ,AS AVENTURAS DE MARIGOTA                                                                            ,150623
1441,B1700014500000  ,TADINHA                                                                                             ,120441
1442,B1700025700000  ,TROPYKAOS                                                                                           ,140152
1443,B1700025900000  ,CHOQUE TÉRMICO                                                                                      ,160168
1444,B1700030100000  ,SEBASTIANA QUEBRA-GALHO                                                                             ,140219
1445,B1700036300000  ,INVENÇÕES DA ALMA                                                                                   ,150197
1446,B1700046100000  ,COMEBACK                                                                                            ,120117
1447,B1700051600000  ,VAZANTE                                                                                             ,110077
1448,B1700052000000  ,FILHOS DE BACH                                                                                      ,110064
1449,B1700052200000  ,O CRIME DA GÁVEA                                                                                    ,120244
1450,B1700053800000  ,MODA-O-RAMA                                                                                         ,150023
1451,B1700054100000  ,O QUE NOS OLHA                                                                                      ,120527
1452,B1700066700000  ,#MECHAMADEBRUNA - VERDADES E MENTIRAS                                                               ,150540
1453,B1700072200000  ,ESPÍRITO DA LUTA 1ª TEMPORADA                                                                       ,150428
1454,B1700077100000  ,LA VINGANÇA                                                                                         ,120001
1455,B1700079500000  ,171 - NEGÓCIO DE FAMÍLIA                                                                            ,130221
1456,B1700084600000  ,OUTRO SERTÃO                                                                                        ,70279
1457,B1700085300000  ,ARÁBIA                                                                                              ,110424
1458,B1700087800000  ,"MANUAL PARA SE DEFENDER DE ALIENS, NINJAS E ZUMBIS                                                  ",150594
1459,B1700088100000  ,PELA JANELA                                                                                         ,120299
1460,B1700092500000  ,JOAQUIM                                                                                             ,139254
1461,B1700092500000  ,JOAQUIM                                                                                             ,130401
1462,B1700103500000  ,O RASTRO                                                                                            ,150051
1463,B1700103500000  ,O RASTRO                                                                                            ,110430
1464,B1700104200000  ,PENDULAR                                                                                            ,130381
1465,B1700107400000  ,PITANGA                                                                                             ,140047
1466,B1700109600000  ,"GOSTOSAS, LINDAS E SEXIES                                                                           ",160049
1467,B1700112000000  ,CORPO ELÉTRICO                                                                                      ,120330
1468,B1700119200000  ,COMO NOSSOS PAIS                                                                                    ,129153
1469,B1700119200000  ,COMO NOSSOS PAIS                                                                                    ,119039
1470,B1700119200000  ,COMO NOSSOS PAIS                                                                                    ,120367
1471,B1700123200000  ,EXODUS - DE ONDE VIM NÃO EXISTE MAIS                                                                ,110326
1472,B1700128800000  ,QUEM SE IMPORTA - A SÉRIE                                                                           ,150126
1473,B1700145600000  ,ENTÃO MORRI                                                                                         ,150641
1474,B1700145800000  ,BARÃO VERMELHO - POR QUE A GENTE É ASSIM?                                                           ,120258
1475,B1700148100000  ,NA TRILHA DA ENERGIA 2                                                                              ,130467
1476,B1700148400000  ,DIA UM                                                                                              ,150276
1477,B1700149000000  ,INCERTEZAS CRÍTICAS - 2ª TEMPORADA                                                                  ,130295
1478,B1700151900000  ,O FILME DA MINHA VIDA                                                                               ,140168
1479,B1700156400000  ,GRIOT: DO LADO DE LÁ E CÁ DO ATLÂNTICO                                                              ,151682
1480,B1700159700000  ,O SILÊNCIO DA NOITE É QUE TEM SIDO TESTEMUNHA DAS MINHAS AMARGURAS                                  ,120192
1481,B1700161700000  ,MENOS É DEMAIS                                                                                      ,160599
1482,B1700162000000  ,ALTAS EXPECTATIVAS                                                                                  ,140276
1483,B1700164400000  ,FAMILIA SCHURMANN - EXPEDIÇÃO ORIENTE                                                               ,130406
1484,B1700167100000  ,CORTA! ANIMAÇÃO                                                                                     ,110415
1485,B1700168200000  ,"NINGUÉM ENTRA, NINGUÉM SAI                                                                          ",120290
1486,B1700172000000  ,CIDADES FANTASMAS                                                                                   ,150655
1487,B1700172700000  ,FÁTIMA NO BRASIL                                                                                    ,120005
1488,B1700175000000  ,AMOR.COM                                                                                            ,130212
1489,B1700177700000  ,UM TIO QUASE PERFEITO                                                                               ,160100
1490,B1700178100000  ,QUEM É PRIMAVERA DAS NEVES                                                                          ,150686
1491,B1700180400000  ,AEROPORTO - ÁREA RESTRITA                                                                           ,160183
1492,B1700182800000  ,DE CRIANÇA PARA CRIANÇA                                                                             ,150629
1493,B1700182900000  ,ÓPERA ABERTA - PESCADORES DE PÉROLAS                                                                ,150398
1494,B1700183900000  ,LIVRO VIVO                                                                                          ,160252
1495,B1700189700000  ,EM UM MUNDO INTERIOR                                                                                ,130156
1496,B1700194400000  ,REAL - O PLANO POR TRÁS DA HISTÓRIA                                                                 ,130442
1497,B1700204300000  ,CARNAVAL EM LÁ MENOR                                                                                ,130090
1498,B1700204700000  ,ERA UMA VEZ UMA HISTÓRIA                                                                            ,150624
1499,B1700217800000  ,O NOME DELA É GAL                                                                                   ,150510
1500,B1700219000000  ,VIVI VIRAVENTO                                                                                      ,140348
1501,B1700219500000  ,IRMÃO DO JOREL 2ª TEMPORADA - COMPILADO                                                             ,150454
1502,B1700222300000  ,ABAIXO A GRAVIDADE                                                                                  ,140151
1503,B1700228000000  ,A GRANDE LUTA - SEGUNDA TEMPORADA                                                                   ,150117
1504,B1700233300000  ,GERAÇÃO Z                                                                                           ,160592
1505,B1700243100000  ,MILTON NASCIMENTO - INTIMIDADE E POESIA                                                             ,150140
1506,B1700243800000  ,ESTEROS                                                                                             ,155207
1507,B1700244500000  ,DIVÓRCIO                                                                                            ,130044
1508,B1700247000000  ,PRIMAVERA                                                                                           ,973909
1509,B1700248200000  ,MARIA - NÃO ESQUEÇA QUE EU VENHO DOS TRÓPICOS                                                       ,130111
1510,B1700248900000  ,A SUPERFÍCIE DA SOMBRA                                                                              ,120388
1511,B1700255200000  ,ALTO LEBLON                                                                                         ,150462
1512,B1700255500000  ,AQUALOUCOS                                                                                          ,150544
1513,B1700258100000  ,DANADO DE BOM                                                                                       ,80661
1514,B1700261700000  ,JUACAS                                                                                              ,160214
1515,B1700271600000  ,ENTRE RISOS                                                                                         ,160032
1516,B1700275000000  ,SOUNDTRACK                                                                                          ,120278
1517,B1700280300000  ,ÁFRICA ANIMAL DE RICHARD RASMUSSEN - 1ª TEMPORADA                                                   ,160223
1518,B1700306100000  ,ANTES QUE EU ME ESQUEÇA                                                                             ,130404
1519,B1700307900000  ,A SOMBRA DO PAI                                                                                     ,120251
1520,B1700325000000  ,MEXEU COM UMA MEXEU COM TODAS                                                                       ,160542
1521,B1700328500000  ,D.P.A. - DETETIVES DO PRÉDIO AZUL                                                                   ,160460
1522,B1700329000000  ,LEÕES DE PARAISÓPOLIS                                                                               ,160626
1523,B1700330100000  ,BINGO - O REI DAS MANHÃS                                                                            ,120395
1524,B1700332400000  ,QUERIDA MAMÃE                                                                                       ,150301
1525,B1700336900000  ,SOB PRESSÃO                                                                                         ,170170
1526,B1700337400000  ,SOB O VÉU DA VIDA OCEÂNICA                                                                          ,160526
1527,B1700339400000  ,DO JIU JITSU AO MMA                                                                                 ,160181
1528,B1700339700000  ,HISTORIETAS ASSOMBRADAS - O FILME                                                                   ,80225
1529,B1700347400000  ,RECEITAS EM SÉRIE                                                                                   ,160129
1530,B1700347600000  ,MALASARTES E O DUELO COM A MORTE                                                                    ,100084
1531,B1700349800000  ,"JOÃO, O MAESTRO                                                                                     ",110221
1532,B1700349900000  ,CAMINHO DO MAR                                                                                      ,140502
1533,B1700353800000  ,BERENICE PROCURA                                                                                    ,130226
1534,B1700353800000  ,BERENICE PROCURA                                                                                    ,129035
1535,B1700354000000  ,SÃO PAULO NAS ALTURAS                                                                               ,150310
1536,B1700354200000  ,A ARTE DO FUTEBOL BRASILEIRO                                                                        ,160245
1537,B1700357200000  ,PEDIDOS INCRÍVEIS                                                                                   ,150045
