,CPB,TITULO_ORIGINAL,NUMERO_SALIC
165,B0500378700000  ,AO SUL DE SETEMBRO                                                                                  ,30365
166,B0500378800000  ,"FIM E O PRINCÍPIO, O                                                                                ",30286
167,B0500385000000  ,VOCAÇÃO DO PODER                                                                                    ,30184
168,B0500386700000  ,BOSSA NOVA                                                                                          ,973450
169,B0500388300000  ,ÁRIDO MOVIE                                                                                         ,23657
170,B0500403400000  ,"FOR ALL, TRAMPOLIM DA VITÓRIA                                                                       ",951224
171,B0500431200000  ,MAPAS URBANOS II                                                                                    ,973912
172,B0500431500000  ,CORPO                                                                                               ,50280
173,B0500431600000  ,CAFUNÉ                                                                                              ,50287
174,B0500433200000  ,SE EU FOSSE VOCÊ                                                                                    ,40224
175,B0500433700000  ,XUXINHA E GUTO CONTRA OS MONSTROS DO ESPAÇO                                                         ,40150
176,B0500433800000  ,"QUINZE, O                                                                                           ",984105
177,B0500434100000  ,"HOMEM PODE VOAR - A SAGA DE SANTOS DUMONT, O                                                        ",11840
178,B0500436300000  ,"WOOD & STOCK: SEXO, ORÉGANO E ROCK                                                                  ",381
179,B0500437900000  ,JULIA MANN                                                                                          ,973911
180,B0500438300000  ,"MARGEM DO CONCRETO, A                                                                               ",40141
181,B0500438500000  ,BALEIAS EM ABROLHOS                                                                                 ,962435
182,B0500438700000  ,TAPETE VERMELHO                                                                                     ,11954
183,B0500439200000  ,MENINAS                                                                                             ,40063
184,B0500440200000  ,CERRO DO JARAU                                                                                      ,24003
185,B0500441200000  ,EU ME LEMBRO                                                                                        ,13696
186,B0500442900000  ,"SAMBANDO NAS BRASAS, MORÔ?                                                                          ",49003
187,B0500444000000  ,"ÉS TU, BRASIL                                                                                       ",993700
188,B0500444400000  ,QUEM MATOU PIXOTE ?                                                                                 ,951156
189,B0500444500000  ,UM LOBISOMEM NA AMAZÔNIA                                                                            ,11879
190,B0500444600000  ,"DIDI, O CAÇADOR DO TESOURO                                                                          ",40236
191,B0600450400000  ,"TRONCO, O                                                                                           ",960521
192,B0600459900000  ,MULHERES DO BRASIL                                                                                  ,24286
193,B0600460000000  ,PERIGOSA OBSESSÃO                                                                                   ,40090
194,B0600460600000  ,"VIAJANTE, O                                                                                         ",960971
195,B0600461400000  ,ANJOS DO SOL                                                                                        ,50385
196,B0600466000000  ,FILHOS DO CARNAVAL                                                                                  ,40048
197,B0600467100000  ,GATÃO DE MEIA IDADE                                                                                 ,359
198,B0600467200000  ,DEPOIS DAQUELE BAILE                                                                                ,30366
199,B0600470800000  ,SERRAS DA DESORDEM                                                                                  ,23647
200,B0600471300000  ,EM TRÂNSITO                                                                                         ,352
201,B0600471600000  ,UM CRAQUE CHAMADO DIVINO                                                                            ,23823
202,B0600475100000  ,BOLEIROS 2                                                                                          ,30055
203,B0600477800000  ,IRMA VAP - O RETORNO                                                                                ,13668
204,B0600490100000  ,BRASÍLIA 18 POR CENTO                                                                               ,30216
205,B0600490200000  ,CARREIRAS                                                                                           ,50241
206,B0600494700000  ,"ILHA DO TERRÍVEL RAPATERRA, A                                                                       ",973614
207,B0600496100000  ,"DIA EM QUE O BRASIL ESTEVE AQUI, O                                                                  ",40353
208,B0600498800000  ,ANTÁRTICA - O CONTINENTE GELADO COM AMYR KLINK                                                      ,40067
209,B0600502500000  ,METEORO                                                                                             ,971060
210,B0600504400000  ,NZINGA                                                                                              ,973907
211,B0600506100000  ,OS PAPAGAIOS AMARELOS                                                                               ,12012
212,B0600508700000  ,PAIXÃO PERDIDA                                                                                      ,962437
213,B0600509100000  ,CANTA MARIA                                                                                         ,201
214,B0600513700000  ,"INVASOR, O                                                                                          ",382
215,B0600514100000  ,ABOIO                                                                                               ,50100
216,B0600520200000  ,ANIMAIS DO BRASIL                                                                                   ,30007
217,B0600520300000  ,ANAHY DE LAS MISIONES                                                                               ,951255
218,B0600522500000  ,VEIAS E VINHOS: UMA HISTÓRIA BRASILEIRA                                                             ,993674
219,B0600524400000  ,É PROIBIDO PROIBIR                                                                                  ,30355
220,B0600527900000  ,ANTONIA                                                                                             ,39005
221,B0600527900000  ,ANTONIA                                                                                             ,23930
222,B0600532400000  ,MUSICAGEN                                                                                           ,50095
223,B0600534900000  ,ATRAVÉS DA JANELA                                                                                   ,973589
224,B0600535300000  ,SONHOS E DESEJOS                                                                                    ,24109
225,B0600535800000  ,ZUZU ANGEL                                                                                          ,40153
226,B0600537900000  ,GLUB GLUB APRESENTA: HISTÓRIAS DA NATUREZA                                                          ,50286
227,B0600538400000  ,PERSON                                                                                              ,11914
228,B0600539200000  ,INTERVALO CLANDESTINO                                                                               ,50252
229,B0600543400000  ,PATRULHA NICK - 1º SEMESTRE DE 2005                                                                 ,50082
230,B0600543500000  ,ESTRADAS REAIS DAS MINAS AO MAR                                                                     ,50043
231,B0600546700000  ,MUITO GELO E DOIS DEDOS DE ÁGUA                                                                     ,40183
232,B0600547500000  ,"CEGO QUE GRITAVA LUZ, O                                                                             ",950179
233,B0600548900000  ,RALLY DOS SERTÕES 2005 - DIÁRIO DE BORDO II                                                         ,50210
234,B0600549900000  ,TÔNICA DOMINANTE                                                                                    ,973954
235,B0600552000000  ,TRAIR E COÇAR É SÓ COMEÇAR                                                                          ,50239
236,B0600552200000  ,NOEL - POETA DA VILA                                                                                ,984885
237,B0600554700000  ,TRÊS CHAPADAS E UM BALÃO                                                                            ,962438
238,B0600555300000  ,PRO DIA NASCER FELIZ                                                                                ,30009
239,B0600556000000  ,"BOLEIROS, ERA UMA VEZ O FUTEBOL                                                                     ",950775
240,B0600561200000  ,HANS STADEN                                                                                         ,950654
241,B0600566800000  ,FICA COMIGO ESTA NOITE                                                                              ,12080
242,B0600566900000  ,MAPAS URBANOS                                                                                       ,962408
243,B0600568300000  ,"PONTAL DO PARANAPANEMA, O                                                                           ",30003
244,B0600572700000  ,O ANO EM QUE MEUS PAIS SAÍRAM DE FÉRIAS                                                             ,23934
245,B0600575000000  ,MORO NO BRASIL                                                                                      ,993655
246,B0600578000000  ,REMISSÃO                                                                                            ,30201
247,B0600578400000  ,BRASILEIRINHO                                                                                       ,79011
248,B0600578400000  ,BRASILEIRINHO                                                                                       ,50350
249,B0600578400000  ,BRASILEIRINHO                                                                                       ,30224
250,B0600581800000  ,OS DOZE TRABALHOS                                                                                   ,30336
251,B0600587200000  ,"CÉU DE SUELY, O                                                                                     ",40035
252,B0600587800000  ,SÓLO DIOS SABE                                                                                      ,30267
253,B0600588700000  ,"DONO DO MAR, O                                                                                      ",971920
254,B0600592800000  ,OLHAR ESTRANGEIRO                                                                                   ,24294
255,B0600593100000  ,QUERÔ                                                                                               ,24295
256,B0600593100000  ,QUERÔ                                                                                               ,60189
257,B0600598700000  ,EUROPA PAULISTANA                                                                                   ,50258
258,B0600599600000  ,BATISMO DE SANGUE                                                                                   ,30221
259,B0600599800000  ,1972                                                                                                ,984629
260,B0600602300000  ,BRICHOS                                                                                             ,40121
261,B0600602300000  ,BRICHOS                                                                                             ,70184
262,B0600603500000  ,PARINTINS - JUNGLE MAGIC                                                                            ,40096
263,B0600604600000  ,"MUNDO EM DUAS VOLTAS, O                                                                             ",13780
264,B0600615800000  ,FOLIAR BRASIL                                                                                       ,30112
265,B0600616500000  ,XUXA GÊMEAS                                                                                         ,60128
266,B0600616600000  ,O CAVALEIRO DIDI E A PRINCESA LILI                                                                  ,60063
267,B0600618500000  ,MARIO                                                                                               ,950312
268,B0600623600000  ,NETTO E O DOMADOR DE CAVALOS                                                                        ,30290
269,B0600628200000  ,ENCONTRO COM MILTON SANTOS OU O MUNDO GLOBAL VISTO DO LADO DE CÁ                                    ,49015
270,B0600628200000  ,ENCONTRO COM MILTON SANTOS OU O MUNDO GLOBAL VISTO DO LADO DE CÁ                                    ,24156
271,B0700632300000  ,O PASSAGEIRO-SEGREDOS DE ADULTO                                                                     ,11947
272,B0700634700000  ,MEU BEBÊ                                                                                            ,50448
273,B0700637600000  ,BRAVA GENTE BRASILEIRA                                                                              ,972000
274,B0700638200000  ,O ENGENHO DE ZÉ LINS                                                                                ,50326
275,B0700638200000  ,O ENGENHO DE ZÉ LINS                                                                                ,70198
276,B0700640600000  ,ONDE A CORUJA DORME                                                                                 ,100069
277,B0700641700000  ,A TURMA DA MÔNICA EM UMA AVENTURA NO TEMPO                                                          ,50248
278,B0700643600000  ,FAIXA DE AREIA                                                                                      ,30136
279,B0700644000000  ,HÉRCULES 56                                                                                         ,50035
280,B0700644100000  ,MINHA GRAVIDEZ                                                                                      ,50454
281,B0700648000000  ,CAIXA DOIS                                                                                          ,60107
282,B0700650300000  ,POLARÓIDES URBANAS                                                                                  ,40250
283,B0700650300000  ,POLARÓIDES URBANAS                                                                                  ,99001
284,B0700651400000  ,ILUMINADOS                                                                                          ,30229
285,B0700652000000  ,"CHEIRO DO RALO, O                                                                                   ",40164
286,B0700653100000  ,CARTOLA                                                                                             ,319
287,B0700653200000  ,"Ó PAÍ, Ó!                                                                                           ",50246
288,B0700655500000  ,VIÚVA RICA SOLTEIRA NÃO FICA                                                                        ,49014
289,B0700656800000  ,CÃO SEM DONO                                                                                        ,30278
290,B0700659300000  ,CAPARAÓ                                                                                             ,50314
