,CANAL,NR_IDENTIFICACAO,CLASSIFICACAO_CANAL,TIPO_CONTEUDO_CANAL,OFERTA_CLIENTE,DATA_INICIO_OFERTA,DENSIDADE_CANAL,NOME_PROGRAMADORA,CNPJ_PROGRAMADORA,CLASSIFICAO_PROGRAMADORA,PAIS_PROGRAMADORA
101,ESPN 3 HD,653.30003,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2009-04-29,ALTA DEFINIÇÃO,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,00.637.277/0001-20,Programadora brasileira de capital estrangeiro,BRASIL
102,ESPN 4,6276.30004,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2012-02-01,PADRÃO,TFCF LATIN AMERICAN CHANNEL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
103,ESPN 4 HD,6276.30011,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2012-02-01,ALTA DEFINIÇÃO,TFCF LATIN AMERICAN CHANNEL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
104,EUROCHANNEL,6214.30001,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2001-10-03,PADRÃO,"EUROCHANNEL, INC",00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
105,EURONEWS,30574.30001,Canal não adaptado ao mercado brasileiro,Canal de conteúdo em geral,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",2015-08-04,PADRÃO,EURONEWS S.A.,00.000.000/0000-00,Programadora Estrangeira,FRANÇA
106,FASHION TV BRAZIL,4744.30007,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2012-08-20,PADRÃO,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,07.254.174/0001-20,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
107,FASHION TV BRAZIL HD,4744.30008,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2015-07-01,ALTA DEFINIÇÃO,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,07.254.174/0001-20,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
108,FILM & ARTS,6268.30001,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2018-06-01,PADRÃO,AMC NETWORKS ARGENTINA S.C.A.,00.000.000/0000-00,Programadora Estrangeira,ARGENTINA
109,FILM & ARTS HD,6268.30002,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2018-06-01,ALTA DEFINIÇÃO,AMC NETWORKS ARGENTINA S.C.A.,00.000.000/0000-00,Programadora Estrangeira,ARGENTINA
110,FISHTV,22269.30001,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2012-06-29,PADRÃO,TUNNA ENTRETENIMENTO E AUDIOVISUAL LTDA,14.807.981/0001-98,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
111,FISHTV HD,22269.30002,Canal brasileiro de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2018-02-01,ALTA DEFINIÇÃO,TUNNA ENTRETENIMENTO E AUDIOVISUAL LTDA,14.807.981/0001-98,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",BRASIL
112,FOOD NETWORK,26039.30021,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2014-03-01,PADRÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
113,FOOD NETWORK HD,26039.30022,Canal de espaço qualificado,Canal de conteúdo em geral,CANAL OFERTADO EM PACOTE,2014-03-01,ALTA DEFINIÇÃO,"DISCOVERY NETWORKS, SL",00.000.000/0000-00,Programadora Estrangeira,ESPANHA
114,FOX SPORTS 2,6276.30012,Canal de programação comum,Canal de conteúdo esportivo,CANAL OFERTADO EM PACOTE,2014-01-01,PADRÃO,TFCF LATIN AMERICAN CHANNEL LLC,00.000.000/0000-00,Programadora Estrangeira,ESTADOS UNIDOS
